aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Flatwing,0,0,41000,0.66,0,259
CJ1,Flatwing,0,0,41000,0.64,0,260
CJ1,Flatwing,0,0,41000,0.62,0,264
CJ1,Flatwing,0,0,39000,0.66,0,259
CJ1,Flatwing,0,0,39000,0.64,0,260
CJ1,Flatwing,0,0,39000,0.62,0,264
CJ1,Flatwing,0,10,41000,0.66,0,259
CJ1,Flatwing,0,10,41000,0.64,0,260
CJ1,Flatwing,0,10,41000,0.62,0,265
CJ1,Flatwing,0,10,39000,0.66,0,259
CJ1,Flatwing,0,10,39000,0.64,0,260
CJ1,Flatwing,0,10,39000,0.62,0,265
CJ1,Tamarack,0,0,41000,0.66,0,297
CJ1,Tamarack,0,0,41000,0.64,0,297
CJ1,Tamarack,0,0,41000,0.62,0,300
CJ1,Tamarack,0,0,39000,0.66,0,297
CJ1,Tamarack,0,0,39000,0.64,0,297
CJ1,Tamarack,0,0,39000,0.62,0,300
CJ1,Tamarack,0,10,41000,0.66,0,297
CJ1,Tamarack,0,10,41000,0.64,0,297
CJ1,Tamarack,0,10,41000,0.62,0,301
CJ1,Tamarack,0,10,39000,0.66,0,297
CJ1,Tamarack,0,10,39000,0.64,0,297
CJ1,Tamarack,0,10,39000,0.62,0,301
