aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
CJ1,Flatwing,0,0,0.66,41000,0,1471.4032736148256
CJ1,Flatwing,0,0,0.64,41000,0,1472.1037388790862
CJ1,Flatwing,0,0,0.62,41000,0,1473.4772190580984
CJ1,Flatwing,0,0,0.66,39000,0,1471.4032736148256
CJ1,Flatwing,0,0,0.64,39000,0,1472.1037388790862
CJ1,Flatwing,0,0,0.62,39000,0,1473.4772190580984
CJ1,Flatwing,0,10,0.66,41000,0,1476.4234136982
CJ1,Flatwing,0,10,0.64,41000,0,1477.046844822361
CJ1,Flatwing,0,10,0.62,41000,0,1478.2797836618304
CJ1,Flatwing,0,10,0.66,39000,0,1476.4234136982
CJ1,Flatwing,0,10,0.64,39000,0,1477.046844822361
CJ1,Flatwing,0,10,0.62,39000,0,1478.2797836618304
CJ1,Tamarack,0,0,0.66,41000,0,1672.763655547859
CJ1,Tamarack,0,0,0.64,41000,0,1672.9752130542827
CJ1,Tamarack,0,0,0.62,41000,0,1675.2317253729411
CJ1,Tamarack,0,0,0.66,39000,0,1672.763655547859
CJ1,Tamarack,0,0,0.64,39000,0,1672.9752130542827
CJ1,Tamarack,0,0,0.62,39000,0,1675.2317253729411
CJ1,Tamarack,0,10,0.66,41000,0,1678.9570674575336
CJ1,Tamarack,0,10,0.64,41000,0,1679.1277791059597
CJ1,Tamarack,0,10,0.62,41000,0,1681.5325125878376
CJ1,Tamarack,0,10,0.66,39000,0,1678.9570674575336
CJ1,Tamarack,0,10,0.64,39000,0,1679.1277791059597
CJ1,Tamarack,0,10,0.62,39000,0,1681.5325125878376
