aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
C208B,Flatwing,0,0,10000,0.45,0,1270.6591050751454,424,1850,23338,204
C208B,Flatwing,0,10,10000,0.45,0,1274.0900879188293,425,1850,22130,204
C208B,Flatwing,0,0,10000,0.45,343,1232.1712677352634,414,1850,22114,201
C208B,Flatwing,0,10,10000,0.45,343,1235.6860290981233,415,1850,20908,201
C208B,Flatwing,0,0,10000,0.45,686,1195.1561537327098,405,1850,20884,199
C208B,Flatwing,0,10,10000,0.45,686,1198.4521489683982,406,1850,19672,199
C208B,Flatwing,0,0,10000,0.45,1029,1159.6916888986123,396,1850,19641,197
C208B,Flatwing,0,10,10000,0.45,1029,1162.7716716970374,396,1850,18428,197
C208B,Flatwing,0,0,10000,0.45,1371,1125.613431746223,387,1850,18394,194
C208B,Flatwing,0,10,10000,0.45,1371,1128.7375354472492,388,1850,17182,194
C208B,Flatwing,0,0,10000,0.45,1714,1092.8969474351866,378,1850,17144,192
C208B,Flatwing,0,10,10000,0.45,1714,1095.9968107891466,379,1850,15932,192
C208B,Flatwing,0,0,10000,0.45,2057,1058.0807162729827,369,1843,15909,190
C208B,Flatwing,0,10,10000,0.45,2057,1061.1914687516685,369,1843,14698,190
C208B,Flatwing,0,0,10000,0.45,2400,851.8381909063215,300,1500,15909,189
C208B,Flatwing,0,10,10000,0.45,2400,854.9609875023186,300,1500,14698,189
C208B,Tamarack,0,0,10000,0.45,0,1300.6094331135446,432,1850,24402,205
C208B,Tamarack,0,10,10000,0.45,0,1304.6436728532926,433,1850,23204,205
C208B,Tamarack,0,0,10000,0.45,343,1266.0546611474203,424,1850,23338,203
C208B,Tamarack,0,10,10000,0.45,343,1269.7234084627964,424,1850,22133,203
C208B,Tamarack,0,0,10000,0.45,686,1232.5915727607924,415,1850,22263,201
C208B,Tamarack,0,10,10000,0.45,686,1236.0797053931908,416,1850,21058,201
C208B,Tamarack,0,0,10000,0.45,1029,1199.7401873702927,407,1850,21175,199
C208B,Tamarack,0,10,10000,0.45,1029,1203.5612840402453,408,1850,19972,199
C208B,Tamarack,0,0,10000,0.45,1371,1168.4570892014897,399,1850,20092,197
C208B,Tamarack,0,10,10000,0.45,1371,1171.7721021053637,399,1850,18875,196
C208B,Tamarack,0,0,10000,0.45,1714,1138.1175809191996,391,1850,18991,195
C208B,Tamarack,0,10,10000,0.45,1714,1141.5010637108708,392,1850,17780,195
C208B,Tamarack,0,0,10000,0.45,2057,1077.3956374014554,373,1793,18067,193
C208B,Tamarack,0,10,10000,0.45,2057,1080.7585367891868,373,1793,16855,193
C208B,Tamarack,0,0,10000,0.45,2400,861.0041731878918,300,1450,18067,192
C208B,Tamarack,0,10,10000,0.45,2400,864.3999428105221,301,1450,16855,192
