aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,0,10000,0.45,0,100,250,False,2200,6700,ok,,1270.6591050751454,424,1850,23338,204,23338,False,0.31,True,350
C208B,Flatwing,0,0,10000,0.45,343,100,250,False,2200,7043,ok,,1232.1712677352634,414,1850,22114,201,22114,False,0.3,True,350
C208B,Flatwing,0,0,10000,0.45,686,100,250,False,2200,7386,ok,,1195.1561537327098,405,1850,20884,199,20884,False,0.3,True,350
C208B,Flatwing,0,0,10000,0.45,1029,100,250,False,2200,7729,ok,,1159.6916888986123,396,1850,19641,197,19641,False,0.3,True,350
C208B,Flatwing,0,0,10000,0.45,1371,100,250,False,2200,8071,ok,,1125.613431746223,387,1850,18394,194,18394,False,0.29,True,350
C208B,Flatwing,0,0,10000,0.45,1714,100,250,False,2200,8414,ok,,1092.8969474351866,378,1850,17144,192,17144,False,0.29,True,350
C208B,Flatwing,0,0,10000,0.45,2057,100,250,False,2193,8750,ok,,1058.0807162729827,369,1843,15909,190,15909,False,0.29,True,350
C208B,Flatwing,0,0,10000,0.45,2400,100,250,False,1850,8750,ok,,851.8381909063215,300,1500,15909,189,15909,False,0.29,True,350
C208B,Flatwing,0,10,10000,0.45,0,100,250,False,2200,6700,ok,,1274.0900879188293,425,1850,22130,204,22130,False,0.31,True,350
C208B,Flatwing,0,10,10000,0.45,343,100,250,False,2200,7043,ok,,1235.6860290981233,415,1850,20908,201,20908,False,0.3,True,350
C208B,Flatwing,0,10,10000,0.45,686,100,250,False,2200,7386,ok,,1198.4521489683982,406,1850,19672,199,19672,False,0.3,True,350
C208B,Flatwing,0,10,10000,0.45,1029,100,250,False,2200,7729,ok,,1162.7716716970374,396,1850,18428,197,18428,False,0.3,True,350
C208B,Flatwing,0,10,10000,0.45,1371,100,250,False,2200,8071,ok,,1128.7375354472492,388,1850,17182,194,17182,False,0.29,True,350
C208B,Flatwing,0,10,10000,0.45,1714,100,250,False,2200,8414,ok,,1095.9968107891466,379,1850,15932,192,15932,False,0.29,True,350
C208B,Flatwing,0,10,10000,0.45,2057,100,250,False,2193,8750,ok,,1061.1914687516685,369,1843,14698,190,14698,False,0.29,True,350
C208B,Flatwing,0,10,10000,0.45,2400,100,250,False,1850,8750,ok,,854.9609875023186,300,1500,14698,189,14698,False,0.29,True,350
C208B,Tamarack,0,0,10000,0.45,0,100,250,False,2200,6750,ok,,1300.6094331135446,432,1850,24402,205,24402,False,0.31,True,350
C208B,Tamarack,0,0,10000,0.45,343,100,250,False,2200,7093,ok,,1266.0546611474203,424,1850,23338,203,23338,False,0.31,True,350
C208B,Tamarack,0,0,10000,0.45,686,100,250,False,2200,7436,ok,,1232.5915727607924,415,1850,22263,201,22263,False,0.3,True,350
C208B,Tamarack,0,0,10000,0.45,1029,100,250,False,2200,7779,ok,,1199.7401873702927,407,1850,21175,199,21175,False,0.3,True,350
C208B,Tamarack,0,0,10000,0.45,1371,100,250,False,2200,8121,ok,,1168.4570892014897,399,1850,20092,197,20092,False,0.3,True,350
C208B,Tamarack,0,0,10000,0.45,1714,100,250,False,2200,8464,ok,,1138.1175809191996,391,1850,18991,195,18991,False,0.29,True,350
C208B,Tamarack,0,0,10000,0.45,2057,100,250,False,2143,8750,ok,,1077.3956374014554,373,1793,18067,193,18067,False,0.29,True,350
C208B,Tamarack,0,0,10000,0.45,2400,100,250,False,1800,8750,ok,,861.0041731878918,300,1450,18067,192,18067,False,0.29,True,350
C208B,Tamarack,0,10,10000,0.45,0,100,250,False,2200,6750,ok,,1304.6436728532926,433,1850,23204,205,23204,False,0.31,True,350
C208B,Tamarack,0,10,10000,0.45,343,100,250,False,2200,7093,ok,,1269.7234084627964,424,1850,22133,203,22133,False,0.31,True,350
C208B,Tamarack,0,10,10000,0.45,686,100,250,False,2200,7436,ok,,1236.0797053931908,416,1850,21058,201,21058,False,0.3,True,350
C208B,Tamarack,0,10,10000,0.45,1029,100,250,False,2200,7779,ok,,1203.5612840402453,408,1850,19972,199,19972,False,0.3,True,350
C208B,Tamarack,0,10,10000,0.45,1371,100,250,False,2200,8121,ok,,1171.7721021053637,399,1850,18875,196,18875,False,0.3,True,350
C208B,Tamarack,0,10,10000,0.45,1714,100,250,False,2200,8464,ok,,1141.5010637108708,392,1850,17780,195,17780,False,0.29,True,350
C208B,Tamarack,0,10,10000,0.45,2057,100,250,False,2143,8750,ok,,1080.7585367891868,373,1793,16855,193,16855,False,0.29,True,350
C208B,Tamarack,0,10,10000,0.45,2400,100,250,False,1800,8750,ok,,864.3999428105221,301,1450,16855,192,16855,False,0.29,True,350
