aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
C208B,Flatwing,0,0,10000,0.45,0,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,0,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,343,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,343,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,686,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,686,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,1029,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,1029,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,1371,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,1371,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,1714,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,1714,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,2057,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,2057,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,0,10000,0.45,2400,n/p,n/p,n/p,n/p,n/p
C208B,Flatwing,0,10,10000,0.45,2400,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,0,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,0,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,343,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,343,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,686,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,686,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,1029,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,1029,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,1371,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,1371,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,1714,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,1714,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,2057,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,2057,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,0,10000,0.45,2400,n/p,n/p,n/p,n/p,n/p
C208B,Tamarack,0,10,10000,0.45,2400,n/p,n/p,n/p,n/p,n/p
