aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,0,10000,0.45,0,100,250,False,2200,6700,mach_limited,,n/p,n/p,n/p,n/p,n/p,23338,False,0.31,True,
C208B,Flatwing,0,0,10000,0.45,343,100,250,False,2200,7043,mach_limited,,n/p,n/p,n/p,n/p,n/p,22114,False,0.3,True,
C208B,Flatwing,0,0,10000,0.45,686,100,250,False,2200,7386,mach_limited,,n/p,n/p,n/p,n/p,n/p,20884,False,0.3,True,
C208B,Flatwing,0,0,10000,0.45,1029,100,250,False,2200,7729,mach_limited,,n/p,n/p,n/p,n/p,n/p,19641,False,0.3,True,
C208B,Flatwing,0,0,10000,0.45,1371,100,250,False,2200,8071,mach_limited,,n/p,n/p,n/p,n/p,n/p,18394,False,0.29,True,
C208B,Flatwing,0,0,10000,0.45,1714,100,250,False,2200,8414,mach_limited,,n/p,n/p,n/p,n/p,n/p,17144,False,0.29,True,
C208B,Flatwing,0,0,10000,0.45,2057,100,250,False,2193,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,15909,False,0.29,True,
C208B,Flatwing,0,0,10000,0.45,2400,100,250,False,1850,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,15909,False,0.29,True,
C208B,Flatwing,0,10,10000,0.45,0,100,250,False,2200,6700,mach_limited,,n/p,n/p,n/p,n/p,n/p,22130,False,0.31,True,
C208B,Flatwing,0,10,10000,0.45,343,100,250,False,2200,7043,mach_limited,,n/p,n/p,n/p,n/p,n/p,20908,False,0.3,True,
C208B,Flatwing,0,10,10000,0.45,686,100,250,False,2200,7386,mach_limited,,n/p,n/p,n/p,n/p,n/p,19672,False,0.3,True,
C208B,Flatwing,0,10,10000,0.45,1029,100,250,False,2200,7729,mach_limited,,n/p,n/p,n/p,n/p,n/p,18428,False,0.3,True,
C208B,Flatwing,0,10,10000,0.45,1371,100,250,False,2200,8071,mach_limited,,n/p,n/p,n/p,n/p,n/p,17182,False,0.29,True,
C208B,Flatwing,0,10,10000,0.45,1714,100,250,False,2200,8414,mach_limited,,n/p,n/p,n/p,n/p,n/p,15932,False,0.29,True,
C208B,Flatwing,0,10,10000,0.45,2057,100,250,False,2193,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,14698,False,0.29,True,
C208B,Flatwing,0,10,10000,0.45,2400,100,250,False,1850,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,14698,False,0.29,True,
C208B,Tamarack,0,0,10000,0.45,0,100,250,False,2200,6750,mach_limited,,n/p,n/p,n/p,n/p,n/p,24402,False,0.31,True,
C208B,Tamarack,0,0,10000,0.45,343,100,250,False,2200,7093,mach_limited,,n/p,n/p,n/p,n/p,n/p,23338,False,0.31,True,
C208B,Tamarack,0,0,10000,0.45,686,100,250,False,2200,7436,mach_limited,,n/p,n/p,n/p,n/p,n/p,22263,False,0.3,True,
C208B,Tamarack,0,0,10000,0.45,1029,100,250,False,2200,7779,mach_limited,,n/p,n/p,n/p,n/p,n/p,21175,False,0.3,True,
C208B,Tamarack,0,0,10000,0.45,1371,100,250,False,2200,8121,mach_limited,,n/p,n/p,n/p,n/p,n/p,20092,False,0.3,True,
C208B,Tamarack,0,0,10000,0.45,1714,100,250,False,2200,8464,mach_limited,,n/p,n/p,n/p,n/p,n/p,18991,False,0.29,True,
C208B,Tamarack,0,0,10000,0.45,2057,100,250,False,2143,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,18067,False,0.29,True,
C208B,Tamarack,0,0,10000,0.45,2400,100,250,False,1800,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,18067,False,0.29,True,
C208B,Tamarack,0,10,10000,0.45,0,100,250,False,2200,6750,mach_limited,,n/p,n/p,n/p,n/p,n/p,23204,False,0.31,True,
C208B,Tamarack,0,10,10000,0.45,343,100,250,False,2200,7093,mach_limited,,n/p,n/p,n/p,n/p,n/p,22133,False,0.31,True,
C208B,Tamarack,0,10,10000,0.45,686,100,250,False,2200,7436,mach_limited,,n/p,n/p,n/p,n/p,n/p,21058,False,0.3,True,
C208B,Tamarack,0,10,10000,0.45,1029,100,250,False,2200,7779,mach_limited,,n/p,n/p,n/p,n/p,n/p,19972,False,0.3,True,
C208B,Tamarack,0,10,10000,0.45,1371,100,250,False,2200,8121,mach_limited,,n/p,n/p,n/p,n/p,n/p,18875,False,0.3,True,
C208B,Tamarack,0,10,10000,0.45,1714,100,250,False,2200,8464,mach_limited,,n/p,n/p,n/p,n/p,n/p,17780,False,0.29,True,
C208B,Tamarack,0,10,10000,0.45,2057,100,250,False,2143,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,16855,False,0.29,True,
C208B,Tamarack,0,10,10000,0.45,2400,100,250,False,1800,8750,mach_limited,,n/p,n/p,n/p,n/p,n/p,16855,False,0.29,True,
