aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
C208B,Flatwing,0,0,0.35,14000,0,1270.6591050751454
C208B,Flatwing,0,0,0.33,14000,0,1270.6591050751454
C208B,Flatwing,0,0,0.31,14000,0,1270.6591050751454
C208B,Flatwing,0,0,0.35,12000,0,1270.6591050751454
C208B,Flatwing,0,0,0.33,12000,0,1270.6591050751454
C208B,Flatwing,0,0,0.31,12000,0,1270.6591050751454
C208B,Flatwing,0,0,0.35,10000,0,1270.6591050751454
C208B,Flatwing,0,0,0.33,10000,0,1270.6591050751454
C208B,Flatwing,0,0,0.31,10000,0,1270.6591050751454
C208B,Flatwing,0,10,0.35,14000,0,1274.0900879188293
C208B,Flatwing,0,10,0.33,14000,0,1274.0900879188293
C208B,Flatwing,0,10,0.31,14000,0,1274.0900879188293
C208B,Flatwing,0,10,0.35,12000,0,1274.0900879188293
C208B,Flatwing,0,10,0.33,12000,0,1274.0900879188293
C208B,Flatwing,0,10,0.31,12000,0,1274.0900879188293
C208B,Flatwing,0,10,0.35,10000,0,1274.0900879188293
C208B,Flatwing,0,10,0.33,10000,0,1274.0900879188293
C208B,Flatwing,0,10,0.31,10000,0,1274.0900879188293
C208B,Tamarack,0,0,0.35,14000,0,1300.6094331135446
C208B,Tamarack,0,0,0.33,14000,0,1300.6094331135446
C208B,Tamarack,0,0,0.31,14000,0,1300.6442122694737
C208B,Tamarack,0,0,0.35,12000,0,1300.6094331135446
C208B,Tamarack,0,0,0.33,12000,0,1300.6094331135446
C208B,Tamarack,0,0,0.31,12000,0,1300.6442122694737
C208B,Tamarack,0,0,0.35,10000,0,1300.6094331135446
C208B,Tamarack,0,0,0.33,10000,0,1300.6094331135446
C208B,Tamarack,0,0,0.31,10000,0,1300.6442122694737
C208B,Tamarack,0,10,0.35,14000,0,1304.6436728532926
C208B,Tamarack,0,10,0.33,14000,0,1304.6436728532926
C208B,Tamarack,0,10,0.31,14000,0,1304.4197718066325
C208B,Tamarack,0,10,0.35,12000,0,1304.6436728532926
C208B,Tamarack,0,10,0.33,12000,0,1304.6436728532926
C208B,Tamarack,0,10,0.31,12000,0,1304.4197718066325
C208B,Tamarack,0,10,0.35,10000,0,1304.6436728532926
C208B,Tamarack,0,10,0.33,10000,0,1304.6436728532926
C208B,Tamarack,0,10,0.31,10000,0,1304.4197718066325
