aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
C208B,Flatwing,0,0,14000,0.35,0,1270.6591050751454
C208B,Flatwing,0,0,14000,0.33,0,1270.6591050751454
C208B,Flatwing,0,0,14000,0.31,0,1270.6591050751454
C208B,Flatwing,0,0,12000,0.35,0,1270.6591050751454
C208B,Flatwing,0,0,12000,0.33,0,1270.6591050751454
C208B,Flatwing,0,0,12000,0.31,0,1270.6591050751454
C208B,Flatwing,0,0,10000,0.35,0,1270.6591050751454
C208B,Flatwing,0,0,10000,0.33,0,1270.6591050751454
C208B,Flatwing,0,0,10000,0.31,0,1270.6591050751454
C208B,Flatwing,0,10,14000,0.35,0,1274.0900879188293
C208B,Flatwing,0,10,14000,0.33,0,1274.0900879188293
C208B,Flatwing,0,10,14000,0.31,0,1274.0900879188293
C208B,Flatwing,0,10,12000,0.35,0,1274.0900879188293
C208B,Flatwing,0,10,12000,0.33,0,1274.0900879188293
C208B,Flatwing,0,10,12000,0.31,0,1274.0900879188293
C208B,Flatwing,0,10,10000,0.35,0,1274.0900879188293
C208B,Flatwing,0,10,10000,0.33,0,1274.0900879188293
C208B,Flatwing,0,10,10000,0.31,0,1274.0900879188293
C208B,Tamarack,0,0,14000,0.35,0,1300.6094331135446
C208B,Tamarack,0,0,14000,0.33,0,1300.6094331135446
C208B,Tamarack,0,0,14000,0.31,0,1300.6442122694737
C208B,Tamarack,0,0,12000,0.35,0,1300.6094331135446
C208B,Tamarack,0,0,12000,0.33,0,1300.6094331135446
C208B,Tamarack,0,0,12000,0.31,0,1300.6442122694737
C208B,Tamarack,0,0,10000,0.35,0,1300.6094331135446
C208B,Tamarack,0,0,10000,0.33,0,1300.6094331135446
C208B,Tamarack,0,0,10000,0.31,0,1300.6442122694737
C208B,Tamarack,0,10,14000,0.35,0,1304.6436728532926
C208B,Tamarack,0,10,14000,0.33,0,1304.6436728532926
C208B,Tamarack,0,10,14000,0.31,0,1304.4197718066325
C208B,Tamarack,0,10,12000,0.35,0,1304.6436728532926
C208B,Tamarack,0,10,12000,0.33,0,1304.6436728532926
C208B,Tamarack,0,10,12000,0.31,0,1304.4197718066325
C208B,Tamarack,0,10,10000,0.35,0,1304.6436728532926
C208B,Tamarack,0,10,10000,0.33,0,1304.6436728532926
C208B,Tamarack,0,10,10000,0.31,0,1304.4197718066325
