aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,-10,41000,0.7,0,100,600,False,3440,10590,ok,,1382.0,240,2740,40737,382.9630919650881,196.0,40737,False,0.6677318400817975,True,700
CJ1,Flatwing,0,-10,41000,0.7,230,100,600,False,3320,10700,ok,,1300.0,227,2620,40517,381.9242177600847,197.0,40517,False,0.665920466090218,True,700
CJ1,Flatwing,0,-10,41000,0.7,460,100,600,False,3090,10700,ok,,1170.0,206,2390,40517,380.22909484571835,196.0,40517,False,0.6629648613164875,True,700
CJ1,Flatwing,0,-10,41000,0.7,690,100,600,False,2860,10700,ok,,1041.0,186,2160,40517,378.4464663709795,195.0,40517,False,0.6598566824433962,True,700
CJ1,Flatwing,0,-10,41000,0.7,920,100,600,False,2630,10700,ok,,913.0,165,1930,40517,376.56240625357015,195.0,40517,False,0.6565716480486531,True,700
CJ1,Flatwing,0,-10,41000,0.7,1150,100,600,False,2400,10700,ok,,785.0,145,1700,40517,374.56029411446383,194.0,40517,False,0.6530807789525329,True,700
CJ1,Flatwing,0,-10,41000,0.69,0,100,600,False,3440,10590,ok,,1382.0,240,2740,40737,382.9630919650881,196.0,40737,False,0.6677318400817975,True,700
CJ1,Flatwing,0,-10,41000,0.69,230,100,600,False,3320,10700,ok,,1300.0,227,2620,40517,381.9242177600847,197.0,40517,False,0.665920466090218,True,700
CJ1,Flatwing,0,-10,41000,0.69,460,100,600,False,3090,10700,ok,,1170.0,206,2390,40517,380.22909484571835,196.0,40517,False,0.6629648613164875,True,700
CJ1,Flatwing,0,-10,41000,0.69,690,100,600,False,2860,10700,ok,,1041.0,186,2160,40517,378.4464663709795,195.0,40517,False,0.6598566824433962,True,700
CJ1,Flatwing,0,-10,41000,0.69,920,100,600,False,2630,10700,ok,,913.0,165,1930,40517,376.56240625357015,195.0,40517,False,0.6565716480486531,True,700
CJ1,Flatwing,0,-10,41000,0.69,1150,100,600,False,2400,10700,ok,,785.0,145,1700,40517,374.56029411446383,194.0,40517,False,0.6530807789525329,True,700
CJ1,Flatwing,0,-10,41000,0.68,0,100,600,False,3440,10590,ok,,1382.0,240,2740,40737,382.9630919650881,196.0,40737,False,0.6677318400817975,True,700
CJ1,Flatwing,0,-10,41000,0.68,230,100,600,False,3320,10700,ok,,1300.0,227,2620,40517,381.9242177600847,197.0,40517,False,0.665920466090218,True,700
