aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
C208B,Flatwing,0,-10,24000,0.0,0,416
C208B,Flatwing,0,-10,24000,0.0,0,416
C208B,Flatwing,0,-10,24000,0.0,0,416
C208B,Flatwing,0,-10,24000,0.0,0,416
C208B,Flatwing,0,-10,24000,0.0,0,416
C208B,Flatwing,0,-10,22000,0.0,0,402
C208B,Flatwing,0,-10,22000,0.0,0,402
C208B,Flatwing,0,-10,22000,0.0,0,402
C208B,Flatwing,0,-10,22000,0.0,0,402
C208B,Flatwing,0,-10,22000,0.0,0,402
C208B,Flatwing,0,-10,20000,0.0,0,387
C208B,Flatwing,0,-10,20000,0.0,0,387
C208B,Flatwing,0,-10,20000,0.0,0,387
C208B,Flatwing,0,-10,20000,0.0,0,387
C208B,Flatwing,0,-10,20000,0.0,0,387
C208B,Flatwing,0,-10,18000,0.0,0,374
C208B,Flatwing,0,-10,18000,0.0,0,374
C208B,Flatwing,0,-10,18000,0.0,0,374
C208B,Flatwing,0,-10,18000,0.0,0,374
C208B,Flatwing,0,-10,18000,0.0,0,374
C208B,Flatwing,0,-10,16000,0.0,0,361
C208B,Flatwing,0,-10,16000,0.0,0,361
C208B,Flatwing,0,-10,16000,0.0,0,361
C208B,Flatwing,0,-10,16000,0.0,0,361
C208B,Flatwing,0,-10,16000,0.0,0,361
C208B,Flatwing,0,-10,14000,0.0,0,348
C208B,Flatwing,0,-10,14000,0.0,0,348
C208B,Flatwing,0,-10,14000,0.0,0,348
C208B,Flatwing,0,-10,14000,0.0,0,348
C208B,Flatwing,0,-10,14000,0.0,0,348
C208B,Flatwing,0,-10,12000,0.0,0,336
C208B,Flatwing,0,-10,12000,0.0,0,336
C208B,Flatwing,0,-10,12000,0.0,0,336
C208B,Flatwing,0,-10,12000,0.0,0,336
C208B,Flatwing,0,-10,12000,0.0,0,336
C208B,Flatwing,0,-10,10000,0.0,0,325
C208B,Flatwing,0,-10,10000,0.0,0,325
C208B,Flatwing,0,-10,10000,0.0,0,325
C208B,Flatwing,0,-10,10000,0.0,0,325
C208B,Flatwing,0,-10,10000,0.0,0,325
C208B,Flatwing,0,0,24000,0.0,0,425
C208B,Flatwing,0,0,24000,0.0,0,425
C208B,Flatwing,0,0,24000,0.0,0,425
C208B,Flatwing,0,0,24000,0.0,0,425
C208B,Flatwing,0,0,24000,0.0,0,425
C208B,Flatwing,0,0,22000,0.0,0,411
C208B,Flatwing,0,0,22000,0.0,0,411
C208B,Flatwing,0,0,22000,0.0,0,411
C208B,Flatwing,0,0,22000,0.0,0,411
C208B,Flatwing,0,0,22000,0.0,0,411
C208B,Flatwing,0,0,20000,0.0,0,396
C208B,Flatwing,0,0,20000,0.0,0,396
C208B,Flatwing,0,0,20000,0.0,0,396
C208B,Flatwing,0,0,20000,0.0,0,396
C208B,Flatwing,0,0,20000,0.0,0,396
C208B,Flatwing,0,0,18000,0.0,0,382
C208B,Flatwing,0,0,18000,0.0,0,382
C208B,Flatwing,0,0,18000,0.0,0,382
C208B,Flatwing,0,0,18000,0.0,0,382
C208B,Flatwing,0,0,18000,0.0,0,382
C208B,Flatwing,0,0,16000,0.0,0,369
C208B,Flatwing,0,0,16000,0.0,0,369
C208B,Flatwing,0,0,16000,0.0,0,369
C208B,Flatwing,0,0,16000,0.0,0,369
C208B,Flatwing,0,0,16000,0.0,0,369
C208B,Flatwing,0,0,14000,0.0,0,356
C208B,Flatwing,0,0,14000,0.0,0,356
C208B,Flatwing,0,0,14000,0.0,0,356
C208B,Flatwing,0,0,14000,0.0,0,356
C208B,Flatwing,0,0,14000,0.0,0,356
C208B,Flatwing,0,0,12000,0.0,0,344
C208B,Flatwing,0,0,12000,0.0,0,344
C208B,Flatwing,0,0,12000,0.0,0,344
C208B,Flatwing,0,0,12000,0.0,0,344
C208B,Flatwing,0,0,12000,0.0,0,344
C208B,Flatwing,0,0,10000,0.0,0,332
C208B,Flatwing,0,0,10000,0.0,0,332
C208B,Flatwing,0,0,10000,0.0,0,332
C208B,Flatwing,0,0,10000,0.0,0,332
C208B,Flatwing,0,0,10000,0.0,0,332
C208B,Flatwing,0,10,24000,0.0,0,436
C208B,Flatwing,0,10,24000,0.0,0,436
C208B,Flatwing,0,10,24000,0.0,0,436
C208B,Flatwing,0,10,24000,0.0,0,436
C208B,Flatwing,0,10,24000,0.0,0,436
C208B,Flatwing,0,10,22000,0.0,0,421
C208B,Flatwing,0,10,22000,0.0,0,421
C208B,Flatwing,0,10,22000,0.0,0,421
C208B,Flatwing,0,10,22000,0.0,0,421
C208B,Flatwing,0,10,22000,0.0,0,421
C208B,Flatwing,0,10,20000,0.0,0,406
C208B,Flatwing,0,10,20000,0.0,0,406
C208B,Flatwing,0,10,20000,0.0,0,406
C208B,Flatwing,0,10,20000,0.0,0,406
C208B,Flatwing,0,10,20000,0.0,0,406
C208B,Flatwing,0,10,18000,0.0,0,391
C208B,Flatwing,0,10,18000,0.0,0,391
C208B,Flatwing,0,10,18000,0.0,0,391
C208B,Flatwing,0,10,18000,0.0,0,391
C208B,Flatwing,0,10,18000,0.0,0,391
C208B,Flatwing,0,10,16000,0.0,0,378
C208B,Flatwing,0,10,16000,0.0,0,378
C208B,Flatwing,0,10,16000,0.0,0,378
C208B,Flatwing,0,10,16000,0.0,0,378
C208B,Flatwing,0,10,16000,0.0,0,377
C208B,Flatwing,0,10,14000,0.0,0,364
C208B,Flatwing,0,10,14000,0.0,0,364
C208B,Flatwing,0,10,14000,0.0,0,364
C208B,Flatwing,0,10,14000,0.0,0,364
