aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
C208B,Flatwing,0,-10,0.0,25000,0,1267.0901475082103
C208B,Flatwing,0,-10,0.0,25000,0,1267.0901475082103
C208B,Flatwing,0,-10,0.0,25000,0,1267.0901475082103
C208B,Flatwing,0,-10,0.0,23000,0,1221.5192822333352
C208B,Flatwing,0,-10,0.0,23000,0,1221.5192822333352
C208B,Flatwing,0,-10,0.0,23000,0,1221.5192822333352
C208B,Flatwing,0,-10,0.0,21000,0,1175.2490538373747
C208B,Flatwing,0,-10,0.0,21000,0,1175.2490538373747
C208B,Flatwing,0,-10,0.0,21000,0,1175.2490538373747
C208B,Flatwing,0,-10,0.0,19000,0,1130.6108131861322
C208B,Flatwing,0,-10,0.0,19000,0,1130.6108131861322
C208B,Flatwing,0,-10,0.0,19000,0,1130.6108131861322
C208B,Flatwing,0,0,0.0,25000,0,1299.7569548492725
C208B,Flatwing,0,0,0.0,25000,0,1299.7569548492725
C208B,Flatwing,0,0,0.0,25000,0,1299.7569548492725
C208B,Flatwing,0,0,0.0,23000,0,1253.3763638476062
C208B,Flatwing,0,0,0.0,23000,0,1253.3763638476062
C208B,Flatwing,0,0,0.0,23000,0,1253.3763638476062
C208B,Flatwing,0,0,0.0,21000,0,1206.043440519075
C208B,Flatwing,0,0,0.0,21000,0,1206.043440519075
C208B,Flatwing,0,0,0.0,21000,0,1206.043440519075
C208B,Flatwing,0,0,0.0,19000,0,1160.040597677203
C208B,Flatwing,0,0,0.0,19000,0,1160.040597677203
C208B,Flatwing,0,0,0.0,19000,0,1160.040597677203
C208B,Flatwing,0,10,0.0,25000,0,1283.8922913172837
C208B,Flatwing,0,10,0.0,25000,0,1283.8922913172837
C208B,Flatwing,0,10,0.0,25000,0,1283.8922913172837
C208B,Flatwing,0,10,0.0,23000,0,1283.8922913172837
C208B,Flatwing,0,10,0.0,23000,0,1283.8922913172837
C208B,Flatwing,0,10,0.0,23000,0,1283.8922913172837
C208B,Flatwing,0,10,0.0,21000,0,1237.7279382719123
C208B,Flatwing,0,10,0.0,21000,0,1237.7279382719123
C208B,Flatwing,0,10,0.0,21000,0,1237.7279382719123
C208B,Flatwing,0,10,0.0,19000,0,1190.6819920151743
C208B,Flatwing,0,10,0.0,19000,0,1190.6819920151743
C208B,Flatwing,0,10,0.0,19000,0,1190.6819920151743
C208B,Flatwing,0,20,0.0,25000,0,1317.2630842774624
C208B,Flatwing,0,20,0.0,25000,0,1317.2630842774624
C208B,Flatwing,0,20,0.0,25000,0,1317.2630842774624
C208B,Flatwing,0,20,0.0,23000,0,1317.2630842774624
C208B,Flatwing,0,20,0.0,23000,0,1317.2630842774624
C208B,Flatwing,0,20,0.0,23000,0,1317.2630842774624
C208B,Flatwing,0,20,0.0,21000,0,1268.5527815626956
C208B,Flatwing,0,20,0.0,21000,0,1268.5527815626956
C208B,Flatwing,0,20,0.0,21000,0,1268.5527815626956
C208B,Flatwing,0,20,0.0,19000,0,1222.0411311029466
C208B,Flatwing,0,20,0.0,19000,0,1222.0411311029466
C208B,Flatwing,0,20,0.0,19000,0,1222.0411311029466
