aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,-10,25000,0.0,170.0,0,100,250,False,2200,6700,ok,,1267.0,423,1850,24907,186.90118728353625,127.0,24907,False,0.3088912015066245,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,0,100,250,False,2200,6700,ok,,1267.0,423,1850,24907,186.90118728353625,127.0,24907,False,0.3088912015066245,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,0,100,250,False,2200,6700,ok,,1267.0,423,1850,24907,186.90118728353625,127.0,24907,False,0.3088912015066245,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,0,100,250,False,2200,6700,ok,,1267.0,423,1850,24907,186.90118728353625,127.0,24907,False,0.3088912015066245,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,0,100,250,False,2200,6700,ok,,1267.0,423,1850,24907,186.90118728353625,127.0,24907,False,0.3088912015066245,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,267,100,250,False,2200,6967,ok,,1259.0,423,1850,24904,186.1481649654999,126.0,24904,False,0.3076423828539818,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,267,100,250,False,2200,6967,ok,,1259.0,423,1850,24904,186.1481649654999,126.0,24904,False,0.3076423828539818,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,267,100,250,False,2200,6967,ok,,1259.0,423,1850,24904,186.1481649654999,126.0,24904,False,0.3076423828539818,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,267,100,250,False,2200,6967,ok,,1259.0,423,1850,24904,186.1481649654999,126.0,24904,False,0.3076423828539818,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,267,100,250,False,2200,6967,ok,,1259.0,423,1850,24904,186.1481649654999,126.0,24904,False,0.3076423828539818,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,533,100,250,False,2200,7233,ok,,1250.0,422,1850,24904,185.34622920658032,126.0,24904,False,0.3063155388208573,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,533,100,250,False,2200,7233,ok,,1250.0,422,1850,24904,185.34622920658032,126.0,24904,False,0.3063155388208573,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,533,100,250,False,2200,7233,ok,,1250.0,422,1850,24904,185.34622920658032,126.0,24904,False,0.3063155388208573,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,533,100,250,False,2200,7233,ok,,1250.0,422,1850,24904,185.34622920658032,126.0,24904,False,0.3063155388208573,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,533,100,250,False,2200,7233,ok,,1250.0,422,1850,24904,185.34622920658032,126.0,24904,False,0.3063155388208573,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,800,100,250,False,2200,7500,ok,,1197.0,407,1850,22902,184.07347380450324,129.0,22902,True,0.3017425064972744,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,800,100,250,False,2200,7500,ok,,1197.0,407,1850,22902,184.07347380450324,129.0,22902,True,0.3017425064972744,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,800,100,250,False,2200,7500,ok,,1197.0,407,1850,22902,184.07347380450324,129.0,22902,True,0.3017425064972744,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,800,100,250,False,2200,7500,ok,,1197.0,407,1850,22902,184.07347380450324,129.0,22902,True,0.3017425064972744,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,800,100,250,False,2200,7500,ok,,1197.0,407,1850,22902,184.07347380450324,129.0,22902,True,0.3017425064972744,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,1067,100,250,False,2200,7767,ok,,1189.0,407,1850,22905,183.27472965717857,129.0,22905,True,0.3004355651080379,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,1067,100,250,False,2200,7767,ok,,1189.0,407,1850,22905,183.27472965717857,129.0,22905,True,0.3004355651080379,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,1067,100,250,False,2200,7767,ok,,1189.0,407,1850,22905,183.27472965717857,129.0,22905,True,0.3004355651080379,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,1067,100,250,False,2200,7767,ok,,1189.0,407,1850,22905,183.27472965717857,129.0,22905,True,0.3004355651080379,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,1067,100,250,False,2200,7767,ok,,1189.0,407,1850,22905,183.27472965717857,129.0,22905,True,0.3004355651080379,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,1333,100,250,False,2200,8033,ok,,1140.0,392,1850,20903,182.10530403069586,132.0,20903,True,0.2961330959761209,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,1333,100,250,False,2200,8033,ok,,1140.0,392,1850,20903,182.10530403069586,132.0,20903,True,0.2961330959761209,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,1333,100,250,False,2200,8033,ok,,1140.0,392,1850,20903,182.10530403069586,132.0,20903,True,0.2961330959761209,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,1333,100,250,False,2200,8033,ok,,1140.0,392,1850,20903,182.10530403069586,132.0,20903,True,0.2961330959761209,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,1333,100,250,False,2200,8033,ok,,1140.0,392,1850,20903,182.10530403069586,132.0,20903,True,0.2961330959761209,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
