aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
C208B,Flatwing,0,-10,25000,0.0,0,1340.751427769339
C208B,Flatwing,0,-10,25000,0.0,0,1310.2823559738308
C208B,Flatwing,0,-10,25000,0.0,0,1243.131704419532
C208B,Flatwing,0,-10,25000,0.0,0,1175.7364220060458
C208B,Flatwing,0,-10,25000,0.0,0,1108.6414910532299
C208B,Flatwing,0,-10,25000,0.0,0,1041.4575169325292
C208B,Flatwing,0,-10,23000,0.0,0,1292.3162026383557
C208B,Flatwing,0,-10,23000,0.0,0,1267.1514355384274
C208B,Flatwing,0,-10,23000,0.0,0,1201.6737497680676
C208B,Flatwing,0,-10,23000,0.0,0,1135.8792405007262
C208B,Flatwing,0,-10,23000,0.0,0,1070.4710424387326
C208B,Flatwing,0,-10,23000,0.0,0,1005.0401435873773
C208B,Flatwing,0,-10,21000,0.0,0,1243.323785919974
C208B,Flatwing,0,-10,21000,0.0,0,1221.9837357387032
C208B,Flatwing,0,-10,21000,0.0,0,1158.3528577980353
C208B,Flatwing,0,-10,21000,0.0,0,1094.6016919666888
C208B,Flatwing,0,-10,21000,0.0,0,1030.8514604524805
C208B,Flatwing,0,-10,21000,0.0,0,967.2764064430752
C208B,Flatwing,0,-10,19000,0.0,0,1195.8747520054058
C208B,Flatwing,0,-10,19000,0.0,0,1178.9914127029783
C208B,Flatwing,0,-10,19000,0.0,0,1117.2482119503509
C208B,Flatwing,0,-10,19000,0.0,0,1055.3145862252384
C208B,Flatwing,0,-10,19000,0.0,0,993.2359261855892
C208B,Flatwing,0,-10,19000,0.0,0,931.4745849848566
C208B,Flatwing,0,-10,17000,0.0,0,1150.251173098121
C208B,Flatwing,0,-10,17000,0.0,0,1137.7264238676598
C208B,Flatwing,0,-10,17000,0.0,0,1077.889261911361
C208B,Flatwing,0,-10,17000,0.0,0,1017.6054246954142
C208B,Flatwing,0,-10,17000,0.0,0,957.6959925606042
C208B,Flatwing,0,-10,17000,0.0,0,897.3360563574512
C208B,Flatwing,0,-10,15000,0.0,0,1106.3280357299873
C208B,Flatwing,0,-10,15000,0.0,0,1098.5367965668777
C208B,Flatwing,0,-10,15000,0.0,0,1040.3890784643536
C208B,Flatwing,0,-10,15000,0.0,0,982.0061837088595
C208B,Flatwing,0,-10,15000,0.0,0,923.6023715324001
C208B,Flatwing,0,-10,15000,0.0,0,865.1858836662637
C208B,Flatwing,0,0,25000,0.0,0,1375.3478892484304
C208B,Flatwing,0,0,25000,0.0,0,1342.8002455053
C208B,Flatwing,0,0,25000,0.0,0,1274.222239463593
C208B,Flatwing,0,0,25000,0.0,0,1205.586675759853
C208B,Flatwing,0,0,25000,0.0,0,1137.0000545594887
C208B,Flatwing,0,0,25000,0.0,0,1068.3467714625679
C208B,Flatwing,0,0,23000,0.0,0,1326.090791871544
C208B,Flatwing,0,0,23000,0.0,0,1298.5207434191452
C208B,Flatwing,0,0,23000,0.0,0,1231.6139328674244
C208B,Flatwing,0,0,23000,0.0,0,1164.5018372733005
C208B,Flatwing,0,0,23000,0.0,0,1097.521018474575
