aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
C208B,Flatwing,0,0,25000,0.0,0,458.0
C208B,Flatwing,0,0,25000,0.0,0,458.0
C208B,Flatwing,0,0,25000,0.0,0,458.0
C208B,Flatwing,0,0,25000,0.0,0,458.0
C208B,Flatwing,0,0,25000,0.0,0,458.0
C208B,Flatwing,0,0,25000,0.0,0,458.0
C208B,Flatwing,0,0,23000,0.0,0,443.0
C208B,Flatwing,0,0,23000,0.0,0,443.0
C208B,Flatwing,0,0,23000,0.0,0,443.0
C208B,Flatwing,0,0,23000,0.0,0,442.0
C208B,Flatwing,0,0,23000,0.0,0,443.0
C208B,Flatwing,0,0,23000,0.0,0,443.0
C208B,Flatwing,0,0,21000,0.0,0,427.0
C208B,Flatwing,0,0,21000,0.0,0,427.0
C208B,Flatwing,0,0,21000,0.0,0,427.0
C208B,Flatwing,0,0,21000,0.0,0,427.0
C208B,Flatwing,0,0,21000,0.0,0,427.0
C208B,Flatwing,0,0,21000,0.0,0,427.0
C208B,Flatwing,0,0,19000,0.0,0,412.0
C208B,Flatwing,0,0,19000,0.0,0,412.0
C208B,Flatwing,0,0,19000,0.0,0,412.0
C208B,Flatwing,0,0,19000,0.0,0,412.0
C208B,Flatwing,0,0,19000,0.0,0,412.0
C208B,Flatwing,0,0,19000,0.0,0,412.0
C208B,Flatwing,0,0,17000,0.0,0,397.0
C208B,Flatwing,0,0,17000,0.0,0,397.0
C208B,Flatwing,0,0,17000,0.0,0,397.0
C208B,Flatwing,0,0,17000,0.0,0,397.0
C208B,Flatwing,0,0,17000,0.0,0,397.0
C208B,Flatwing,0,0,17000,0.0,0,397.0
C208B,Flatwing,0,0,15000,0.0,0,383.0
C208B,Flatwing,0,0,15000,0.0,0,383.0
C208B,Flatwing,0,0,15000,0.0,0,383.0
C208B,Flatwing,0,0,15000,0.0,0,383.0
C208B,Flatwing,0,0,15000,0.0,0,383.0
C208B,Flatwing,0,0,15000,0.0,0,383.0
C208B,Flatwing,0,20,25000,0.0,0,463.0
C208B,Flatwing,0,20,25000,0.0,0,463.0
C208B,Flatwing,0,20,25000,0.0,0,463.0
C208B,Flatwing,0,20,25000,0.0,0,463.0
C208B,Flatwing,0,20,25000,0.0,0,463.0
C208B,Flatwing,0,20,25000,0.0,0,463.0
C208B,Flatwing,0,20,23000,0.0,0,463.0
C208B,Flatwing,0,20,23000,0.0,0,463.0
C208B,Flatwing,0,20,23000,0.0,0,463.0
C208B,Flatwing,0,20,23000,0.0,0,463.0
C208B,Flatwing,0,20,23000,0.0,0,463.0
C208B,Flatwing,0,20,23000,0.0,0,463.0
C208B,Flatwing,0,20,21000,0.0,0,447.0
C208B,Flatwing,0,20,21000,0.0,0,447.0
C208B,Flatwing,0,20,21000,0.0,0,447.0
C208B,Flatwing,0,20,21000,0.0,0,446.0
C208B,Flatwing,0,20,21000,0.0,0,447.0
C208B,Flatwing,0,20,21000,0.0,0,447.0
C208B,Flatwing,0,20,19000,0.0,0,431.0
C208B,Flatwing,0,20,19000,0.0,0,431.0
C208B,Flatwing,0,20,19000,0.0,0,431.0
C208B,Flatwing,0,20,19000,0.0,0,431.0
C208B,Flatwing,0,20,19000,0.0,0,431.0
C208B,Flatwing,0,20,19000,0.0,0,431.0
C208B,Flatwing,0,20,17000,0.0,0,416.0
C208B,Flatwing,0,20,17000,0.0,0,416.0
C208B,Flatwing,0,20,17000,0.0,0,416.0
C208B,Flatwing,0,20,17000,0.0,0,416.0
C208B,Flatwing,0,20,17000,0.0,0,416.0
C208B,Flatwing,0,20,17000,0.0,0,416.0
C208B,Flatwing,0,20,15000,0.0,0,401.0
C208B,Flatwing,0,20,15000,0.0,0,401.0
C208B,Flatwing,0,20,15000,0.0,0,401.0
C208B,Flatwing,0,20,15000,0.0,0,401.0
C208B,Flatwing,0,20,15000,0.0,0,401.0
C208B,Flatwing,0,20,15000,0.0,0,401.0
C208B,Tamarack,0,0,25000,0.0,0,459.0
C208B,Tamarack,0,0,25000,0.0,0,459.0
C208B,Tamarack,0,0,25000,0.0,0,458.0
C208B,Tamarack,0,0,25000,0.0,0,459.0
C208B,Tamarack,0,0,25000,0.0,0,459.0
C208B,Tamarack,0,0,25000,0.0,0,459.0
C208B,Tamarack,0,0,23000,0.0,0,443.0
C208B,Tamarack,0,0,23000,0.0,0,443.0
C208B,Tamarack,0,0,23000,0.0,0,443.0
C208B,Tamarack,0,0,23000,0.0,0,443.0
C208B,Tamarack,0,0,23000,0.0,0,443.0
C208B,Tamarack,0,0,23000,0.0,0,443.0
C208B,Tamarack,0,0,21000,0.0,0,427.0
