aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ,Flatwing,0,-10,41000,0.7,0,1433.3780767672442,244,2740,40995,388.2578941647539,200.22082980100086
CJ,Flatwing,0,0,41000,0.7,0,1487.4373352350713,254,2740,40996,385.943732724165,194.77699888082807
CJ,Flatwing,0,10,41000,0.7,0,1522.033766548511,261,2740,40586,384.26037911011656,187.80216873517992
CJ,Flatwing,0,20,41000,0.7,0,1526.5337425535024,261,2740,39610,384.32871480070116,187.89545713592662
CJ,Flatwing,0,-10,41000,0.7,296,1421.1622336457472,243,2740,41000,386.4674794174891,199.6883987067004
CJ,Flatwing,0,0,41000,0.7,296,1473.126454066615,254,2740,40982,383.9320790108191,190.33004740997217
CJ,Flatwing,0,10,41000,0.7,296,1477.2208688301578,254,2740,40006,384.00155394430755,190.4254444523038
CJ,Flatwing,0,20,41000,0.7,296,1482.035403108217,254,2740,39037,384.04774662148566,190.47350006437924
CJ,Flatwing,0,-10,41000,0.7,591,1408.472424654034,243,2740,40995,384.55726436583757,199.1397058077543
CJ,Flatwing,0,0,41000,0.7,591,1431.0371564729687,247,2740,40408,383.55439988210463,192.96166353115967
CJ,Flatwing,0,10,41000,0.7,591,1435.5686970470456,247,2740,39432,383.6221045166785,193.05706678598722
CJ,Flatwing,0,20,41000,0.7,591,1440.0693018388672,248,2740,38460,383.6783061517069,193.1280060952745
CJ,Flatwing,0,-10,41000,0.7,887,1311.2769124447484,228,2583,40996,382.50283785521015,193.57302159477535
CJ,Flatwing,0,0,41000,0.7,887,1320.4470183004976,230,2583,40134,382.22401763591273,193.84105278982403
CJ,Flatwing,0,10,41000,0.7,887,1325.4282536799926,230,2583,39163,382.2816932858623,193.90960705339046
CJ,Flatwing,0,20,41000,0.7,887,1329.3900290824927,230,2583,38184,382.3547390522989,194.0154998881819
CJ,Flatwing,0,-10,41000,0.7,1183,1140.3616366589602,201,2287,40996,380.2993140939585,192.8004537767303
