aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
CJ,Flatwing,0,-10,41000,0.7,0,1433.3780767672442
CJ,Flatwing,0,-10,41000,0.69,0,1433.3780767672442
CJ,Flatwing,0,-10,41000,0.68,0,1433.3780767672442
CJ,Flatwing,0,-10,39000,0.7,0,1334.1102432244252
CJ,Flatwing,0,-10,39000,0.69,0,1334.1102432244252
CJ,Flatwing,0,-10,39000,0.68,0,1334.4828634868777
CJ,Flatwing,0,-10,37000,0.7,0,1243.1198366162248
CJ,Flatwing,0,-10,37000,0.69,0,1243.1198366162248
CJ,Flatwing,0,-10,37000,0.68,0,1243.5990714399275
CJ,Flatwing,0,0,41000,0.7,0,1487.4373352350713
CJ,Flatwing,0,0,41000,0.69,0,1487.4373352350713
CJ,Flatwing,0,0,41000,0.68,0,1487.4373352350713
CJ,Flatwing,0,0,39000,0.7,0,1385.4681804564211
CJ,Flatwing,0,0,39000,0.69,0,1385.4681804564211
CJ,Flatwing,0,0,39000,0.68,0,1385.4675576713319
CJ,Flatwing,0,0,37000,0.7,0,1289.5613017985033
CJ,Flatwing,0,0,37000,0.69,0,1289.5613017985033
CJ,Flatwing,0,0,37000,0.68,0,1290.2611090387086
CJ,Flatwing,0,10,41000,0.7,0,1522.033766548511
CJ,Flatwing,0,10,41000,0.69,0,1522.033766548511
CJ,Flatwing,0,10,41000,0.68,0,1522.033766548511
CJ,Flatwing,0,10,39000,0.7,0,1438.9379938545735
CJ,Flatwing,0,10,39000,0.69,0,1438.9379938545735
CJ,Flatwing,0,10,39000,0.68,0,1438.9379938545735
CJ,Flatwing,0,10,37000,0.7,0,1339.2547717084005
CJ,Flatwing,0,10,37000,0.69,0,1339.2547717084005
CJ,Flatwing,0,10,37000,0.68,0,1339.5993726671811
CJ,Flatwing,0,20,41000,0.7,0,1526.5337425535024
CJ,Flatwing,0,20,41000,0.69,0,1526.5337425535024
CJ,Flatwing,0,20,41000,0.68,0,1526.5337425535024
CJ,Flatwing,0,20,39000,0.7,0,1493.594446076168
CJ,Flatwing,0,20,39000,0.69,0,1493.594446076168
CJ,Flatwing,0,20,39000,0.68,0,1493.594446076168
CJ,Flatwing,0,20,37000,0.7,0,1391.2173220450902
CJ,Flatwing,0,20,37000,0.69,0,1391.2173220450902
CJ,Flatwing,0,20,37000,0.68,0,1391.2102551959026
CJ,Tamarack,0,-10,41000,0.7,0,1452.1251527878899
CJ,Tamarack,0,-10,41000,0.69,0,1452.1251527878899
CJ,Tamarack,0,-10,41000,0.68,0,1452.3686326928278
CJ,Tamarack,0,-10,39000,0.7,0,1344.5776107866895
CJ,Tamarack,0,-10,39000,0.69,0,1344.5776107866895
CJ,Tamarack,0,-10,39000,0.68,0,1347.0786620243541
CJ,Tamarack,0,-10,37000,0.7,0,1248.5132724206337
CJ,Tamarack,0,-10,37000,0.69,0,1248.5132724206337
CJ,Tamarack,0,-10,37000,0.68,0,1250.4788824259042
CJ,Tamarack,0,0,41000,0.7,0,1512.9804720067423
CJ,Tamarack,0,0,41000,0.69,0,1512.9804720067423
CJ,Tamarack,0,0,41000,0.68,0,1512.9804720067423
CJ,Tamarack,0,0,39000,0.7,0,1400.3279925817799
CJ,Tamarack,0,0,39000,0.69,0,1400.3279925817799
CJ,Tamarack,0,0,39000,0.68,0,1401.816789765613
CJ,Tamarack,0,0,37000,0.7,0,1297.7897182664135
CJ,Tamarack,0,0,37000,0.69,0,1297.7897182664135
CJ,Tamarack,0,0,37000,0.68,0,1300.1222715570889
CJ,Tamarack,0,10,41000,0.7,0,1576.7207036152622
CJ,Tamarack,0,10,41000,0.69,0,1576.7207036152622
CJ,Tamarack,0,10,41000,0.68,0,1576.7207036152622
CJ,Tamarack,0,10,39000,0.7,0,1458.345634065134
CJ,Tamarack,0,10,39000,0.69,0,1458.345634065134
CJ,Tamarack,0,10,39000,0.68,0,1458.98682407812
CJ,Tamarack,0,10,37000,0.7,0,1350.5404557234428
CJ,Tamarack,0,10,37000,0.69,0,1350.5404557234428
CJ,Tamarack,0,10,37000,0.68,0,1352.9900678542976
CJ,Tamarack,0,20,41000,0.7,0,1642.7708490891541
CJ,Tamarack,0,20,41000,0.69,0,1642.7708490891541
CJ,Tamarack,0,20,41000,0.68,0,1642.7708490891541
CJ,Tamarack,0,20,39000,0.7,0,1520.0825002471108
CJ,Tamarack,0,20,39000,0.69,0,1520.0825002471108
CJ,Tamarack,0,20,39000,0.68,0,1520.0825002471108
CJ,Tamarack,0,20,37000,0.7,0,1406.1072089816591
CJ,Tamarack,0,20,37000,0.69,0,1406.1072089816591
CJ,Tamarack,0,20,37000,0.68,0,1407.5941161272335
