aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ1,Flatwing,0,-10,41000,0.7,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.7,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.7,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.7,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,-10,41000,0.7,264,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.7,264,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.7,264,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.7,264,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,-10,41000,0.7,528,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.7,528,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.7,528,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.7,528,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,-10,41000,0.7,792,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.7,792,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.7,792,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.7,792,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,-10,41000,0.7,1056,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.7,1056,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.7,1056,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.7,1056,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,-10,41000,0.7,1320,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.7,1320,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.7,1320,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.7,1320,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,-10,41000,0.68,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,0,41000,0.68,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,10,41000,0.68,0,n/p,n/p,n/p,n/p,n/p,n/p
CJ1,Flatwing,0,20,41000,0.68,0,n/p,n/p,n/p,n/p,n/p,n/p
