# Flight Simulation Results - C208B Flatwing
# Route: KSZT to KSFO
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 10000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 80.3 kts
# Approach VREF: 54.4 kts
# Generated: 2025-11-06 14:04:52
# Original Data Points: 1567
# Sampled Data Points (5-sec intervals): 1567
# Time Range: 0 - 14250 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,2131,0.0,1,1,64,4877,202,6750,2150,0,0.002,104.5,,
5,0,2190,0.0,44,43,770,1988,257,6749,2149,382,0.067,29.9,,
10,0,2257,0.1,64,62,918,1703,319,6749,2149,389,0.098,24.2,,
16,2,2333,0.2,79,77,762,1647,570,6748,2148,451,0.121,16.2,,
21,2,2397,0.3,79,77,760,1641,569,6748,2148,388,0.121,16.1,,
26,2,2460,0.5,79,77,759,1638,569,6747,2147,388,0.121,16.1,,
31,2,2523,0.6,79,77,757,1636,569,6747,2147,388,0.121,16.0,,
36,3,2589,0.7,80,77,796,1633,513,6746,2146,387,0.121,16.8,,
41,3,2655,0.8,80,77,795,1630,513,6746,2146,387,0.121,16.8,,
46,3,2721,0.9,80,77,794,1628,513,6745,2145,386,0.122,16.8,,
51,3,2787,1.0,80,77,793,1625,513,6745,2145,386,0.122,16.7,,
56,3,2853,1.1,80,77,792,1622,513,6744,2144,385,0.122,16.7,,
61,3,2919,1.2,80,77,791,1620,513,6743,2143,385,0.122,16.6,,
66,3,2985,1.3,80,77,790,1617,513,6743,2143,384,0.122,16.6,,
71,3,3051,1.4,80,77,789,1614,513,6742,2142,384,0.122,16.6,,
76,3,3117,1.6,80,77,788,1611,513,6742,2142,383,0.123,16.5,,
81,3,3182,1.7,80,77,786,1609,513,6741,2141,383,0.123,16.5,,
86,3,3248,1.8,80,77,785,1606,513,6741,2141,383,0.123,16.4,,
91,3,3313,1.9,80,77,784,1603,513,6740,2140,382,0.123,16.4,,
96,3,3378,2.0,80,77,783,1601,512,6740,2140,382,0.123,16.4,,
101,3,3443,2.1,81,77,782,1598,512,6739,2139,381,0.123,16.3,,
106,3,3509,2.2,81,77,781,1595,512,6739,2139,381,0.123,16.3,,
111,3,3574,2.3,81,77,780,1593,512,6738,2138,380,0.124,16.2,,
116,3,3639,2.5,81,77,779,1590,512,6738,2138,380,0.124,16.2,,
121,4,3708,2.6,96,90,853,1487,488,6737,2137,379,0.146,15.0,,
126,4,3780,2.7,109,103,873,1398,500,6737,2137,379,0.167,13.5,,
131,4,3852,2.9,116,110,839,1335,528,6736,2136,378,0.178,12.1,,
136,4,3922,3.0,117,110,837,1333,528,6736,2136,378,0.179,12.0,,
141,4,3991,3.2,117,110,835,1330,528,6735,2135,377,0.179,12.0,,
146,4,4061,3.4,117,110,833,1327,528,6734,2134,377,0.179,12.0,,
151,4,4130,3.5,117,110,832,1325,528,6734,2134,377,0.179,11.9,,
156,4,4199,3.7,117,110,830,1322,528,6733,2133,376,0.179,11.9,,
161,4,4268,3.9,117,110,828,1320,528,6733,2133,376,0.18,11.8,,
166,4,4337,4.0,117,110,826,1317,528,6732,2132,375,0.18,11.8,,
171,4,4406,4.2,117,110,825,1314,528,6732,2132,375,0.18,11.8,,
176,4,4475,4.3,117,110,823,1312,528,6731,2131,374,0.18,11.7,,
181,4,4543,4.5,118,110,821,1309,528,6731,2131,374,0.181,11.7,,
186,4,4612,4.7,118,110,819,1307,528,6730,2130,373,0.181,11.7,,
191,4,4680,4.8,118,110,818,1304,528,6730,2130,373,0.181,11.6,,
196,4,4748,5.0,118,110,816,1302,528,6729,2129,372,0.181,11.6,,
201,4,4816,5.2,118,110,814,1299,528,6729,2129,372,0.182,11.5,,
206,4,4883,5.3,118,110,813,1297,528,6728,2128,371,0.182,11.5,,
211,4,4951,5.5,118,110,811,1294,528,6728,2128,371,0.182,11.5,,
216,4,5019,5.7,118,110,809,1292,528,6727,2127,370,0.182,11.4,,
221,4,5086,5.8,119,110,807,1289,528,6727,2127,370,0.182,11.4,,
226,4,5153,6.0,119,110,806,1287,528,6726,2126,370,0.183,11.4,,
231,4,5220,6.1,119,110,804,1285,528,6726,2126,369,0.183,11.3,,
236,4,5287,6.3,119,110,802,1282,528,6725,2125,369,0.183,11.3,,
241,4,5354,6.5,119,110,801,1280,528,6725,2125,368,0.183,11.3,,
246,4,5421,6.6,119,110,799,1277,527,6724,2124,368,0.184,11.2,,
251,4,5487,6.8,119,110,797,1275,527,6724,2124,367,0.184,11.2,,
256,4,5553,7.0,119,110,796,1273,527,6723,2123,367,0.184,11.2,,
261,4,5620,7.1,120,110,794,1270,527,6723,2123,366,0.184,11.1,,
266,4,5686,7.3,120,110,792,1268,527,6722,2122,366,0.185,11.1,,
271,4,5752,7.5,120,110,791,1265,527,6722,2122,366,0.185,11.0,,
276,4,5817,7.6,120,110,789,1263,527,6721,2121,365,0.185,11.0,,
281,4,5883,7.8,120,110,787,1261,527,6721,2121,365,0.185,11.0,,
286,4,5949,8.0,120,110,786,1258,527,6720,2120,364,0.185,10.9,,
291,4,6014,8.1,120,110,784,1256,527,6720,2120,364,0.186,10.9,,
296,4,6079,8.3,120,110,782,1254,527,6719,2119,363,0.186,10.9,,
301,4,6144,8.5,120,110,781,1251,527,6719,2119,363,0.186,10.8,,
306,4,6209,8.6,121,110,779,1249,527,6718,2118,363,0.186,10.8,,
311,4,6274,8.8,121,110,777,1247,527,6718,2118,362,0.187,10.8,,
316,4,6339,9.0,121,110,776,1244,527,6717,2117,362,0.187,10.7,,
321,4,6403,9.1,121,110,774,1242,527,6717,2117,361,0.187,10.7,,
326,4,6468,9.3,121,110,772,1240,527,6716,2116,361,0.187,10.7,,
331,4,6532,9.5,121,110,771,1238,527,6716,2116,360,0.187,10.6,,
336,4,6596,9.7,121,110,769,1235,527,6715,2115,360,0.188,10.6,,
341,4,6660,9.8,121,110,768,1233,527,6715,2115,360,0.188,10.6,,
346,4,6724,10.0,122,110,766,1231,527,6714,2114,359,0.188,10.5,,
351,4,6788,10.2,122,110,764,1229,527,6714,2114,359,0.188,10.5,,
356,4,6851,10.3,122,110,763,1226,527,6713,2113,358,0.189,10.5,,
361,4,6915,10.5,122,110,761,1224,527,6713,2113,358,0.189,10.4,,
366,4,6978,10.7,122,110,759,1222,527,6712,2112,357,0.189,10.4,,
371,4,7041,10.8,122,110,758,1220,527,6712,2112,357,0.189,10.4,,
376,4,7105,11.0,122,110,756,1218,527,6711,2111,357,0.189,10.3,,
381,4,7167,11.2,122,110,755,1215,527,6711,2111,356,0.19,10.3,,
386,4,7230,11.3,122,110,753,1213,527,6710,2110,356,0.19,10.3,,
391,4,7293,11.5,123,110,752,1211,527,6710,2110,355,0.19,10.3,,
396,4,7356,11.7,123,110,750,1209,527,6709,2109,355,0.19,10.2,,
401,4,7418,11.9,123,110,748,1207,527,6709,2109,355,0.191,10.2,,
406,4,7480,12.0,123,110,747,1205,527,6708,2108,354,0.191,10.2,,
411,4,7542,12.2,123,110,745,1202,527,6708,2108,354,0.191,10.1,,
416,4,7604,12.4,123,110,744,1200,527,6707,2107,353,0.191,10.1,,
421,4,7666,12.5,123,110,742,1198,526,6707,2107,353,0.192,10.1,,
426,4,7728,12.7,123,110,740,1196,526,6706,2106,352,0.192,10.0,,
431,4,7790,12.9,124,110,739,1194,526,6706,2106,352,0.192,10.0,,
436,4,7851,13.1,124,110,737,1192,526,6705,2105,352,0.192,10.0,,
