# Flight Simulation Results - C208B Tamarack
# Route: KSZT to KSFO
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 10000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 78.5 kts
# Approach VREF: 52.8 kts
# Generated: 2025-11-06 14:04:52
# Original Data Points: 1568
# Sampled Data Points (5-sec intervals): 1568
# Time Range: 0 - 14290 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,2131,0.0,1,1,63,4877,204,6800,2150,0,0.002,102.9,,
5,0,2189,0.0,44,43,767,2003,260,6799,2149,382,0.067,29.9,,
10,0,2255,0.1,64,62,904,1703,323,6799,2149,389,0.098,24.0,,
16,2,2334,0.2,77,74,798,1670,498,6798,2148,451,0.117,17.5,,
21,2,2400,0.3,77,74,797,1667,498,6798,2148,388,0.117,17.5,,
26,2,2467,0.4,77,74,796,1664,498,6797,2147,388,0.117,17.4,,
31,2,2533,0.6,77,74,795,1661,498,6797,2147,387,0.117,17.4,,
36,3,2602,0.7,77,74,833,1658,442,6796,2146,387,0.118,18.2,,
41,3,2672,0.8,77,74,832,1656,442,6796,2146,387,0.118,18.1,,
46,3,2741,0.9,77,74,830,1653,442,6795,2145,386,0.118,18.1,,
51,3,2810,1.0,77,74,829,1650,442,6795,2145,386,0.118,18.1,,
56,3,2879,1.1,77,74,828,1647,442,6794,2144,385,0.118,18.0,,
61,3,2948,1.2,78,74,827,1644,442,6793,2143,385,0.118,18.0,,
66,3,3017,1.3,78,74,826,1641,442,6793,2143,384,0.119,17.9,,
71,3,3086,1.4,78,74,825,1638,442,6792,2142,384,0.119,17.9,,
76,3,3155,1.5,78,74,824,1635,442,6792,2142,383,0.119,17.9,,
81,3,3223,1.6,78,74,823,1632,442,6791,2141,383,0.119,17.8,,
86,3,3292,1.7,78,74,822,1630,442,6791,2141,382,0.119,17.8,,
91,3,3360,1.8,78,74,821,1627,442,6790,2140,382,0.119,17.7,,
96,3,3429,2.0,78,74,820,1624,442,6790,2140,381,0.119,17.7,,
101,3,3497,2.1,78,74,819,1621,442,6789,2139,381,0.12,17.6,,
106,3,3565,2.2,78,74,818,1618,441,6789,2139,380,0.12,17.6,,
111,3,3633,2.3,78,74,817,1615,441,6788,2138,380,0.12,17.6,,
116,4,3706,2.4,94,89,891,1500,432,6788,2138,379,0.144,15.9,,
121,4,3781,2.5,108,102,902,1403,461,6787,2137,379,0.165,14.0,,
126,4,3855,2.7,116,110,859,1335,502,6787,2137,378,0.178,12.4,,
131,4,3926,2.9,117,110,857,1332,502,6786,2136,378,0.179,12.3,,
136,4,3997,3.0,117,110,856,1330,502,6786,2136,377,0.179,12.3,,
141,4,4069,3.2,117,110,854,1327,502,6785,2135,377,0.179,12.2,,
146,4,4140,3.3,117,110,852,1324,502,6784,2134,376,0.179,12.2,,
151,4,4211,3.5,117,110,850,1322,502,6784,2134,376,0.18,12.2,,
156,4,4281,3.7,117,110,849,1319,502,6783,2133,375,0.18,12.1,,
161,4,4352,3.8,117,110,847,1316,502,6783,2133,375,0.18,12.1,,
166,4,4422,4.0,117,110,845,1314,502,6782,2132,375,0.18,12.1,,
171,4,4493,4.2,118,110,843,1311,502,6782,2132,374,0.18,12.0,,
176,4,4563,4.3,118,110,842,1309,502,6781,2131,374,0.181,12.0,,
181,4,4633,4.5,118,110,840,1306,502,6781,2131,373,0.181,11.9,,
186,4,4703,4.7,118,110,838,1304,502,6780,2130,373,0.181,11.9,,
191,4,4773,4.8,118,110,836,1301,502,6780,2130,372,0.181,11.9,,
196,4,4842,5.0,118,110,835,1298,502,6779,2129,372,0.182,11.8,,
201,4,4912,5.1,118,110,833,1296,502,6779,2129,371,0.182,11.8,,
206,4,4981,5.3,118,110,831,1293,502,6778,2128,371,0.182,11.8,,
211,4,5050,5.5,118,110,829,1291,502,6778,2128,370,0.182,11.7,,
216,4,5119,5.6,119,110,828,1288,502,6777,2127,370,0.183,11.7,,
221,4,5188,5.8,119,110,826,1286,502,6777,2127,369,0.183,11.6,,
226,4,5257,6.0,119,110,824,1283,502,6776,2126,369,0.183,11.6,,
231,4,5326,6.1,119,110,823,1281,502,6776,2126,368,0.183,11.6,,
236,4,5394,6.3,119,110,821,1278,502,6775,2125,368,0.184,11.5,,
241,4,5462,6.5,119,110,819,1276,502,6775,2125,368,0.184,11.5,,
246,4,5531,6.6,119,110,818,1273,502,6774,2124,367,0.184,11.5,,
251,4,5599,6.8,119,110,816,1271,502,6774,2124,367,0.184,11.4,,
256,4,5666,7.0,120,110,814,1268,502,6773,2123,366,0.184,11.4,,
261,4,5734,7.1,120,110,813,1266,502,6773,2123,366,0.185,11.4,,
266,4,5802,7.3,120,110,811,1264,502,6772,2122,365,0.185,11.3,,
271,4,5869,7.5,120,110,809,1261,502,6772,2122,365,0.185,11.3,,
276,4,5937,7.6,120,110,807,1259,502,6771,2121,364,0.185,11.3,,
281,4,6004,7.8,120,110,806,1256,501,6771,2121,364,0.186,11.2,,
286,4,6071,8.0,120,110,804,1254,501,6770,2120,363,0.186,11.2,,
291,4,6138,8.1,120,110,802,1252,501,6770,2120,363,0.186,11.1,,
296,4,6205,8.3,121,110,801,1249,501,6769,2119,363,0.186,11.1,,
301,4,6271,8.5,121,110,799,1247,501,6769,2119,362,0.187,11.1,,
306,4,6338,8.6,121,110,798,1244,501,6768,2118,362,0.187,11.0,,
311,4,6404,8.8,121,110,796,1242,501,6768,2118,361,0.187,11.0,,
316,4,6471,9.0,121,110,794,1240,501,6767,2117,361,0.187,11.0,,
321,4,6537,9.1,121,110,793,1237,501,6767,2117,360,0.187,10.9,,
326,4,6603,9.3,121,110,791,1235,501,6766,2116,360,0.188,10.9,,
331,4,6668,9.5,121,110,789,1233,501,6766,2116,359,0.188,10.9,,
336,4,6734,9.6,122,110,788,1231,501,6765,2115,359,0.188,10.8,,
341,4,6800,9.8,122,110,786,1228,501,6765,2115,359,0.188,10.8,,
346,4,6865,10.0,122,110,784,1226,501,6764,2114,358,0.189,10.8,,
351,4,6930,10.1,122,110,783,1224,501,6764,2114,358,0.189,10.7,,
356,4,6996,10.3,122,110,781,1221,501,6763,2113,357,0.189,10.7,,
361,4,7061,10.5,122,110,780,1219,501,6763,2113,357,0.189,10.7,,
366,4,7125,10.7,122,110,778,1217,501,6762,2112,356,0.19,10.6,,
371,4,7190,10.8,122,110,776,1215,501,6762,2112,356,0.19,10.6,,
376,4,7255,11.0,123,110,775,1212,501,6761,2111,356,0.19,10.6,,
381,4,7319,11.2,123,110,773,1210,501,6761,2111,355,0.19,10.5,,
386,4,7384,11.3,123,110,772,1208,501,6760,2110,355,0.19,10.5,,
391,4,7448,11.5,123,110,770,1206,501,6760,2110,354,0.191,10.5,,
396,4,7512,11.7,123,110,768,1203,501,6759,2109,354,0.191,10.4,,
401,4,7576,11.9,123,110,767,1201,501,6759,2109,353,0.191,10.4,,
406,4,7640,12.0,123,110,765,1199,501,6758,2108,353,0.191,10.4,,
411,4,7703,12.2,123,110,764,1197,501,6758,2108,353,0.192,10.4,,
416,4,7767,12.4,123,110,762,1195,501,6757,2107,352,0.192,10.3,,
421,4,7830,12.5,124,110,760,1193,501,6757,2107,352,0.192,10.3,,
426,4,7894,12.7,124,110,759,1190,501,6756,2106,351,0.192,10.3,,
431,4,7957,12.9,124,110,757,1188,501,6756,2106,351,0.193,10.2,,
436,4,8020,13.1,124,110,756,1186,501,6755,2105,351,0.193,10.2,,
441,4,8083,13.2,124,110,754,1184,501,6755,2105,350,0.193,10.2,,
446,4,8146,13.4,124,110,753,1182,501,6754,2104,350,0.193,10.1,,
451,4,8208,13.6,124,110,751,1180,501,6754,2104,349,0.193,10.1,,
456,4,8271,13.7,124,110,750,1178,501,6753,2103,349,0.194,10.1,,
461,4,8333,13.9,125,110,748,1175,501,6753,2103,349,0.194,10.0,,
466,4,8395,14.1,125,110,746,1173,501,6752,2102,348,0.194,10.0,,
