# Flight Simulation Results - CJ1+ Flatwing
# Route: CA-0485 to KTPA
# Initial Fuel: 3140 lb
# Payload: 500 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 119.0 kts
# Approach VREF: 92.9 kts
# Generated: 2025-11-06 14:01:48
# Original Data Points: 1482
# Sampled Data Points (5-sec intervals): 1482
# Time Range: 0 - 10035 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,0,0.0,1,1,15,3883,162,10790,3040,0,0.001,38.6,,
5,0,30,0.0,32,32,683,3752,184,10786,3036,2692,0.049,36.8,,
10,0,112,0.1,63,63,1262,3621,247,10782,3032,2653,0.095,34.7,,
15,0,238,0.2,92,92,1723,3498,343,10779,3029,2561,0.139,32.3,,
20,2,372,0.3,113,113,1591,3422,925,10775,3025,2485,0.172,23.8,,
25,3,508,0.5,114,114,1666,3393,804,10772,3022,2446,0.173,24.8,,
30,3,647,0.7,115,114,1664,3384,804,10769,3019,2439,0.174,24.7,,
35,3,786,0.8,115,114,1662,3375,804,10765,3015,2433,0.174,24.6,,
40,3,924,1.0,115,114,1660,3366,803,10762,3012,2426,0.175,24.5,,
45,3,1062,1.1,115,114,1659,3357,803,10759,3009,2420,0.175,24.4,,
50,3,1200,1.3,116,114,1657,3348,803,10755,3005,2413,0.175,24.4,,
55,3,1338,1.5,116,114,1655,3339,802,10752,3002,2407,0.176,24.3,,
60,3,1476,1.6,116,114,1653,3330,802,10749,2999,2400,0.176,24.2,,
65,4,1624,1.8,134,131,1889,3272,769,10745,2995,2380,0.204,23.9,,
70,4,1793,2.0,156,152,2103,3184,785,10742,2992,2318,0.237,22.9,,
75,4,1975,2.2,176,171,2229,3102,854,10739,2989,2257,0.268,21.4,,
80,4,2164,2.5,195,189,2279,3027,951,10736,2986,2201,0.297,19.7,,
85,4,2352,2.8,207,200,2236,2969,1044,10733,2983,2151,0.315,18.2,,
90,4,2538,3.1,207,200,2231,2958,1044,10730,2980,2133,0.316,18.1,,
95,4,2724,3.4,208,200,2225,2947,1044,10727,2977,2125,0.317,18.0,,
100,4,2909,3.6,208,200,2219,2936,1043,10724,2974,2117,0.318,17.9,,
105,4,3094,3.9,209,200,2213,2925,1043,10721,2971,2109,0.319,17.8,,
110,4,3278,4.2,210,200,2207,2915,1043,10718,2968,2102,0.32,17.7,,
115,4,3461,4.5,210,200,2201,2904,1043,10715,2965,2094,0.321,17.6,,
120,4,3644,4.8,211,200,2194,2893,1043,10712,2962,2086,0.323,17.5,,
125,4,3827,5.1,211,200,2188,2882,1042,10709,2959,2078,0.324,17.4,,
130,4,4009,5.4,212,200,2182,2872,1042,10707,2957,2071,0.325,17.3,,
135,4,4191,5.7,212,200,2176,2861,1042,10704,2954,2063,0.326,17.2,,
140,4,4372,6.0,213,200,2170,2851,1042,10701,2951,2055,0.327,17.1,,
145,4,4552,6.3,213,200,2163,2840,1042,10698,2948,2048,0.328,17.1,,
150,4,4732,6.6,214,200,2157,2829,1041,10695,2945,2040,0.329,17.0,,
155,4,4912,6.9,215,200,2151,2819,1041,10692,2942,2033,0.33,16.9,,
160,4,5090,7.2,215,200,2144,2808,1041,10690,2940,2025,0.331,16.8,,
165,4,5269,7.5,216,200,2138,2798,1041,10687,2937,2018,0.332,16.7,,
170,4,5447,7.8,216,200,2132,2788,1040,10684,2934,2010,0.333,16.6,,
175,4,5624,8.1,217,200,2125,2777,1040,10681,2931,2003,0.334,16.5,,
180,4,5801,8.4,217,200,2119,2767,1040,10678,2928,1995,0.335,16.4,,
185,4,5977,8.7,218,200,2112,2756,1040,10676,2926,1988,0.337,16.3,,
190,4,6153,9.0,219,200,2106,2746,1040,10673,2923,1980,0.338,16.2,,
195,4,6328,9.3,219,200,2099,2736,1039,10670,2920,1973,0.339,16.1,,
200,4,6503,9.6,220,200,2093,2726,1039,10667,2917,1965,0.34,16.0,,
205,4,6677,9.9,220,200,2086,2715,1039,10665,2915,1958,0.341,15.9,,
210,4,6850,10.2,221,200,2080,2705,1039,10662,2912,1951,0.342,15.8,,
215,4,7023,10.5,221,200,2073,2695,1039,10659,2909,1943,0.343,15.7,,
220,4,7195,10.8,222,200,2066,2685,1038,10657,2907,1936,0.344,15.6,,
225,4,7367,11.1,223,200,2060,2675,1038,10654,2904,1929,0.345,15.5,,
230,4,7539,11.4,223,200,2053,2665,1038,10651,2901,1922,0.346,15.5,,
235,4,7709,11.7,224,200,2046,2655,1038,10649,2899,1914,0.347,15.4,,
240,4,7880,12.1,224,200,2039,2645,1037,10646,2896,1907,0.349,15.3,,
245,4,8049,12.4,225,200,2033,2635,1037,10643,2893,1900,0.35,15.2,,
250,4,8218,12.7,225,200,2026,2625,1037,10641,2891,1893,0.351,15.1,,
255,4,8387,13.0,226,200,2019,2615,1037,10638,2888,1886,0.352,15.0,,
260,4,8555,13.3,227,200,2012,2605,1037,10635,2885,1879,0.353,14.9,,
265,4,8722,13.6,227,200,2005,2596,1036,10633,2883,1872,0.354,14.8,,
270,4,8889,13.9,228,200,1998,2586,1036,10630,2880,1865,0.355,14.7,,
275,4,9055,14.3,228,200,1992,2576,1036,10628,2878,1858,0.356,14.6,,
280,4,9220,14.6,229,200,1985,2567,1036,10625,2875,1851,0.357,14.6,,
285,4,9386,14.9,229,200,1978,2557,1035,10623,2873,1844,0.359,14.5,,
290,4,9550,15.2,230,200,1971,2547,1035,10620,2870,1837,0.36,14.4,,
295,4,9714,15.5,231,200,1964,2538,1035,10617,2867,1830,0.361,14.3,,
300,4,9877,15.9,231,200,1957,2528,1035,10615,2865,1823,0.362,14.2,,
305,4,10040,16.2,232,200,1950,2519,1035,10612,2862,1816,0.363,14.1,,
310,4,10202,16.5,232,200,1943,2509,1034,10610,2860,1809,0.364,14.0,,
315,4,10364,16.8,233,200,1936,2500,1034,10607,2857,1803,0.365,13.9,,
320,4,10525,17.1,233,200,1929,2490,1034,10605,2855,1796,0.366,13.9,,
325,4,10685,17.5,234,200,1922,2481,1034,10602,2852,1789,0.367,13.8,,
330,4,10845,17.8,234,200,1915,2472,1033,10600,2850,1782,0.368,13.7,,
335,4,11004,18.1,235,200,1908,2462,1033,10597,2847,1776,0.37,13.6,,
340,4,11163,18.4,236,200,1901,2453,1033,10595,2845,1769,0.371,13.5,,
345,4,11321,18.8,236,200,1894,2444,1033,10593,2843,1762,0.372,13.4,,
350,4,11478,19.1,237,200,1886,2435,1033,10590,2840,1756,0.373,13.4,,
355,4,11635,19.4,237,200,1879,2426,1032,10588,2838,1749,0.374,13.3,,
360,4,11791,19.8,238,200,1872,2417,1032,10585,2835,1743,0.375,13.2,,
365,4,11947,20.1,238,200,1865,2408,1032,10583,2833,1736,0.376,13.1,,
370,4,12102,20.4,239,200,1858,2399,1032,10580,2830,1730,0.377,13.0,,
375,4,12256,20.8,240,200,1851,2390,1032,10578,2828,1723,0.379,12.9,,
380,4,12410,21.1,240,200,1844,2381,1031,10576,2826,1717,0.38,12.9,,
385,4,12564,21.4,241,200,1837,2372,1031,10573,2823,1710,0.381,12.8,,
390,4,12716,21.8,241,200,1829,2363,1031,10571,2821,1704,0.382,12.7,,
395,4,12868,22.1,242,200,1822,2354,1031,10569,2819,1698,0.383,12.6,,
400,4,13020,22.4,242,200,1815,2345,1030,10566,2816,1691,0.384,12.5,,
405,4,13171,22.8,243,200,1808,2337,1030,10564,2814,1685,0.385,12.5,,
410,4,13321,23.1,244,200,1801,2328,1030,10562,2812,1679,0.386,12.4,,
415,4,13471,23.4,244,200,1793,2319,1030,10559,2809,1672,0.387,12.3,,
420,4,13620,23.8,245,200,1786,2311,1030,10557,2807,1666,0.389,12.2,,
425,4,13768,24.1,245,200,1779,2302,1029,10555,2805,1660,0.39,12.1,,
430,4,13916,24.5,246,200,1772,2294,1029,10552,2802,1654,0.391,12.1,,
435,4,14063,24.8,246,200,1765,2285,1029,10550,2800,1648,0.392,12.0,,
440,4,14210,25.2,247,200,1757,2277,1029,10548,2798,1642,0.393,11.9,,
445,4,14356,25.5,247,200,1750,2268,1028,10545,2795,1636,0.394,11.8,,
450,4,14502,25.8,248,200,1743,2260,1028,10543,2793,1630,0.395,11.8,,
455,4,14647,26.2,249,200,1736,2252,1028,10541,2791,1624,0.396,11.7,,
460,4,14791,26.5,249,200,1728,2243,1028,10539,2789,1618,0.397,11.6,,
465,4,14934,26.9,250,200,1721,2235,1028,10536,2786,1612,0.399,11.5,,
470,4,15078,27.2,250,200,1714,2227,1027,10534,2784,1606,0.4,11.5,,
475,4,15220,27.6,251,200,1707,2219,1027,10532,2782,1600,0.401,11.4,,
480,4,15362,27.9,251,200,1699,2211,1027,10530,2780,1594,0.402,11.3,,
485,4,15503,28.3,252,200,1692,2203,1027,10528,2778,1588,0.403,11.2,,
490,4,15644,28.6,253,200,1685,2195,1026,10525,2775,1582,0.404,11.2,,
495,4,15784,29.0,253,200,1678,2187,1026,10523,2773,1577,0.405,11.1,,
500,4,15923,29.3,254,200,1670,2179,1026,10521,2771,1571,0.406,11.0,,
505,4,16062,29.7,254,200,1663,2171,1026,10519,2769,1565,0.407,10.9,,
510,4,16200,30.0,255,200,1656,2163,1026,10517,2767,1560,0.408,10.9,,
515,4,16338,30.4,255,200,1649,2155,1025,10515,2765,1554,0.41,10.8,,
520,4,16475,30.7,256,200,1641,2147,1025,10512,2762,1548,0.411,10.7,,
525,4,16611,31.1,256,200,1634,2139,1025,10510,2760,1543,0.412,10.7,,
530,4,16747,31.5,257,200,1627,2132,1025,10508,2758,1537,0.413,10.6,,
535,4,16883,31.8,257,200,1620,2124,1024,10506,2756,1532,0.414,10.5,,
540,4,17017,32.2,258,200,1613,2116,1024,10504,2754,1526,0.415,10.5,,
545,4,17151,32.5,259,200,1605,2109,1024,10502,2752,1521,0.416,10.4,,
550,4,17285,32.9,259,200,1598,2101,1024,10500,2750,1515,0.417,10.3,,
555,4,17417,33.2,260,200,1591,2094,1024,10498,2748,1510,0.418,10.2,,
560,4,17550,33.6,260,200,1584,2086,1023,10495,2745,1504,0.419,10.2,,
565,4,17681,34.0,261,200,1577,2079,1023,10493,2743,1499,0.421,10.1,,
570,4,17812,34.3,261,200,1569,2071,1023,10491,2741,1494,0.422,10.0,,
575,4,17943,34.7,262,200,1562,2064,1023,10489,2739,1488,0.423,10.0,,
580,4,18073,35.1,262,200,1555,2057,1022,10487,2737,1483,0.424,9.9,,
585,4,18202,35.4,263,200,1548,2050,1022,10485,2735,1478,0.425,9.8,,
590,4,18330,35.8,263,200,1541,2042,1022,10483,2733,1473,0.426,9.8,,
595,4,18458,36.2,264,200,1534,2035,1022,10481,2731,1467,0.427,9.7,,
600,4,18586,36.5,264,200,1526,2028,1022,10479,2729,1462,0.428,9.6,,
605,4,18713,36.9,265,200,1519,2021,1021,10477,2727,1457,0.429,9.6,,
610,4,18839,37.3,266,200,1512,2014,1021,10475,2725,1452,0.43,9.5,,
615,4,18965,37.6,266,200,1505,2007,1021,10473,2723,1447,0.431,9.5,,
620,4,19090,38.0,267,200,1498,2000,1021,10471,2721,1442,0.432,9.4,,
625,4,19214,38.4,267,200,1491,1993,1020,10469,2719,1437,0.434,9.3,,
630,4,19338,38.7,268,200,1484,1986,1020,10467,2717,1432,0.435,9.3,,
635,4,19461,39.1,268,200,1477,1979,1020,10465,2715,1427,0.436,9.2,,
640,4,19584,39.5,269,200,1470,1972,1020,10463,2713,1422,0.437,9.1,,
645,4,19706,39.9,269,200,1463,1965,1020,10461,2711,1417,0.438,9.1,,
650,4,19828,40.2,270,200,1456,1959,1019,10459,2709,1412,0.439,9.0,,
655,4,19949,40.6,270,200,1449,1952,1019,10457,2707,1407,0.44,9.0,,
660,4,20069,41.0,271,200,1442,1945,1019,10455,2705,1402,0.441,8.9,,
665,4,20189,41.4,271,200,1435,1938,1019,10453,2703,1398,0.442,8.8,,
670,4,20308,41.7,272,200,1428,1932,1018,10451,2701,1393,0.443,8.8,,
675,4,20427,42.1,272,200,1421,1925,1018,10449,2699,1388,0.444,8.7,,
680,4,20545,42.5,273,200,1414,1919,1018,10447,2697,1383,0.445,8.7,,
685,4,20662,42.9,273,200,1407,1912,1018,10446,2696,1379,0.446,8.6,,
690,4,20779,43.3,274,200,1400,1906,1018,10444,2694,1374,0.447,8.5,,
695,4,20895,43.6,274,200,1393,1899,1017,10442,2692,1369,0.448,8.5,,
700,4,21011,44.0,275,200,1386,1893,1017,10440,2690,1365,0.449,8.4,,
705,4,21126,44.4,275,200,1379,1887,1017,10438,2688,1360,0.45,8.4,,
710,4,21241,44.8,276,200,1372,1880,1017,10436,2686,1356,0.452,8.3,,
715,4,21355,45.2,277,200,1365,1874,1016,10434,2684,1351,0.453,8.2,,
720,4,21468,45.5,277,200,1358,1868,1016,10432,2682,1347,0.454,8.2,,
725,4,21581,45.9,278,200,1352,1862,1016,10430,2680,1342,0.455,8.1,,
730,4,21693,46.3,278,200,1345,1856,1016,10429,2679,1338,0.456,8.1,,
735,4,21805,46.7,279,200,1338,1849,1016,10427,2677,1333,0.457,8.0,,
740,4,21916,47.1,279,200,1331,1843,1015,10425,2675,1329,0.458,8.0,,
745,4,22027,47.5,280,200,1324,1837,1015,10423,2673,1325,0.459,7.9,,
750,4,22137,47.9,280,200,1318,1831,1015,10421,2671,1320,0.46,7.9,,
755,4,22246,48.3,281,200,1311,1825,1015,10419,2669,1316,0.461,7.8,,
760,4,22355,48.7,281,200,1304,1819,1014,10418,2668,1312,0.462,7.7,,
765,4,22464,49.0,282,200,1297,1813,1014,10416,2666,1307,0.463,7.7,,
770,4,22571,49.4,282,200,1291,1808,1014,10414,2664,1303,0.464,7.6,,
775,4,22679,49.8,283,200,1284,1802,1014,10412,2662,1299,0.465,7.6,,
780,4,22785,50.2,283,200,1277,1796,1014,10410,2660,1295,0.466,7.5,,
785,4,22891,50.6,283,200,1271,1790,1013,10409,2659,1291,0.467,7.5,,
790,4,22997,51.0,284,200,1264,1785,1013,10407,2657,1286,0.468,7.4,,
795,4,23102,51.4,284,200,1257,1779,1013,10405,2655,1282,0.469,7.4,,
800,4,23206,51.8,285,200,1251,1773,1013,10403,2653,1278,0.47,7.3,,
805,4,23310,52.2,285,200,1244,1768,1013,10401,2651,1274,0.471,7.3,,
810,4,23414,52.6,286,200,1238,1762,1012,10400,2650,1270,0.472,7.2,,
815,4,23516,53.0,286,200,1231,1756,1012,10398,2648,1266,0.473,7.2,,
820,4,23619,53.4,287,200,1225,1751,1012,10396,2646,1262,0.474,7.1,,
825,4,23720,53.8,287,200,1218,1745,1012,10394,2644,1258,0.475,7.1,,
830,4,23822,54.2,288,200,1212,1740,1011,10393,2643,1254,0.476,7.0,,
835,4,23922,54.6,288,200,1205,1735,1011,10391,2641,1250,0.477,7.0,,
840,4,24022,55.0,289,200,1199,1729,1011,10389,2639,1247,0.478,6.9,,
845,4,24122,55.4,289,200,1192,1724,1011,10387,2637,1243,0.479,6.9,,
850,4,24221,55.8,290,200,1186,1719,1011,10386,2636,1239,0.48,6.8,,
855,4,24319,56.2,290,200,1180,1713,1010,10384,2634,1235,0.481,6.8,,
860,4,24417,56.6,291,200,1173,1708,1010,10382,2632,1231,0.482,6.7,,
865,4,24515,57.0,291,200,1167,1703,1010,10381,2631,1228,0.483,6.7,,
870,4,24612,57.4,292,200,1160,1698,1010,10379,2629,1224,0.484,6.6,,
875,4,24708,57.8,292,200,1154,1693,1010,10377,2627,1220,0.485,6.6,,
880,4,24804,58.2,293,200,1148,1687,1009,10376,2626,1216,0.486,6.5,,
885,4,24899,58.6,293,200,1142,1682,1009,10374,2624,1213,0.487,6.5,,
890,4,24994,59.0,293,200,1135,1677,1009,10372,2622,1209,0.487,6.5,,
895,4,25089,59.4,294,200,1129,1672,1009,10371,2621,1205,0.488,6.4,,
900,4,25182,59.8,294,200,1123,1667,1008,10369,2619,1202,0.489,6.4,,
905,4,25276,60.3,295,200,1117,1662,1008,10367,2617,1198,0.49,6.3,,
910,4,25368,60.7,295,200,1111,1657,1008,10366,2616,1195,0.491,6.3,,
915,4,25461,61.1,296,200,1104,1653,1008,10364,2614,1191,0.492,6.2,,
920,4,25552,61.5,296,200,1098,1648,1008,10362,2612,1188,0.493,6.2,,
925,4,25644,61.9,297,200,1092,1643,1007,10361,2611,1184,0.494,6.1,,
930,4,25734,62.3,297,200,1086,1638,1007,10359,2609,1181,0.495,6.1,,
935,4,25824,62.7,297,200,1080,1633,1007,10357,2607,1177,0.496,6.1,,
940,4,25914,63.1,298,200,1074,1629,1007,10356,2606,1174,0.497,6.0,,
945,4,26003,63.5,298,200,1068,1624,1007,10354,2604,1171,0.498,6.0,,
950,4,26092,64.0,299,200,1062,1619,1006,10352,2602,1167,0.499,5.9,,
955,4,26180,64.4,299,200,1056,1615,1006,10351,2601,1164,0.5,5.9,,
960,4,26268,64.8,300,200,1050,1610,1006,10349,2599,1161,0.501,5.8,,
965,4,26355,65.2,300,200,1044,1605,1006,10348,2598,1157,0.501,5.8,,
970,4,26442,65.6,301,200,1038,1601,1006,10346,2596,1154,0.502,5.8,,
975,4,26528,66.0,301,200,1033,1596,1005,10344,2594,1151,0.503,5.7,,
980,4,26614,66.5,301,200,1027,1592,1005,10343,2593,1147,0.504,5.7,,
985,4,26699,66.9,302,200,1021,1587,1005,10341,2591,1144,0.505,5.6,,
990,4,26784,67.3,302,200,1015,1583,1004,10340,2590,1141,0.506,5.6,,
995,4,26868,67.7,303,200,1010,1579,1004,10338,2588,1138,0.507,5.6,,
1000,4,26952,68.1,303,200,1004,1574,1004,10336,2586,1135,0.508,5.5,,
1005,4,27035,68.6,304,200,998,1570,1004,10335,2585,1132,0.509,5.5,,
1010,4,27118,69.0,304,200,992,1566,1004,10333,2583,1128,0.509,5.4,,
1015,4,27201,69.4,304,200,987,1561,1003,10332,2582,1125,0.51,5.4,,
1020,4,27283,69.8,305,200,981,1557,1003,10330,2580,1122,0.511,5.4,,
1025,4,27364,70.3,305,200,976,1553,1003,10329,2579,1119,0.512,5.3,,
1030,4,27445,70.7,306,200,970,1549,1003,10327,2577,1116,0.513,5.3,,
1035,4,27526,71.1,306,200,964,1544,1003,10326,2576,1113,0.514,5.3,,
1040,4,27606,71.5,306,200,959,1540,1002,10324,2574,1110,0.515,5.2,,
1045,4,27685,72.0,307,200,953,1536,1002,10322,2572,1107,0.516,5.2,,
1050,4,27765,72.4,307,200,947,1532,1002,10321,2571,1104,0.516,5.1,,
1055,4,27843,72.8,308,200,942,1528,1002,10319,2569,1101,0.517,5.1,,
1060,4,27921,73.2,308,200,936,1524,1002,10318,2568,1098,0.518,5.1,,
1065,4,27999,73.7,308,200,931,1520,1001,10316,2566,1096,0.519,5.0,,
1070,4,28076,74.1,309,200,925,1516,1001,10315,2565,1093,0.52,5.0,,
1075,4,28153,74.5,309,200,920,1512,1001,10313,2563,1090,0.521,5.0,,
1080,4,28230,75.0,310,200,914,1508,1001,10312,2562,1087,0.521,4.9,,
1085,4,28306,75.4,310,200,909,1504,1001,10310,2560,1084,0.522,4.9,,
1090,4,28381,75.8,310,200,903,1500,1001,10309,2559,1081,0.523,4.9,,
1095,4,28456,76.2,311,200,898,1497,1001,10307,2557,1079,0.524,4.8,,
1100,4,28531,76.7,311,200,892,1493,1000,10306,2556,1076,0.525,4.8,,
1105,4,28605,77.1,312,200,887,1489,1000,10304,2554,1073,0.526,4.7,,
1110,4,28678,77.5,312,200,882,1485,1000,10303,2553,1070,0.526,4.7,,
1115,4,28752,78.0,312,200,876,1481,1000,10301,2551,1068,0.527,4.7,,
1120,4,28824,78.4,313,200,871,1478,1000,10300,2550,1065,0.528,4.6,,
1125,4,28897,78.8,313,200,866,1474,1000,10298,2548,1062,0.529,4.6,,
1130,4,28969,79.3,314,200,860,1470,1000,10297,2547,1060,0.53,4.6,,
1135,5,29040,79.7,314,200,856,1467,999,10295,2545,1057,0.53,4.6,,
1140,5,29111,80.2,314,199,854,1464,996,10294,2544,1055,0.53,4.5,,
1145,5,29182,80.6,313,199,851,1460,994,10293,2543,1052,0.53,4.5,,
1150,5,29253,81.0,313,199,849,1457,992,10291,2541,1050,0.53,4.5,,
1155,5,29324,81.5,313,199,847,1453,990,10290,2540,1047,0.53,4.5,,
1160,5,29394,81.9,313,198,845,1450,988,10288,2538,1045,0.53,4.5,,
1165,5,29464,82.3,313,198,842,1447,986,10287,2537,1043,0.53,4.5,,
1170,5,29535,82.8,313,198,840,1443,983,10285,2535,1040,0.53,4.5,,
1175,5,29604,83.2,313,197,838,1440,981,10284,2534,1038,0.53,4.5,,
1180,5,29674,83.6,313,197,835,1437,979,10282,2532,1035,0.53,4.5,,
1185,5,29744,84.1,313,197,833,1434,977,10281,2531,1033,0.53,4.4,,
1190,5,29813,84.5,313,196,831,1430,975,10280,2530,1031,0.53,4.4,,
