# Flight Simulation Results - CJ1+ Tamarack
# Route: CA-0485 to KTPA
# Initial Fuel: 3040 lb
# Payload: 500 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 115.3 kts
# Approach VREF: 89.4 kts
# Generated: 2025-11-06 14:01:48
# Original Data Points: 2037
# Sampled Data Points (5-sec intervals): 2037
# Time Range: 0 - 10180 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,0,0.0,1,1,15,3883,162,10769,2940,0,0.001,38.7,,
5,0,30,0.0,32,32,686,3751,184,10765,2936,2692,0.049,36.9,,
10,0,112,0.1,63,63,1266,3621,248,10761,2932,2653,0.095,34.8,,
15,0,238,0.2,92,92,1728,3497,346,10758,2929,2561,0.139,32.4,,
21,2,390,0.4,109,109,1641,3420,752,10754,2925,2781,0.165,25.6,,
26,3,531,0.5,109,109,1703,3411,652,10750,2922,2459,0.166,26.6,,
31,3,673,0.7,110,109,1701,3402,652,10747,2918,2452,0.166,26.5,,
36,3,815,0.8,110,109,1699,3393,651,10744,2915,2445,0.166,26.4,,
41,3,956,1.0,110,109,1698,3384,651,10740,2911,2439,0.167,26.3,,
46,3,1098,1.1,110,109,1696,3374,651,10737,2908,2432,0.167,26.2,,
51,3,1239,1.3,110,109,1695,3365,651,10733,2905,2426,0.168,26.1,,
56,3,1380,1.4,111,109,1693,3356,650,10730,2901,2419,0.168,26.1,,
61,3,1521,1.6,111,109,1691,3347,650,10727,2898,2412,0.169,26.0,,
66,4,1678,1.8,135,131,1998,3268,642,10723,2895,2380,0.205,25.3,,
71,4,1855,2.0,157,153,2199,3176,699,10720,2891,2313,0.239,23.7,,
76,4,2045,2.2,178,173,2309,3091,796,10717,2888,2250,0.271,21.9,,
81,4,2236,2.5,186,180,2287,3043,860,10714,2885,2199,0.283,20.8,,
86,4,2427,2.7,186,180,2282,3031,860,10711,2882,2186,0.284,20.7,,
91,4,2617,3.0,187,180,2276,3020,860,10708,2879,2178,0.285,20.6,,
