# Flight Simulation Results - CJ Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 114.6 kts
# Approach VREF: 88.7 kts
# Generated: 2025-11-06 13:59:25
# Original Data Points: 2014
# Sampled Data Points (5-sec intervals): 2014
# Time Range: 0 - 10065 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,2131,0.0,1,1,15,3603,148,9840,3340,0,0.001,39.3,,
5,0,2162,0.0,33,32,709,3483,169,9836,3336,2499,0.05,37.6,,
10,0,2247,0.1,64,62,1308,3363,230,9833,3333,2463,0.098,35.4,,
15,0,2377,0.2,93,90,1783,3249,324,9830,3330,2379,0.143,32.9,,
20,2,2523,0.4,113,108,1626,3174,830,9826,3326,2494,0.172,24.6,,
25,3,2663,0.5,113,108,1692,3164,733,9823,3323,2281,0.172,25.5,,
30,3,2804,0.7,113,108,1690,3155,733,9820,3320,2274,0.173,25.5,,
35,3,2944,0.8,113,108,1688,3146,733,9817,3317,2268,0.173,25.4,,
40,3,3085,1.0,113,108,1686,3138,733,9814,3314,2262,0.173,25.3,,
45,3,3225,1.1,114,108,1683,3129,732,9811,3311,2255,0.174,25.2,,
50,3,3365,1.3,114,108,1681,3120,732,9807,3307,2249,0.174,25.1,,
55,3,3505,1.5,114,108,1679,3111,732,9804,3304,2242,0.175,25.0,,
60,3,3645,1.6,114,108,1677,3102,731,9801,3301,2236,0.175,24.9,,
65,4,3801,1.8,137,130,1981,3032,699,9798,3298,2208,0.21,24.5,,
70,4,3977,2.0,159,151,2188,2951,730,9795,3295,2148,0.244,23.3,,
75,4,4165,2.2,180,170,2302,2875,806,9792,3292,2092,0.276,21.6,,
80,4,4360,2.5,199,187,2339,2807,905,9789,3289,2040,0.306,19.8,,
85,4,4553,2.8,213,200,2278,2746,1014,9787,3287,1994,0.328,18.0,,
90,4,4743,3.1,214,200,2272,2736,1014,9784,3284,1973,0.329,17.9,,
95,4,4931,3.4,215,200,2264,2725,1014,9781,3281,1965,0.33,17.8,,
100,4,5120,3.7,215,200,2257,2714,1014,9778,3278,1957,0.331,17.7,,
105,4,5308,4.0,216,200,2250,2704,1014,9776,3276,1950,0.332,17.6,,
110,4,5495,4.3,216,200,2243,2693,1013,9773,3273,1942,0.334,17.4,,
115,4,5681,4.6,217,200,2236,2682,1013,9770,3270,1934,0.335,17.3,,
120,4,5867,4.9,218,200,2229,2672,1013,9768,3268,1927,0.336,17.2,,
125,4,6053,5.2,218,200,2221,2661,1013,9765,3265,1919,0.337,17.1,,
130,4,6237,5.5,219,200,2214,2651,1012,9762,3262,1912,0.338,17.0,,
135,4,6421,5.8,219,200,2207,2640,1012,9760,3260,1904,0.339,16.9,,
140,4,6605,6.1,220,200,2199,2630,1012,9757,3257,1897,0.34,16.8,,
145,4,6788,6.4,221,200,2192,2620,1012,9754,3254,1889,0.342,16.7,,
150,4,6970,6.7,221,200,2184,2609,1012,9752,3252,1882,0.343,16.6,,
155,4,7152,7.0,222,200,2177,2599,1011,9749,3249,1874,0.344,16.5,,
160,4,7333,7.3,222,200,2170,2589,1011,9747,3247,1867,0.345,16.4,,
165,4,7513,7.7,223,200,2162,2579,1011,9744,3244,1860,0.346,16.3,,
170,4,7693,8.0,224,200,2155,2568,1011,9741,3241,1852,0.347,16.2,,
175,4,7872,8.3,224,200,2147,2558,1010,9739,3239,1845,0.349,16.1,,
180,4,8051,8.6,225,200,2139,2548,1010,9736,3236,1838,0.35,16.0,,
185,4,8229,8.9,225,200,2132,2538,1010,9734,3234,1830,0.351,15.9,,
190,4,8406,9.2,226,200,2124,2528,1010,9731,3231,1823,0.352,15.8,,
195,4,8583,9.5,227,200,2117,2518,1010,9729,3229,1816,0.353,15.7,,
200,4,8759,9.8,227,200,2109,2508,1009,9726,3226,1809,0.354,15.6,,
205,4,8934,10.2,228,200,2101,2498,1009,9724,3224,1802,0.355,15.5,,
210,4,9109,10.5,228,200,2094,2488,1009,9721,3221,1794,0.357,15.4,,
