# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 111.2 kts
# Approach VREF: 85.5 kts
# Generated: 2025-11-06 13:59:24
# Original Data Points: 1734
# Sampled Data Points (5-sec intervals): 1734
# Time Range: 0 - 9965 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,2131,0.0,1,1,15,3603,149,9919,3340,0,0.001,39.0,,
5,0,2161,0.0,33,32,697,3484,170,9915,3336,2499,0.05,37.3,,
10,0,2245,0.1,64,62,1288,3365,231,9912,3333,2464,0.097,35.1,,
15,0,2373,0.2,93,90,1757,3252,325,9908,3330,2381,0.141,32.7,,
20,2,2518,0.4,108,104,1651,3189,692,9905,3326,2452,0.165,26.0,,
25,3,2659,0.5,108,104,1712,3180,600,9902,3323,2292,0.165,27.0,,
30,3,2802,0.7,108,104,1710,3171,600,9899,3320,2286,0.166,26.9,,
35,3,2944,0.8,109,104,1708,3162,600,9895,3317,2279,0.166,26.8,,
40,3,3087,1.0,109,104,1706,3153,600,9892,3314,2273,0.166,26.7,,
45,3,3229,1.1,109,104,1704,3144,599,9889,3310,2266,0.167,26.6,,
50,3,3371,1.3,109,104,1702,3135,599,9886,3307,2260,0.167,26.5,,
55,3,3512,1.4,110,104,1701,3126,599,9883,3304,2253,0.168,26.4,,
60,3,3654,1.6,110,104,1699,3117,599,9880,3301,2247,0.168,26.4,,
65,4,3812,1.7,134,127,2015,3044,592,9877,3298,2217,0.205,25.6,,
70,4,3991,1.9,157,148,2223,2959,647,9874,3295,2154,0.24,24.1,,
75,4,4183,2.2,178,168,2336,2881,741,9871,3292,2096,0.273,22.2,,
80,4,4378,2.4,192,180,2323,2818,838,9868,3289,2045,0.294,20.5,,
85,4,4572,2.7,192,180,2317,2807,838,9865,3286,2024,0.295,20.4,,
90,4,4764,3.0,193,180,2311,2795,838,9862,3284,2016,0.296,20.3,,
95,4,4957,3.2,193,180,2305,2784,838,9860,3281,2008,0.297,20.1,,
100,4,5149,3.5,194,180,2299,2773,837,9857,3278,2000,0.298,20.0,,
105,4,5340,3.8,194,180,2293,2762,837,9854,3275,1992,0.299,19.9,,
110,4,5531,4.1,195,180,2287,2751,837,9851,3273,1984,0.301,19.8,,
115,4,5721,4.3,196,180,2281,2740,837,9848,3270,1976,0.302,19.7,,
120,4,5911,4.6,196,180,2275,2729,837,9846,3267,1968,0.303,19.6,,
125,4,6100,4.9,197,180,2269,2718,837,9843,3264,1960,0.304,19.5,,
130,4,6289,5.1,197,180,2262,2707,837,9840,3262,1952,0.305,19.4,,
135,4,6477,5.4,198,180,2256,2696,836,9838,3259,1944,0.306,19.2,,
140,4,6665,5.7,198,180,2250,2685,836,9835,3256,1936,0.307,19.1,,
145,4,6852,6.0,199,180,2243,2674,836,9832,3254,1928,0.308,19.0,,
150,4,7038,6.2,199,180,2237,2663,836,9830,3251,1920,0.309,18.9,,
155,4,7224,6.5,200,180,2230,2652,836,9827,3248,1913,0.31,18.8,,
160,4,7410,6.8,201,180,2224,2641,836,9824,3246,1905,0.311,18.7,,
165,4,7595,7.1,201,180,2218,2630,835,9822,3243,1897,0.312,18.6,,
170,4,7779,7.4,202,180,2211,2620,835,9819,3240,1889,0.313,18.5,,
175,4,7963,7.6,202,180,2204,2609,835,9816,3238,1882,0.314,18.4,,
180,4,8147,7.9,203,180,2198,2598,835,9814,3235,1874,0.315,18.3,,
185,4,8330,8.2,203,180,2191,2588,835,9811,3233,1866,0.317,18.2,,
190,4,8512,8.5,204,180,2185,2577,835,9809,3230,1859,0.318,18.1,,
195,4,8694,8.8,204,180,2178,2566,834,9806,3227,1851,0.319,17.9,,
200,4,8875,9.1,205,180,2171,2556,834,9804,3225,1843,0.32,17.8,,
205,4,9055,9.3,206,180,2165,2545,834,9801,3222,1836,0.321,17.7,,
210,4,9235,9.6,206,180,2158,2535,834,9798,3220,1828,0.322,17.6,,
215,4,9415,9.9,207,180,2151,2524,834,9796,3217,1821,0.323,17.5,,
220,4,9594,10.2,207,180,2144,2514,834,9793,3215,1813,0.324,17.4,,
225,4,9772,10.5,208,180,2137,2504,833,9791,3212,1806,0.325,17.3,,
230,4,9950,10.8,208,180,2131,2493,833,9788,3210,1798,0.326,17.2,,
235,4,10127,11.1,209,180,2124,2483,833,9786,3207,1791,0.327,17.1,,
240,4,10304,11.4,210,180,2117,2473,833,9783,3205,1783,0.329,17.0,,
245,4,10480,11.6,210,180,2110,2462,833,9781,3202,1776,0.33,16.9,,
250,4,10655,11.9,211,180,2103,2452,833,9778,3200,1769,0.331,16.8,,
255,4,10830,12.2,211,180,2096,2442,832,9776,3197,1761,0.332,16.7,,
260,4,11004,12.5,212,180,2089,2432,832,9774,3195,1754,0.333,16.6,,
265,4,11178,12.8,212,180,2082,2422,832,9771,3193,1747,0.334,16.5,,
270,4,11351,13.1,213,180,2075,2412,832,9769,3190,1739,0.335,16.4,,
275,4,11524,13.4,213,180,2068,2402,832,9766,3188,1732,0.336,16.3,,
280,4,11696,13.7,214,180,2061,2392,832,9764,3185,1725,0.337,16.2,,
285,4,11867,14.0,215,180,2054,2382,831,9762,3183,1718,0.339,16.1,,
290,4,12038,14.3,215,180,2047,2372,831,9759,3181,1711,0.34,16.0,,
295,4,12208,14.6,216,180,2040,2362,831,9757,3178,1704,0.341,15.9,,
300,4,12378,14.9,216,180,2033,2352,831,9754,3176,1697,0.342,15.8,,
