# Flight Simulation Results - CJ1 Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: -10°C
# Approach VAPP: 113.3 kts
# Approach VREF: 87.5 kts
# Generated: 2025-11-06 16:25:26
# Original Data Points: 3104
# Sampled Data Points (2-sec intervals): 7759
# Time Range: 0 - 15516 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,24,3839,159,10590,3340,0,0.001,38.9,113.3,87.5
2,0,takeoff roll,19,0.0,13,13,458,3787,168,10588,3338,1032,0.02,38.2,113.3,87.5
4,0,takeoff roll,40,0.0,26,26,915,3732,177,10587,3337,2117,0.039,37.5,113.3,87.5
6,0,takeoff roll,77,0.0,39,39,1337,3677,195,10586,3336,2652,0.058,36.6,113.3,87.5
8,0,takeoff roll,132,0.1,51,52,1723,3623,221,10584,3334,2634,0.077,35.7,113.3,87.5
10,0,takeoff roll,187,0.1,63,64,2109,3569,248,10583,3333,2617,0.095,34.8,113.3,87.5
12,0,takeoff roll,271,0.1,75,76,2414,3518,288,10581,3331,2579,0.113,33.8,113.3,87.5
14,0,takeoff roll,355,0.2,86,88,2719,3467,328,10580,3330,2541,0.13,32.8,113.3,87.5
16,0,takeoff roll,447,0.2,93,94,2894,3434,352,10578,3328,2509,0.141,32.2,113.3,87.5
18,0,takeoff roll,546,0.3,96,96,2939,3418,362,10577,3327,2483,0.144,31.9,113.3,87.5
20,0,takeoff roll,645,0.3,98,98,2984,3403,372,10576,3326,2457,0.147,31.6,113.3,87.5
22,0,takeoff roll,744,0.4,98,98,2983,3397,372,10574,3324,2452,0.148,31.6,113.3,87.5
24,0,takeoff roll,844,0.4,98,98,2981,3391,372,10573,3323,2447,0.148,31.5,113.3,87.5
26,0,takeoff roll,943,0.5,98,98,2980,3384,372,10572,3322,2442,0.148,31.4,113.3,87.5
28,0,takeoff roll,1043,0.6,98,98,2979,3378,371,10570,3320,2438,0.148,31.4,113.3,87.5
30,0,takeoff roll,1142,0.6,98,98,2977,3372,371,10569,3319,2433,0.149,31.3,113.3,87.5
32,0,takeoff roll,1231,0.7,104,103,2885,3349,521,10568,3318,2527,0.157,28.9,113.3,87.5
34,3,3rd segment climb,1320,0.7,109,108,2793,3326,671,10566,3316,2621,0.164,26.5,113.3,87.5
36,3,3rd segment climb,1410,0.8,113,113,2736,3305,789,10565,3315,2670,0.172,24.5,113.3,87.5
38,3,3rd segment climb,1502,0.8,117,117,2819,3292,782,10564,3314,2540,0.177,24.5,113.3,87.5
40,4,climb IAS,1595,0.9,121,120,2902,3279,775,10562,3312,2410,0.183,24.4,113.3,87.5
42,4,climb IAS,1697,1.0,128,127,3045,3248,769,10561,3311,2356,0.194,24.1,113.3,87.5
