# Flight Simulation Results - C208B Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 12000 ft
# Winds/Temps Source: No Wind
# ISA Dev: -10°C
# Approach VAPP: 75.2 kts
# Approach VREF: 49.8 kts
# Generated: 2025-11-07 10:33:26
# Original Data Points: 4042
# Sampled Data Points (2-sec intervals): 10103
# Time Range: 0 - 20204 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,118,5377,202,6750,2100,0,0.002,131.8,75.2,49.8
2,0,takeoff roll,41,0.0,19,19,576,4044,229,6750,2100,157,0.028,91.9,75.2,49.8
4,0,takeoff roll,83,0.0,37,38,1059,2640,257,6750,2100,322,0.056,49.8,75.2,49.8
6,0,takeoff roll,128,0.1,50,51,1360,1911,283,6749,2099,406,0.075,28.2,75.2,49.8
8,0,takeoff roll,177,0.1,57,58,1480,1857,309,6749,2099,409,0.086,26.9,75.2,49.8
10,0,takeoff roll,225,0.1,64,65,1600,1803,334,6749,2099,412,0.096,25.6,75.2,49.8
12,0,takeoff roll,279,0.2,64,65,1600,1801,334,6749,2099,412,0.096,25.5,75.2,49.8
14,0,takeoff roll,332,0.2,64,65,1599,1799,334,6748,2098,412,0.096,25.5,75.2,49.8
16,0,takeoff roll,385,0.2,64,65,1599,1798,334,6748,2098,411,0.096,25.5,75.2,49.8
18,0,takeoff roll,438,0.3,64,65,1599,1796,334,6748,2098,411,0.097,25.5,75.2,49.8
20,0,takeoff roll,492,0.3,64,65,1598,1794,334,6748,2098,410,0.097,25.4,75.2,49.8
22,0,takeoff roll,545,0.3,64,65,1598,1793,334,6747,2097,410,0.097,25.4,75.2,49.8
24,0,takeoff roll,598,0.4,64,65,1598,1791,334,6747,2097,410,0.097,25.4,75.2,49.8
26,0,takeoff roll,652,0.4,64,65,1597,1789,334,6747,2097,409,0.097,25.3,75.2,49.8
28,0,takeoff roll,705,0.4,64,65,1597,1788,334,6747,2097,409,0.097,25.3,75.2,49.8
30,0,takeoff roll,758,0.5,64,65,1597,1786,334,6747,2097,409,0.097,25.3,75.2,49.8
32,0,takeoff roll,811,0.5,64,65,1596,1784,334,6746,2096,408,0.097,25.3,75.2,49.8
34,0,takeoff roll,864,0.5,64,65,1596,1783,334,6746,2096,408,0.097,25.2,75.2,49.8
36,0,takeoff roll,918,0.6,64,65,1596,1781,334,6746,2096,407,0.097,25.2,75.2,49.8
38,0,takeoff roll,971,0.6,64,65,1595,1779,334,6746,2096,407,0.097,25.2,75.2,49.8
40,0,takeoff roll,1024,0.7,65,65,1595,1778,334,6745,2095,407,0.098,25.2,75.2,49.8
42,0,takeoff roll,1077,0.7,65,65,1595,1776,334,6745,2095,406,0.098,25.1,75.2,49.8
44,0,takeoff roll,1130,0.7,65,65,1594,1774,334,6745,2095,406,0.098,25.1,75.2,49.8
46,0,takeoff roll,1182,0.8,66,66,1573,1773,353,6745,2095,412,0.1,24.2,75.2,49.8
48,3,3rd segment climb,1231,0.8,70,70,1531,1772,392,6745,2095,423,0.106,22.3,75.2,49.8
50,3,3rd segment climb,1281,0.8,73,73,1489,1771,431,6744,2094,435,0.111,20.5,75.2,49.8
52,3,3rd segment climb,1330,0.9,74,74,1480,1769,439,6744,2094,427,0.112,20.1,75.2,49.8
54,3,3rd segment climb,1379,0.9,74,74,1478,1767,439,6744,2094,413,0.112,20.1,75.2,49.8
56,3,3rd segment climb,1429,1.0,75,74,1486,1765,439,6744,2094,404,0.113,20.1,75.2,49.8
58,4,climb IAS,1478,1.0,76,76,1514,1763,439,6743,2093,403,0.115,20.0,75.2,49.8
60,4,climb IAS,1528,1.0,78,77,1542,1760,439,6743,2093,403,0.118,20.0,75.2,49.8
62,4,climb IAS,1581,1.1,83,83,1576,1703,438,6743,2093,403,0.126,19.1,75.2,49.8
64,4,climb IAS,1635,1.1,90,90,1611,1632,438,6743,2093,402,0.137,18.0,75.2,49.8
66,4,climb IAS,1689,1.2,97,96,1636,1569,443,6743,2093,402,0.147,16.9,75.2,49.8
68,4,climb IAS,1743,1.3,103,102,1635,1526,462,6742,2092,402,0.156,16.0,75.2,49.8
70,4,climb IAS,1798,1.3,109,108,1635,1482,481,6742,2092,401,0.165,15.0,75.2,49.8
72,4,climb IAS,1851,1.4,110,109,1618,1466,490,6742,2092,401,0.167,14.6,75.2,49.8
74,4,climb IAS,1904,1.4,111,110,1597,1456,496,6742,2092,400,0.168,14.4,75.2,49.8
76,4,climb IAS,1957,1.5,111,110,1582,1448,501,6741,2091,400,0.169,14.2,75.2,49.8
78,4,climb IAS,2010,1.6,111,110,1580,1446,501,6741,2091,400,0.169,14.2,75.2,49.8
80,4,climb IAS,2062,1.6,111,110,1578,1444,501,6741,2091,399,0.169,14.1,75.2,49.8
82,4,climb IAS,2115,1.7,111,110,1577,1442,501,6741,2091,399,0.169,14.1,75.2,49.8
84,4,climb IAS,2167,1.7,112,110,1575,1441,501,6741,2091,399,0.169,14.1,75.2,49.8
86,4,climb IAS,2220,1.8,112,110,1573,1439,501,6740,2090,398,0.169,14.1,75.2,49.8
88,4,climb IAS,2272,1.9,112,110,1571,1437,501,6740,2090,398,0.17,14.0,75.2,49.8
90,4,climb IAS,2325,1.9,112,110,1570,1435,501,6740,2090,398,0.17,14.0,75.2,49.8
92,4,climb IAS,2377,2.0,112,110,1568,1433,501,6740,2090,397,0.17,14.0,75.2,49.8
94,4,climb IAS,2429,2.1,112,110,1566,1432,501,6739,2089,397,0.17,13.9,75.2,49.8
96,4,climb IAS,2481,2.1,112,110,1564,1430,501,6739,2089,396,0.17,13.9,75.2,49.8
98,4,climb IAS,2533,2.2,112,110,1563,1428,501,6739,2089,396,0.17,13.9,75.2,49.8
100,4,climb IAS,2585,2.2,112,110,1561,1426,501,6739,2089,396,0.17,13.9,75.2,49.8
102,4,climb IAS,2637,2.3,112,110,1559,1425,501,6739,2089,395,0.171,13.8,75.2,49.8
104,4,climb IAS,2689,2.4,112,110,1558,1423,501,6738,2088,395,0.171,13.8,75.2,49.8
106,4,climb IAS,2741,2.4,112,110,1556,1421,501,6738,2088,395,0.171,13.8,75.2,49.8
108,4,climb IAS,2793,2.5,113,110,1554,1419,501,6738,2088,394,0.171,13.8,75.2,49.8
110,4,climb IAS,2845,2.6,113,110,1552,1418,501,6738,2088,394,0.171,13.7,75.2,49.8
