# Flight Simulation Results - CJ Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 6000 ft
# Winds/Temps Source: No Wind
# ISA Dev: -10°C
# Approach VAPP: 109.0 kts
# Approach VREF: 83.5 kts
# Generated: 2025-11-08 10:26:39
# Original Data Points: 2800
# Sampled Data Points (2-sec intervals): 6999
# Time Range: 0 - 13996 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,28,3839,148,9840,3340,0,0.001,42.4,109.0,83.5
2,0,takeoff roll,22,0.0,14,14,530,3783,158,9838,3338,1030,0.021,41.5,109.0,83.5
4,0,takeoff roll,46,0.0,28,28,1057,3723,169,9837,3337,2114,0.042,40.6,109.0,83.5
6,0,takeoff roll,89,0.0,42,42,1540,3665,189,9836,3336,2646,0.063,39.6,109.0,83.5
8,0,takeoff roll,153,0.1,55,56,1978,3607,220,9834,3334,2626,0.083,38.5,109.0,83.5
10,0,takeoff roll,216,0.1,68,69,2416,3549,250,9833,3333,2606,0.103,37.4,109.0,83.5
12,0,takeoff roll,311,0.1,78,79,2700,3501,288,9831,3331,2566,0.118,36.4,109.0,83.5
14,0,takeoff roll,406,0.2,89,90,2984,3453,326,9830,3330,2525,0.134,35.3,109.0,83.5
16,0,takeoff roll,506,0.2,94,95,3126,3426,345,9828,3328,2497,0.142,34.8,109.0,83.5
18,0,takeoff roll,610,0.3,94,95,3124,3419,345,9827,3327,2480,0.142,34.7,109.0,83.5
20,0,takeoff roll,714,0.3,94,95,3123,3413,345,9826,3326,2463,0.142,34.6,109.0,83.5
22,0,takeoff roll,818,0.4,94,95,3121,3406,345,9824,3324,2458,0.143,34.5,109.0,83.5
24,0,takeoff roll,922,0.4,95,95,3120,3399,345,9823,3323,2453,0.143,34.5,109.0,83.5
26,0,takeoff roll,1024,0.5,96,96,3029,3391,430,9822,3322,2476,0.144,33.1,109.0,83.5
