# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 6000 ft
# Winds/Temps Source: No Wind
# ISA Dev: -10°C
# Approach VAPP: 105.6 kts
# Approach VREF: 80.3 kts
# Generated: 2025-11-08 10:28:44
# Original Data Points: 2853
# Sampled Data Points (2-sec intervals): 7131
# Time Range: 0 - 14260 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,28,3839,149,9919,3340,0,0.001,42.0,105.6,80.3
2,0,takeoff roll,22,0.0,14,14,521,3783,159,9917,3338,1030,0.021,41.1,105.6,80.3
4,0,takeoff roll,45,0.0,28,28,1041,3724,170,9916,3337,2115,0.042,40.3,105.6,80.3
6,0,takeoff roll,88,0.0,41,42,1516,3666,191,9914,3336,2647,0.062,39.3,105.6,80.3
8,0,takeoff roll,150,0.1,54,55,1948,3609,221,9913,3334,2627,0.082,38.2,105.6,80.3
10,0,takeoff roll,213,0.1,68,69,2380,3551,251,9911,3333,2607,0.102,37.1,105.6,80.3
12,0,takeoff roll,306,0.1,77,78,2629,3508,284,9910,3331,2568,0.115,36.2,105.6,80.3
14,0,takeoff roll,399,0.2,86,87,2879,3466,317,9908,3330,2529,0.129,35.3,105.6,80.3
16,0,takeoff roll,495,0.2,90,91,3003,3441,333,9907,3328,2502,0.136,34.8,105.6,80.3
18,0,takeoff roll,595,0.3,90,91,3002,3435,333,9906,3327,2488,0.136,34.7,105.6,80.3
20,0,takeoff roll,695,0.3,90,91,3000,3428,333,9904,3326,2474,0.137,34.7,105.6,80.3
22,0,takeoff roll,795,0.4,91,91,2999,3422,333,9903,3324,2470,0.137,34.6,105.6,80.3
24,0,takeoff roll,895,0.4,91,91,2998,3416,333,9902,3323,2465,0.137,34.5,105.6,80.3
26,0,takeoff roll,995,0.5,91,91,2996,3409,333,9900,3322,2460,0.137,34.5,105.6,80.3
28,0,takeoff roll,1095,0.5,91,91,2995,3403,333,9899,3320,2456,0.137,34.4,105.6,80.3
30,0,takeoff roll,1195,0.6,91,91,2994,3397,333,9898,3319,2451,0.138,34.3,105.6,80.3
32,0,takeoff roll,1290,0.6,96,96,2965,3372,440,9896,3318,2438,0.146,32.1,105.6,80.3
34,3,3rd segment climb,1385,0.7,102,101,2937,3347,547,9895,3316,2425,0.154,29.9,105.6,80.3
36,3,3rd segment climb,1484,0.8,108,107,3001,3324,598,9893,3315,2412,0.163,28.7,105.6,80.3
38,4,climb IAS,1587,0.8,114,113,3157,3302,593,9892,3314,2399,0.172,28.5,105.6,80.3
40,4,climb IAS,1690,0.9,120,119,3314,3281,588,9891,3312,2386,0.182,28.3,105.6,80.3
42,4,climb IAS,1810,1.0,130,129,3501,3237,605,9890,3311,2357,0.197,27.6,105.6,80.3
44,4,climb IAS,1930,1.0,140,139,3689,3193,622,9888,3310,2329,0.213,26.9,105.6,80.3
46,4,climb IAS,2056,1.1,150,148,3835,3151,651,9887,3308,2299,0.227,26.1,105.6,80.3
48,4,climb IAS,2188,1.2,159,157,3940,3111,691,9886,3307,2269,0.242,25.3,105.6,80.3
50,4,climb IAS,2320,1.3,169,166,4045,3071,731,9885,3306,2239,0.256,24.4,105.6,80.3
52,4,climb IAS,2456,1.4,175,172,4045,3038,774,9883,3305,2213,0.265,23.5,105.6,80.3
54,4,climb IAS,2592,1.5,181,177,4045,3005,818,9882,3303,2186,0.274,22.7,105.6,80.3
56,4,climb IAS,2728,1.6,184,180,4042,2985,840,9881,3302,2167,0.279,22.2,105.6,80.3
58,4,climb IAS,2862,1.7,184,180,4035,2977,840,9880,3301,2155,0.28,22.2,105.6,80.3
60,4,climb IAS,2997,1.8,185,180,4029,2969,840,9879,3300,2143,0.281,22.1,105.6,80.3
62,4,climb IAS,3131,1.9,185,180,4023,2961,839,9877,3299,2138,0.281,22.0,105.6,80.3
64,4,climb IAS,3265,2.0,185,180,4017,2954,839,9876,3298,2132,0.282,21.9,105.6,80.3
66,4,climb IAS,3398,2.1,186,180,4010,2946,839,9875,3296,2127,0.283,21.8,105.6,80.3
68,4,climb IAS,3532,2.2,186,180,4004,2938,839,9874,3295,2121,0.283,21.8,105.6,80.3
70,4,climb IAS,3665,2.3,186,180,3998,2930,839,9873,3294,2115,0.284,21.7,105.6,80.3
72,4,climb IAS,3798,2.4,187,180,3991,2923,839,9871,3293,2110,0.285,21.6,105.6,80.3
74,4,climb IAS,3931,2.5,187,180,3985,2915,839,9870,3292,2104,0.286,21.5,105.6,80.3
76,4,climb IAS,4064,2.6,187,180,3978,2907,839,9869,3290,2099,0.286,21.4,105.6,80.3
78,4,climb IAS,4196,2.7,188,180,3972,2900,839,9868,3289,2093,0.287,21.4,105.6,80.3
80,4,climb IAS,4329,2.8,188,180,3965,2892,839,9867,3288,2088,0.288,21.3,105.6,80.3
82,4,climb IAS,4461,2.9,189,180,3959,2884,839,9866,3287,2082,0.288,21.2,105.6,80.3
84,4,climb IAS,4592,3.0,189,180,3952,2877,839,9865,3286,2077,0.289,21.1,105.6,80.3
86,4,climb IAS,4724,3.1,189,180,3945,2869,838,9863,3285,2071,0.29,21.0,105.6,80.3
88,4,climb IAS,4855,3.3,190,180,3939,2861,838,9862,3284,2066,0.29,21.0,105.6,80.3
90,4,climb IAS,4987,3.4,190,180,3932,2854,838,9861,3282,2060,0.291,20.9,105.6,80.3
92,4,climb IAS,5117,3.5,190,180,3925,2846,838,9860,3281,2055,0.292,20.8,105.6,80.3
94,4,climb IAS,5248,3.6,191,180,3919,2838,838,9859,3280,2049,0.292,20.7,105.6,80.3
96,4,climb IAS,5378,3.7,191,180,3912,2831,838,9858,3279,2044,0.293,20.6,105.6,80.3
98,4,climb IAS,5509,3.8,191,180,3905,2823,838,9857,3278,2038,0.294,20.6,105.6,80.3
100,4,climb IAS,5639,3.9,192,180,3898,2816,838,9855,3277,2033,0.295,20.5,105.6,80.3
102,4,climb IAS,5768,4.0,192,180,3891,2808,838,9854,3276,2027,0.295,20.4,105.6,80.3
104,4,climb IAS,5898,4.1,193,180,3885,2801,838,9853,3275,2022,0.296,20.3,105.6,80.3
106,4,climb IAS,5968,4.2,195,183,3327,2796,838,9852,3273,2132,0.3,17.4,105.6,80.3
108,4,climb IAS,5979,4.3,201,188,2218,2794,838,9851,3272,2359,0.309,11.6,105.6,80.3
110,6,accelerating to cruise,5989,4.4,206,193,1109,2792,838,9850,3271,2586,0.317,5.8,105.6,80.3
112,6,accelerating to cruise,6000,4.6,212,198,0,2790,837,9849,3270,2813,0.326,0.0,105.6,80.3
114,6,accelerating to cruise,6000,4.7,213,199,0,2768,888,9848,3269,2476,0.327,0.0,105.6,80.3
116,6,accelerating to cruise,6000,4.8,214,200,0,2747,939,9847,3268,2139,0.329,0.0,105.6,80.3
118,6,accelerating to cruise,6000,4.9,214,200,0,2735,968,9845,3267,1969,0.33,0.0,105.6,80.3
120,6,accelerating to cruise,6000,5.0,214,200,0,2732,975,9844,3266,1967,0.33,0.0,105.6,80.3
122,6,accelerating to cruise,6000,5.2,214,200,0,2729,983,9843,3265,1965,0.33,0.0,105.6,80.3
124,6,accelerating to cruise,6000,5.3,214,200,0,2729,983,9842,3263,1965,0.33,0.0,105.6,80.3
126,6,accelerating to cruise,6000,5.4,214,200,0,2729,982,9841,3262,1965,0.33,0.0,105.6,80.3
128,6,accelerating to cruise,6000,5.5,214,200,0,2729,982,9840,3261,1965,0.33,0.0,105.6,80.3
130,6,accelerating to cruise,6000,5.6,214,200,0,2729,982,9839,3260,1965,0.33,0.0,105.6,80.3
132,6,accelerating to cruise,6000,5.8,214,200,0,2729,982,9838,3259,1965,0.33,0.0,105.6,80.3
