# Flight Simulation Results - C208B Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 2200 lb
# Payload: 343 lb
# Cruise Altitude: 10000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 78.9 kts
# Approach VREF: 53.2 kts
# Generated: 2025-11-10 17:34:10
# Original Data Points: 4168
# Sampled Data Points (2-sec intervals): 10419
# Time Range: 0 - 20836 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,87,4841,211,7043,2100,0,0.002,94.6,78.9,53.2
2,0,takeoff roll,35,0.0,17,17,537,3768,231,7043,2100,147,0.027,69.6,78.9,53.2
4,0,takeoff roll,71,0.0,34,33,1011,2639,252,7043,2100,303,0.052,43.2,78.9,53.2
6,0,takeoff roll,111,0.1,47,45,1283,1998,273,7042,2099,382,0.071,28.6,78.9,53.2
8,0,takeoff roll,152,0.1,55,53,1353,1846,296,7042,2099,384,0.083,25.9,78.9,53.2
10,0,takeoff roll,194,0.1,62,60,1423,1694,319,7042,2099,387,0.095,23.1,78.9,53.2
12,0,takeoff roll,238,0.1,68,66,1350,1679,417,7042,2099,411,0.104,20.4,78.9,53.2
14,2,2nd segment climb,281,0.2,75,72,1276,1665,514,7041,2098,434,0.114,17.6,78.9,53.2
16,2,2nd segment climb,324,0.2,80,77,1208,1651,605,7041,2098,455,0.123,15.0,78.9,53.2
18,2,2nd segment climb,364,0.3,81,78,1228,1633,577,7041,2098,427,0.123,15.2,78.9,53.2
20,3,3rd segment climb,405,0.3,81,78,1248,1616,548,7041,2098,398,0.124,15.3,78.9,53.2
22,3,3rd segment climb,446,0.4,82,78,1256,1607,536,7041,2098,386,0.124,15.4,78.9,53.2
24,3,3rd segment climb,488,0.4,82,78,1255,1605,536,7040,2097,385,0.125,15.4,78.9,53.2
26,3,3rd segment climb,529,0.5,82,78,1254,1603,535,7040,2097,385,0.125,15.3,78.9,53.2
28,3,3rd segment climb,571,0.5,82,78,1253,1602,535,7040,2097,385,0.125,15.3,78.9,53.2
30,3,3rd segment climb,613,0.5,82,78,1252,1600,535,7040,2097,384,0.125,15.3,78.9,53.2
32,3,3rd segment climb,655,0.6,82,78,1251,1598,535,7040,2097,384,0.125,15.3,78.9,53.2
34,3,3rd segment climb,696,0.6,82,78,1249,1597,535,7039,2096,384,0.125,15.3,78.9,53.2
36,3,3rd segment climb,738,0.7,82,78,1248,1595,535,7039,2096,384,0.125,15.2,78.9,53.2
38,3,3rd segment climb,779,0.7,82,78,1247,1593,535,7039,2096,383,0.125,15.2,78.9,53.2
40,3,3rd segment climb,821,0.8,82,78,1246,1592,535,7039,2096,383,0.125,15.2,78.9,53.2
