# Flight Simulation Results - C208B Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 10000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 75.2 kts
# Approach VREF: 49.8 kts
# Generated: 2025-11-10 17:45:06
# Original Data Points: 4168
# Sampled Data Points (2-sec intervals): 10418
# Time Range: 0 - 20834 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,95,4841,202,6750,2100,0,0.002,102.9,75.2,49.8
2,0,takeoff roll,37,0.0,18,17,554,3736,224,6750,2100,147,0.027,74.6,75.2,49.8
4,0,takeoff roll,75,0.0,35,34,1036,2572,247,6750,2100,303,0.054,44.8,75.2,49.8
6,0,takeoff roll,116,0.1,48,46,1325,1931,270,6749,2099,382,0.073,28.7,75.2,49.8
8,0,takeoff roll,161,0.1,56,54,1421,1812,296,6749,2099,384,0.086,26.4,75.2,49.8
10,0,takeoff roll,205,0.1,64,62,1516,1693,321,6749,2099,387,0.098,24.0,75.2,49.8
12,0,takeoff roll,250,0.2,69,66,1457,1681,381,6749,2099,408,0.105,21.8,75.2,49.8
14,2,2nd segment climb,296,0.2,73,70,1397,1668,441,6748,2098,429,0.111,19.5,75.2,49.8
16,2,2nd segment climb,342,0.2,77,74,1345,1657,492,6748,2098,446,0.117,17.5,75.2,49.8
18,2,2nd segment climb,387,0.3,77,74,1370,1655,470,6748,2098,421,0.118,17.8,75.2,49.8
20,3,3rd segment climb,433,0.3,77,74,1394,1653,448,6748,2098,396,0.118,18.2,75.2,49.8
22,3,3rd segment climb,479,0.4,77,74,1403,1651,439,6748,2098,385,0.118,18.3,75.2,49.8
24,3,3rd segment climb,526,0.4,77,74,1402,1649,439,6747,2097,385,0.118,18.2,75.2,49.8
26,3,3rd segment climb,572,0.4,77,74,1401,1647,439,6747,2097,385,0.118,18.2,75.2,49.8
28,3,3rd segment climb,619,0.5,77,74,1399,1645,439,6747,2097,384,0.118,18.2,75.2,49.8
30,3,3rd segment climb,666,0.5,77,74,1398,1644,439,6747,2097,384,0.118,18.1,75.2,49.8
32,3,3rd segment climb,712,0.6,77,74,1397,1642,439,6747,2097,384,0.118,18.1,75.2,49.8
34,3,3rd segment climb,759,0.6,77,74,1396,1640,439,6746,2096,384,0.118,18.1,75.2,49.8
36,3,3rd segment climb,805,0.7,77,74,1394,1638,439,6746,2096,383,0.118,18.1,75.2,49.8
38,3,3rd segment climb,852,0.7,78,74,1393,1636,439,6746,2096,383,0.119,18.0,75.2,49.8
40,3,3rd segment climb,898,0.8,78,74,1392,1634,439,6746,2096,383,0.119,18.0,75.2,49.8
42,3,3rd segment climb,945,0.8,78,74,1391,1632,439,6746,2096,382,0.119,18.0,75.2,49.8
44,3,3rd segment climb,991,0.8,78,74,1390,1630,439,6745,2095,382,0.119,17.9,75.2,49.8
46,3,3rd segment climb,1037,0.9,78,74,1388,1628,439,6745,2095,382,0.119,17.9,75.2,49.8
48,3,3rd segment climb,1083,0.9,78,74,1387,1626,439,6745,2095,381,0.119,17.9,75.2,49.8
50,3,3rd segment climb,1130,1.0,78,74,1386,1624,439,6745,2095,381,0.119,17.9,75.2,49.8
52,3,3rd segment climb,1176,1.0,78,74,1385,1622,439,6744,2094,381,0.119,17.8,75.2,49.8
54,3,3rd segment climb,1222,1.1,78,74,1383,1620,439,6744,2094,380,0.119,17.8,75.2,49.8
56,3,3rd segment climb,1268,1.1,78,74,1382,1618,439,6744,2094,380,0.119,17.8,75.2,49.8
58,3,3rd segment climb,1314,1.1,78,74,1381,1617,439,6744,2094,380,0.12,17.7,75.2,49.8
60,3,3rd segment climb,1360,1.2,78,74,1380,1615,439,6744,2094,379,0.12,17.7,75.2,49.8
62,3,3rd segment climb,1406,1.2,78,74,1379,1613,439,6743,2093,379,0.12,17.7,75.2,49.8
64,3,3rd segment climb,1452,1.3,78,74,1377,1611,439,6743,2093,379,0.12,17.7,75.2,49.8
66,3,3rd segment climb,1498,1.3,79,74,1381,1605,438,6743,2093,378,0.121,17.6,75.2,49.8
68,3,3rd segment climb,1546,1.4,84,79,1426,1568,434,6743,2093,378,0.129,17.1,75.2,49.8
70,4,climb IAS,1594,1.4,89,84,1471,1531,430,6743,2093,378,0.136,16.6,75.2,49.8
72,4,climb IAS,1644,1.5,95,89,1496,1491,433,6742,2092,377,0.145,15.9,75.2,49.8
74,4,climb IAS,1694,1.5,100,94,1509,1449,442,6742,2092,377,0.154,15.1,75.2,49.8
76,4,climb IAS,1745,1.6,106,100,1519,1407,452,6742,2092,377,0.162,14.3,75.2,49.8
78,4,climb IAS,1795,1.6,111,104,1500,1376,469,6742,2092,376,0.17,13.6,75.2,49.8
80,4,climb IAS,1845,1.7,115,108,1480,1345,487,6742,2092,376,0.177,12.8,75.2,49.8
82,4,climb IAS,1894,1.8,117,110,1464,1328,496,6741,2091,376,0.18,12.4,75.2,49.8
84,4,climb IAS,1942,1.8,117,110,1450,1322,498,6741,2091,375,0.18,12.3,75.2,49.8
86,4,climb IAS,1990,1.9,117,110,1437,1316,501,6741,2091,375,0.18,12.2,75.2,49.8
88,4,climb IAS,2038,2.0,117,110,1435,1315,501,6741,2091,375,0.18,12.2,75.2,49.8
90,4,climb IAS,2086,2.0,117,110,1433,1313,501,6740,2090,374,0.18,12.1,75.2,49.8
92,4,climb IAS,2133,2.1,118,110,1431,1311,501,6740,2090,374,0.18,12.1,75.2,49.8
94,4,climb IAS,2181,2.2,118,110,1429,1309,501,6740,2090,374,0.181,12.1,75.2,49.8
96,4,climb IAS,2229,2.2,118,110,1427,1308,501,6740,2090,373,0.181,12.1,75.2,49.8
98,4,climb IAS,2276,2.3,118,110,1425,1306,500,6740,2090,373,0.181,12.0,75.2,49.8
100,4,climb IAS,2324,2.3,118,110,1423,1304,500,6739,2089,373,0.181,12.0,75.2,49.8
102,4,climb IAS,2371,2.4,118,110,1421,1302,500,6739,2089,373,0.181,12.0,75.2,49.8
104,4,climb IAS,2418,2.5,118,110,1419,1301,500,6739,2089,372,0.181,12.0,75.2,49.8
106,4,climb IAS,2466,2.5,118,110,1417,1299,500,6739,2089,372,0.182,11.9,75.2,49.8
108,4,climb IAS,2513,2.6,118,110,1415,1297,500,6739,2089,372,0.182,11.9,75.2,49.8
110,4,climb IAS,2560,2.7,118,110,1413,1295,500,6738,2088,371,0.182,11.9,75.2,49.8
112,4,climb IAS,2607,2.7,118,110,1411,1294,500,6738,2088,371,0.182,11.9,75.2,49.8
114,4,climb IAS,2654,2.8,118,110,1409,1292,500,6738,2088,371,0.182,11.8,75.2,49.8
116,4,climb IAS,2701,2.9,119,110,1407,1290,500,6738,2088,370,0.182,11.8,75.2,49.8
118,4,climb IAS,2748,2.9,119,110,1405,1289,500,6738,2088,370,0.183,11.8,75.2,49.8
120,4,climb IAS,2794,3.0,119,110,1403,1287,500,6737,2087,370,0.183,11.8,75.2,49.8
122,4,climb IAS,2841,3.1,119,110,1401,1285,500,6737,2087,369,0.183,11.7,75.2,49.8
124,4,climb IAS,2888,3.1,119,110,1399,1283,500,6737,2087,369,0.183,11.7,75.2,49.8
126,4,climb IAS,2934,3.2,119,110,1397,1282,500,6737,2087,369,0.183,11.7,75.2,49.8
128,4,climb IAS,2981,3.3,119,110,1395,1280,500,6737,2087,368,0.183,11.7,75.2,49.8
130,4,climb IAS,3027,3.3,119,110,1393,1278,500,6736,2086,368,0.184,11.6,75.2,49.8
132,4,climb IAS,3074,3.4,119,110,1391,1277,500,6736,2086,368,0.184,11.6,75.2,49.8
134,4,climb IAS,3120,3.5,119,110,1389,1275,500,6736,2086,367,0.184,11.6,75.2,49.8
136,4,climb IAS,3166,3.5,119,110,1387,1273,500,6736,2086,367,0.184,11.6,75.2,49.8
138,4,climb IAS,3212,3.6,119,110,1385,1272,500,6736,2086,367,0.184,11.5,75.2,49.8
140,4,climb IAS,3259,3.7,120,110,1383,1270,500,6735,2085,367,0.184,11.5,75.2,49.8
142,4,climb IAS,3305,3.7,120,110,1381,1268,500,6735,2085,366,0.184,11.5,75.2,49.8
144,4,climb IAS,3351,3.8,120,110,1379,1267,500,6735,2085,366,0.185,11.5,75.2,49.8
146,4,climb IAS,3397,3.9,120,110,1377,1265,500,6735,2085,366,0.185,11.4,75.2,49.8
148,4,climb IAS,3442,3.9,120,110,1376,1263,500,6735,2085,365,0.185,11.4,75.2,49.8
150,4,climb IAS,3488,4.0,120,110,1374,1262,500,6734,2084,365,0.185,11.4,75.2,49.8
152,4,climb IAS,3534,4.1,120,110,1372,1260,500,6734,2084,365,0.185,11.4,75.2,49.8
154,4,climb IAS,3580,4.1,120,110,1370,1258,500,6734,2084,364,0.185,11.3,75.2,49.8
156,4,climb IAS,3625,4.2,120,110,1368,1257,500,6734,2084,364,0.186,11.3,75.2,49.8
158,4,climb IAS,3671,4.3,120,110,1366,1255,500,6734,2084,364,0.186,11.3,75.2,49.8
160,4,climb IAS,3716,4.3,120,110,1364,1254,500,6733,2083,363,0.186,11.3,75.2,49.8
162,4,climb IAS,3762,4.4,120,110,1362,1252,500,6733,2083,363,0.186,11.2,75.2,49.8
164,4,climb IAS,3807,4.5,121,110,1360,1250,500,6733,2083,363,0.186,11.2,75.2,49.8
166,4,climb IAS,3852,4.5,121,110,1358,1249,500,6733,2083,363,0.186,11.2,75.2,49.8
168,4,climb IAS,3898,4.6,121,110,1356,1247,500,6732,2082,362,0.187,11.2,75.2,49.8
170,4,climb IAS,3943,4.7,121,110,1354,1246,500,6732,2082,362,0.187,11.1,75.2,49.8
172,4,climb IAS,3988,4.7,121,110,1352,1244,500,6732,2082,362,0.187,11.1,75.2,49.8
174,4,climb IAS,4033,4.8,121,110,1350,1242,500,6732,2082,361,0.187,11.1,75.2,49.8
176,4,climb IAS,4078,4.9,121,110,1348,1241,500,6732,2082,361,0.187,11.1,75.2,49.8
178,4,climb IAS,4123,4.9,121,110,1347,1239,500,6731,2081,361,0.187,11.0,75.2,49.8
180,4,climb IAS,4168,5.0,121,110,1345,1238,500,6731,2081,360,0.187,11.0,75.2,49.8
182,4,climb IAS,4212,5.1,121,110,1343,1236,500,6731,2081,360,0.188,11.0,75.2,49.8
184,4,climb IAS,4257,5.1,121,110,1341,1234,500,6731,2081,360,0.188,11.0,75.2,49.8
186,4,climb IAS,4302,5.2,121,110,1339,1233,500,6731,2081,360,0.188,11.0,75.2,49.8
188,4,climb IAS,4346,5.3,122,110,1337,1231,500,6730,2080,359,0.188,10.9,75.2,49.8
190,4,climb IAS,4391,5.3,122,110,1335,1230,500,6730,2080,359,0.188,10.9,75.2,49.8
192,4,climb IAS,4435,5.4,122,110,1333,1228,500,6730,2080,359,0.188,10.9,75.2,49.8
194,4,climb IAS,4480,5.5,122,110,1331,1227,500,6730,2080,358,0.189,10.9,75.2,49.8
196,4,climb IAS,4524,5.5,122,110,1329,1225,500,6730,2080,358,0.189,10.8,75.2,49.8
198,4,climb IAS,4568,5.6,122,110,1328,1224,500,6729,2079,358,0.189,10.8,75.2,49.8
200,4,climb IAS,4612,5.7,122,110,1326,1222,500,6729,2079,358,0.189,10.8,75.2,49.8
202,4,climb IAS,4657,5.7,122,110,1324,1220,500,6729,2079,357,0.189,10.8,75.2,49.8
204,4,climb IAS,4701,5.8,122,110,1322,1219,500,6729,2079,357,0.189,10.7,75.2,49.8
206,4,climb IAS,4745,5.9,122,110,1320,1217,500,6729,2079,357,0.19,10.7,75.2,49.8
208,4,climb IAS,4789,6.0,122,110,1318,1216,500,6729,2079,356,0.19,10.7,75.2,49.8
210,4,climb IAS,4833,6.0,122,110,1316,1214,500,6728,2078,356,0.19,10.7,75.2,49.8
212,4,climb IAS,4876,6.1,123,110,1314,1213,500,6728,2078,356,0.19,10.7,75.2,49.8
214,4,climb IAS,4920,6.2,123,110,1313,1211,500,6728,2078,355,0.19,10.6,75.2,49.8
216,4,climb IAS,4964,6.2,123,110,1311,1210,500,6728,2078,355,0.19,10.6,75.2,49.8
218,4,climb IAS,5007,6.3,123,110,1309,1208,500,6728,2078,355,0.19,10.6,75.2,49.8
220,4,climb IAS,5051,6.4,123,110,1307,1207,500,6727,2077,355,0.191,10.6,75.2,49.8
222,4,climb IAS,5095,6.4,123,110,1305,1205,500,6727,2077,354,0.191,10.5,75.2,49.8
