# Flight Simulation Results - CJ1 Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 109.8 kts
# Approach VREF: 84.3 kts
# Generated: 2025-11-11 08:45:34
# Original Data Points: 2367
# Sampled Data Points (2-sec intervals): 5916
# Time Range: 0 - 11830 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,21,3585,160,10669,3340,0,0.001,35.7,109.8,84.3
2,0,takeoff roll,17,0.0,12,12,396,3543,167,10667,3339,966,0.018,35.1,109.8,84.3
4,0,takeoff roll,34,0.0,24,23,790,3498,174,10666,3337,1982,0.037,34.6,109.8,84.3
6,0,takeoff roll,67,0.0,36,35,1158,3453,188,10664,3336,2484,0.055,33.9,109.8,84.3
8,0,takeoff roll,115,0.1,47,46,1499,3408,209,10663,3334,2473,0.072,33.2,109.8,84.3
10,0,takeoff roll,162,0.1,59,57,1841,3363,230,10662,3333,2461,0.09,32.5,109.8,84.3
12,0,takeoff roll,236,0.1,70,67,2120,3320,262,10660,3332,2429,0.106,31.7,109.8,84.3
14,0,takeoff roll,310,0.2,81,77,2398,3276,294,10659,3330,2397,0.123,30.9,109.8,84.3
16,0,takeoff roll,390,0.2,90,87,2543,3240,384,10658,3329,2367,0.138,29.2,109.8,84.3
18,3,3rd segment climb,476,0.3,99,95,2554,3211,531,10656,3328,2338,0.151,26.7,109.8,84.3
20,3,3rd segment climb,562,0.3,108,103,2564,3182,678,10655,3327,2310,0.165,24.2,109.8,84.3
22,3,3rd segment climb,651,0.4,110,105,2609,3163,665,10654,3325,2291,0.168,24.1,109.8,84.3
24,3,3rd segment climb,741,0.4,112,107,2654,3145,652,10653,3324,2273,0.171,24.1,109.8,84.3
26,3,3rd segment climb,830,0.5,113,108,2675,3133,646,10651,3323,2262,0.173,24.0,109.8,84.3
28,3,3rd segment climb,919,0.6,113,108,2673,3127,646,10650,3322,2257,0.173,24.0,109.8,84.3
30,3,3rd segment climb,1008,0.6,113,108,2671,3121,646,10649,3320,2251,0.174,23.9,109.8,84.3
32,3,3rd segment climb,1097,0.7,114,108,2669,3116,646,10648,3319,2247,0.174,23.8,109.8,84.3
34,3,3rd segment climb,1186,0.8,114,108,2666,3110,646,10646,3318,2243,0.174,23.8,109.8,84.3
36,3,3rd segment climb,1275,0.8,114,108,2664,3104,645,10645,3317,2239,0.174,23.7,109.8,84.3
38,3,3rd segment climb,1363,0.9,114,108,2662,3099,645,10644,3315,2235,0.175,23.7,109.8,84.3
40,3,3rd segment climb,1452,1.0,114,108,2660,3093,645,10643,3314,2231,0.175,23.6,109.8,84.3
42,3,3rd segment climb,1544,1.0,119,113,2768,3076,641,10641,3313,2224,0.183,23.5,109.8,84.3
44,4,climb IAS,1637,1.1,125,118,2877,3059,636,10640,3312,2218,0.191,23.4,109.8,84.3
46,4,climb IAS,1735,1.2,132,124,2999,3034,637,10639,3310,2204,0.202,23.1,109.8,84.3
48,4,climb IAS,1840,1.2,140,132,3136,3000,645,10638,3309,2182,0.215,22.7,109.8,84.3
50,4,climb IAS,1945,1.3,149,140,3272,2967,654,10637,3308,2160,0.228,22.3,109.8,84.3
52,4,climb IAS,2059,1.4,157,147,3358,2936,679,10635,3307,2137,0.24,21.7,109.8,84.3
54,4,climb IAS,2173,1.5,165,154,3443,2904,704,10634,3306,2114,0.253,21.1,109.8,84.3
56,4,climb IAS,2289,1.6,172,161,3507,2874,734,10633,3304,2091,0.265,20.5,109.8,84.3
58,4,climb IAS,2407,1.7,180,168,3548,2845,769,10632,3303,2070,0.276,19.9,109.8,84.3
60,4,climb IAS,2526,1.8,187,174,3589,2816,804,10631,3302,2048,0.288,19.3,109.8,84.3
62,4,climb IAS,2644,1.9,190,177,3569,2798,825,10630,3301,2031,0.292,18.9,109.8,84.3
64,4,climb IAS,2763,2.0,193,179,3549,2780,846,10629,3300,2013,0.296,18.5,109.8,84.3
66,4,climb IAS,2881,2.1,194,180,3536,2768,857,10628,3299,2001,0.299,18.3,109.8,84.3
68,4,climb IAS,2999,2.2,194,180,3530,2761,857,10626,3298,1994,0.3,18.2,109.8,84.3
70,4,climb IAS,3117,2.3,195,180,3524,2754,857,10625,3297,1988,0.3,18.2,109.8,84.3
