# Flight Simulation Results - CJ2+ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3961 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 109.7 kts
# Approach VREF: 84.2 kts
# Generated: 2025-11-11 11:15:15
# Original Data Points: 2471
# Sampled Data Points (2-sec intervals): 6176
# Time Range: 0 - 12350 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,29,4697,178,11840,3861,0,0.001,43.2,109.7,84.2
2,0,takeoff roll,23,0.0,14,14,550,4630,188,11838,3859,1261,0.022,42.4,109.7,84.2
4,0,takeoff roll,47,0.0,29,28,1098,4560,200,11837,3857,2589,0.043,41.5,109.7,84.2
6,0,takeoff roll,93,0.0,42,41,1602,4490,221,11835,3856,3241,0.065,40.5,109.7,84.2
8,0,takeoff roll,159,0.1,56,54,2063,4421,253,11833,3854,3217,0.085,39.5,109.7,84.2
10,0,takeoff roll,225,0.1,69,67,2523,4351,285,11831,3852,3194,0.106,38.4,109.7,84.2
12,0,takeoff roll,324,0.1,82,79,2708,4290,464,11830,3850,3193,0.125,35.3,109.7,84.2
14,1,1st segment climb,423,0.2,94,91,2892,4229,643,11828,3849,3193,0.144,32.3,109.7,84.2
16,1,1st segment climb,527,0.2,104,99,3049,4180,742,11826,3847,3204,0.158,30.4,109.7,84.2
18,3,3rd segment climb,636,0.3,108,103,3166,4148,721,11824,3845,3233,0.165,30.3,109.7,84.2
20,3,3rd segment climb,746,0.4,112,107,3283,4117,701,11823,3844,3262,0.171,30.2,109.7,84.2
22,3,3rd segment climb,856,0.4,114,109,3322,4100,693,11821,3842,3188,0.174,30.1,109.7,84.2
24,3,3rd segment climb,967,0.5,114,109,3319,4091,693,11820,3840,3057,0.174,30.0,109.7,84.2
26,3,3rd segment climb,1077,0.6,114,109,3316,4081,693,11818,3839,2945,0.175,29.9,109.7,84.2
28,3,3rd segment climb,1188,0.6,114,109,3313,4072,693,11816,3837,2939,0.175,29.8,109.7,84.2
30,3,3rd segment climb,1298,0.7,115,109,3310,4063,693,11815,3835,2932,0.175,29.8,109.7,84.2
32,3,3rd segment climb,1410,0.8,118,111,3381,4048,691,11813,3834,2925,0.18,29.6,109.7,84.2
34,4,climb IAS,1523,0.8,122,115,3493,4029,688,11811,3832,2917,0.187,29.5,109.7,84.2
36,4,climb IAS,1639,0.9,127,120,3620,4006,687,11810,3831,2905,0.195,29.3,109.7,84.2
