# Flight Simulation Results - CJ Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 108.7 kts
# Approach VREF: 83.2 kts
# Generated: 2025-11-11 06:43:32
# Original Data Points: 2374
# Sampled Data Points (2-sec intervals): 5934
# Time Range: 0 - 11866 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,25,3585,148,9840,3340,0,0.001,39.1,108.7,83.2
2,0,takeoff roll,20,0.0,13,13,464,3539,156,9839,3339,964,0.02,38.4,108.7,83.2
4,0,takeoff roll,40,0.0,26,25,927,3490,164,9837,3337,1979,0.04,37.7,108.7,83.2
6,0,takeoff roll,78,0.0,39,38,1356,3441,181,9836,3336,2479,0.059,36.9,108.7,83.2
8,0,takeoff roll,134,0.1,51,49,1749,3392,205,9834,3334,2465,0.078,36.1,108.7,83.2
10,0,takeoff roll,190,0.1,64,61,2143,3344,229,9833,3333,2450,0.097,35.2,108.7,83.2
12,0,takeoff roll,275,0.1,75,73,2456,3297,265,9832,3332,2416,0.115,34.2,108.7,83.2
14,0,takeoff roll,361,0.2,87,84,2769,3250,302,9830,3330,2381,0.133,33.2,108.7,83.2
16,0,takeoff roll,449,0.2,97,93,2906,3212,394,9829,3329,2400,0.148,31.4,108.7,83.2
18,3,3rd segment climb,541,0.3,104,100,2865,3182,542,9828,3328,2471,0.159,28.7,108.7,83.2
20,3,3rd segment climb,632,0.3,111,106,2825,3152,690,9827,3327,2543,0.17,26.1,108.7,83.2
22,3,3rd segment climb,726,0.4,113,108,2811,3138,734,9825,3325,2478,0.173,25.2,108.7,83.2
24,3,3rd segment climb,819,0.5,114,108,2809,3132,734,9824,3324,2354,0.174,25.2,108.7,83.2
26,3,3rd segment climb,913,0.5,114,108,2806,3126,733,9823,3323,2255,0.174,25.1,108.7,83.2
28,3,3rd segment climb,1006,0.6,114,108,2804,3120,733,9822,3322,2251,0.174,25.0,108.7,83.2
30,3,3rd segment climb,1100,0.7,114,108,2801,3114,733,9820,3320,2246,0.175,25.0,108.7,83.2
32,3,3rd segment climb,1193,0.7,114,108,2798,3108,733,9819,3319,2242,0.175,24.9,108.7,83.2
34,3,3rd segment climb,1286,0.8,114,108,2796,3102,733,9818,3318,2238,0.175,24.9,108.7,83.2
