# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 317 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 107.3 kts
# Approach VREF: 81.9 kts
# Generated: 2025-11-11 07:23:06
# Original Data Points: 2383
# Sampled Data Points (2-sec intervals): 5956
# Time Range: 0 - 11910 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,23,3585,154,10236,3340,0,0.001,37.4,107.3,81.9
2,0,takeoff roll,18,0.0,13,12,430,3541,161,10234,3339,965,0.019,36.8,107.3,81.9
4,0,takeoff roll,37,0.0,25,24,858,3494,169,10233,3337,1981,0.038,36.1,107.3,81.9
6,0,takeoff roll,72,0.0,37,36,1256,3447,184,10231,3336,2482,0.057,35.4,107.3,81.9
8,0,takeoff roll,124,0.1,49,48,1623,3400,207,10230,3334,2469,0.075,34.6,107.3,81.9
10,0,takeoff roll,176,0.1,61,59,1990,3353,230,10229,3333,2455,0.094,33.8,107.3,81.9
12,0,takeoff roll,255,0.1,73,70,2286,3308,264,10227,3332,2422,0.111,32.9,107.3,81.9
14,0,takeoff roll,335,0.2,84,81,2582,3263,299,10226,3330,2389,0.128,32.0,107.3,81.9
16,0,takeoff roll,420,0.2,93,90,2738,3224,373,10225,3329,2385,0.143,30.4,107.3,81.9
18,3,3rd segment climb,510,0.3,101,97,2755,3192,488,10224,3328,2409,0.155,28.2,107.3,81.9
20,3,3rd segment climb,601,0.3,109,105,2771,3159,603,10222,3327,2432,0.167,25.9,107.3,81.9
22,3,3rd segment climb,693,0.4,111,106,2772,3149,620,10221,3325,2378,0.169,25.5,107.3,81.9
24,3,3rd segment climb,785,0.5,111,106,2770,3143,620,10220,3324,2309,0.169,25.5,107.3,81.9
26,3,3rd segment climb,878,0.5,111,106,2768,3138,620,10218,3323,2263,0.17,25.4,107.3,81.9
28,3,3rd segment climb,970,0.6,111,106,2765,3132,620,10217,3322,2259,0.17,25.4,107.3,81.9
30,3,3rd segment climb,1062,0.6,111,106,2763,3126,619,10216,3320,2255,0.17,25.3,107.3,81.9
32,3,3rd segment climb,1154,0.7,111,106,2761,3120,619,10215,3319,2251,0.17,25.2,107.3,81.9
34,3,3rd segment climb,1246,0.8,112,106,2759,3114,619,10213,3318,2246,0.171,25.2,107.3,81.9
36,3,3rd segment climb,1338,0.8,112,106,2756,3108,619,10212,3317,2242,0.171,25.1,107.3,81.9
38,3,3rd segment climb,1430,0.9,112,106,2754,3102,619,10211,3315,2238,0.171,25.1,107.3,81.9
40,3,3rd segment climb,1521,1.0,112,106,2752,3096,619,10210,3314,2234,0.172,25.0,107.3,81.9
42,3,3rd segment climb,1622,1.0,120,113,2913,3070,616,10208,3313,2222,0.184,24.8,107.3,81.9
44,4,climb IAS,1723,1.1,129,121,3103,3040,612,10207,3312,2209,0.198,24.5,107.3,81.9
46,4,climb IAS,1829,1.2,138,130,3270,3009,616,10206,3310,2192,0.212,24.1,107.3,81.9
