# Flight Simulation Results - M2 Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 2870 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 118.1 kts
# Approach VREF: 92.0 kts
# Generated: 2025-11-11 12:43:01
# Original Data Points: 1841
# Sampled Data Points (2-sec intervals): 4601
# Time Range: 0 - 9200 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,23,3846,162,10800,2770,0,0.001,38.1,118.1,92.0
2,0,takeoff roll,19,0.0,13,12,444,3797,170,10798,2768,1035,0.019,37.5,118.1,92.0
4,0,takeoff roll,38,0.0,26,25,887,3746,178,10797,2767,2124,0.039,36.8,118.1,92.0
6,0,takeoff roll,75,0.0,38,37,1298,3695,194,10795,2765,2661,0.058,36.1,118.1,92.0
8,0,takeoff roll,128,0.1,50,48,1678,3644,217,10794,2764,2646,0.077,35.3,118.1,92.0
10,0,takeoff roll,182,0.1,62,60,2058,3593,240,10793,2763,2632,0.095,34.4,118.1,92.0
12,0,takeoff roll,264,0.1,74,71,2364,3543,275,10791,2761,2595,0.113,33.5,118.1,92.0
14,0,takeoff roll,346,0.2,85,82,2671,3494,310,10790,2760,2559,0.13,32.6,118.1,92.0
16,0,takeoff roll,434,0.2,96,92,2824,3453,411,10788,2758,2601,0.146,30.8,118.1,92.0
18,3,3rd segment climb,527,0.3,105,100,2823,3419,578,10787,2757,2722,0.16,28.2,118.1,92.0
20,3,3rd segment climb,621,0.3,114,109,2821,3385,744,10786,2756,2843,0.174,25.5,118.1,92.0
22,3,3rd segment climb,715,0.4,118,113,2826,3362,814,10784,2754,2789,0.18,24.3,118.1,92.0
24,3,3rd segment climb,810,0.5,119,113,2835,3348,804,10783,2753,2593,0.181,24.3,118.1,92.0
26,3,3rd segment climb,905,0.5,119,114,2843,3334,794,10782,2752,2406,0.182,24.2,118.1,92.0
28,3,3rd segment climb,999,0.6,119,114,2840,3328,794,10780,2750,2401,0.183,24.2,118.1,92.0
30,3,3rd segment climb,1094,0.7,120,114,2838,3321,794,10779,2749,2396,0.183,24.1,118.1,92.0
32,3,3rd segment climb,1189,0.7,120,114,2835,3315,794,10778,2748,2391,0.183,24.1,118.1,92.0
34,3,3rd segment climb,1283,0.8,120,114,2832,3308,794,10776,2746,2387,0.184,24.0,118.1,92.0
36,3,3rd segment climb,1377,0.9,120,114,2834,3302,793,10775,2745,2382,0.184,23.9,118.1,92.0
38,3,3rd segment climb,1474,0.9,124,117,2911,3289,787,10774,2744,2376,0.19,23.9,118.1,92.0
40,4,climb IAS,1570,1.0,127,120,2989,3276,782,10772,2742,2371,0.195,23.8,118.1,92.0
42,4,climb IAS,1673,1.1,134,126,3113,3251,776,10771,2741,2357,0.205,23.6,118.1,92.0
44,4,climb IAS,1783,1.2,143,134,3274,3214,769,10770,2740,2335,0.219,23.3,118.1,92.0
46,4,climb IAS,1892,1.2,151,142,3432,3177,764,10768,2738,2314,0.232,23.0,118.1,92.0
48,4,climb IAS,2012,1.3,160,150,3536,3143,782,10767,2737,2288,0.245,22.5,118.1,92.0
50,4,climb IAS,2132,1.4,168,157,3640,3108,799,10766,2736,2263,0.258,22.0,118.1,92.0
52,4,climb IAS,2255,1.5,176,164,3717,3074,824,10765,2735,2238,0.27,21.4,118.1,92.0
54,4,climb IAS,2381,1.6,184,171,3771,3042,855,10764,2734,2214,0.282,20.8,118.1,92.0
