# Flight Simulation Results - M2 Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 2890 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 113.7 kts
# Approach VREF: 87.9 kts
# Generated: 2025-11-11 12:55:03
# Original Data Points: 1885
# Sampled Data Points (2-sec intervals): 4711
# Time Range: 0 - 9420 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,23,3846,162,10800,2790,0,0.001,38.1,113.7,87.9
2,0,takeoff roll,19,0.0,13,12,444,3797,170,10798,2788,1035,0.019,37.5,113.7,87.9
4,0,takeoff roll,38,0.0,26,25,887,3746,178,10797,2787,2124,0.039,36.8,113.7,87.9
6,0,takeoff roll,75,0.0,38,37,1298,3695,194,10795,2785,2661,0.058,36.1,113.7,87.9
8,0,takeoff roll,128,0.1,50,48,1677,3644,217,10794,2784,2646,0.077,35.3,113.7,87.9
10,0,takeoff roll,182,0.1,62,60,2057,3593,241,10793,2783,2632,0.095,34.4,113.7,87.9
12,0,takeoff roll,264,0.1,74,71,2363,3543,276,10791,2781,2595,0.113,33.5,113.7,87.9
14,0,takeoff roll,346,0.2,85,82,2669,3494,312,10790,2780,2559,0.13,32.6,113.7,87.9
16,0,takeoff roll,435,0.2,95,91,2837,3452,387,10788,2778,2571,0.145,31.0,113.7,87.9
18,3,3rd segment climb,529,0.3,103,99,2866,3416,503,10787,2777,2630,0.158,28.8,113.7,87.9
20,3,3rd segment climb,624,0.3,111,107,2896,3379,618,10786,2776,2689,0.17,26.6,113.7,87.9
22,3,3rd segment climb,720,0.4,114,109,2901,3366,647,10784,2774,2618,0.174,26.0,113.7,87.9
24,3,3rd segment climb,817,0.5,114,109,2899,3359,647,10783,2773,2505,0.174,26.0,113.7,87.9
26,3,3rd segment climb,913,0.5,114,109,2897,3352,647,10782,2772,2418,0.174,25.9,113.7,87.9
28,3,3rd segment climb,1010,0.6,114,109,2894,3346,647,10780,2770,2414,0.175,25.9,113.7,87.9
30,3,3rd segment climb,1106,0.7,114,109,2892,3339,646,10779,2769,2409,0.175,25.8,113.7,87.9
32,3,3rd segment climb,1203,0.7,114,109,2889,3333,646,10778,2768,2404,0.175,25.7,113.7,87.9
34,3,3rd segment climb,1299,0.8,115,109,2887,3326,646,10776,2766,2400,0.176,25.7,113.7,87.9
36,3,3rd segment climb,1396,0.8,116,110,2906,3318,645,10775,2765,2395,0.177,25.6,113.7,87.9
38,4,climb IAS,1494,0.9,120,113,2992,3305,642,10774,2764,2389,0.183,25.5,113.7,87.9
40,4,climb IAS,1592,1.0,123,117,3078,3292,639,10772,2762,2383,0.189,25.4,113.7,87.9
42,4,climb IAS,1701,1.1,131,124,3225,3259,642,10771,2761,2365,0.201,25.0,113.7,87.9
44,4,climb IAS,1813,1.1,140,132,3393,3220,648,10770,2760,2342,0.215,24.6,113.7,87.9
46,4,climb IAS,1928,1.2,150,140,3545,3182,659,10768,2758,2319,0.229,24.1,113.7,87.9
48,4,climb IAS,2051,1.3,158,148,3652,3146,685,10767,2757,2292,0.243,23.5,113.7,87.9
50,4,climb IAS,2174,1.4,167,156,3758,3109,712,10766,2756,2265,0.256,22.8,113.7,87.9
52,4,climb IAS,2301,1.5,175,164,3825,3075,748,10765,2755,2239,0.269,22.1,113.7,87.9
54,4,climb IAS,2431,1.6,183,171,3879,3041,785,10763,2753,2214,0.282,21.4,113.7,87.9
56,4,climb IAS,2560,1.7,190,177,3914,3012,818,10762,2752,2190,0.292,20.8,113.7,87.9
58,4,climb IAS,2689,1.8,192,178,3890,2994,836,10761,2751,2171,0.295,20.5,113.7,87.9
60,4,climb IAS,2818,1.9,194,180,3866,2976,853,10760,2750,2152,0.298,20.1,113.7,87.9
62,4,climb IAS,2947,2.0,194,180,3855,2966,858,10759,2749,2142,0.299,20.0,113.7,87.9
64,4,climb IAS,3075,2.1,195,180,3849,2958,858,10757,2747,2136,0.3,19.9,113.7,87.9
66,4,climb IAS,3204,2.2,195,180,3842,2950,858,10756,2746,2129,0.301,19.8,113.7,87.9
68,4,climb IAS,3331,2.3,195,180,3835,2942,857,10755,2745,2124,0.301,19.8,113.7,87.9
70,4,climb IAS,3459,2.4,196,180,3828,2934,857,10754,2744,2118,0.302,19.7,113.7,87.9
72,4,climb IAS,3586,2.6,196,180,3821,2926,857,10753,2743,2112,0.303,19.6,113.7,87.9
74,4,climb IAS,3714,2.7,197,180,3814,2918,857,10752,2742,2106,0.304,19.5,113.7,87.9
76,4,climb IAS,3841,2.8,197,180,3807,2910,857,10750,2740,2101,0.304,19.5,113.7,87.9
78,4,climb IAS,3967,2.9,197,180,3800,2902,857,10749,2739,2095,0.305,19.4,113.7,87.9
80,4,climb IAS,4094,3.0,198,180,3793,2894,857,10748,2738,2089,0.306,19.3,113.7,87.9
82,4,climb IAS,4220,3.1,198,180,3786,2886,857,10747,2737,2084,0.306,19.2,113.7,87.9
84,4,climb IAS,4346,3.2,198,180,3779,2878,857,10746,2736,2078,0.307,19.2,113.7,87.9
86,4,climb IAS,4472,3.3,199,180,3772,2870,857,10745,2735,2072,0.308,19.1,113.7,87.9
88,4,climb IAS,4598,3.4,199,180,3765,2862,857,10744,2734,2067,0.309,19.0,113.7,87.9
90,4,climb IAS,4723,3.5,200,180,3758,2854,856,10742,2732,2061,0.309,18.9,113.7,87.9
92,4,climb IAS,4848,3.7,200,180,3751,2847,856,10741,2731,2055,0.31,18.9,113.7,87.9
94,4,climb IAS,4973,3.8,200,180,3744,2839,856,10740,2730,2050,0.311,18.8,113.7,87.9
96,4,climb IAS,5098,3.9,201,180,3737,2831,856,10739,2729,2044,0.311,18.7,113.7,87.9
98,4,climb IAS,5222,4.0,201,180,3729,2823,856,10738,2728,2038,0.312,18.6,113.7,87.9
100,4,climb IAS,5346,4.1,201,180,3722,2815,856,10737,2727,2033,0.313,18.6,113.7,87.9
102,4,climb IAS,5470,4.2,202,180,3715,2808,856,10736,2726,2027,0.314,18.5,113.7,87.9
104,4,climb IAS,5594,4.3,202,180,3708,2800,856,10734,2724,2022,0.314,18.4,113.7,87.9
106,4,climb IAS,5717,4.4,203,180,3700,2792,856,10733,2723,2016,0.315,18.3,113.7,87.9
108,4,climb IAS,5840,4.6,203,180,3693,2785,856,10732,2722,2010,0.316,18.3,113.7,87.9
110,4,climb IAS,5963,4.7,203,180,3686,2777,855,10731,2721,2005,0.316,18.2,113.7,87.9
112,4,climb IAS,6086,4.8,204,180,3678,2769,855,10730,2720,1999,0.317,18.1,113.7,87.9
114,4,climb IAS,6208,4.9,204,180,3671,2762,855,10729,2719,1994,0.318,18.1,113.7,87.9
116,4,climb IAS,6330,5.0,204,180,3664,2754,855,10728,2718,1988,0.319,18.0,113.7,87.9
118,4,climb IAS,6452,5.1,205,180,3656,2746,855,10727,2717,1983,0.319,17.9,113.7,87.9
120,4,climb IAS,6574,5.2,205,180,3649,2739,855,10726,2716,1977,0.32,17.8,113.7,87.9
122,4,climb IAS,6695,5.3,206,180,3641,2731,855,10725,2715,1972,0.321,17.8,113.7,87.9
124,4,climb IAS,6817,5.5,206,180,3634,2723,855,10723,2713,1966,0.322,17.7,113.7,87.9
126,4,climb IAS,6938,5.6,206,180,3626,2716,855,10722,2712,1961,0.322,17.6,113.7,87.9
128,4,climb IAS,7058,5.7,207,180,3619,2708,855,10721,2711,1955,0.323,17.6,113.7,87.9
130,4,climb IAS,7179,5.8,207,180,3611,2701,855,10720,2710,1950,0.324,17.5,113.7,87.9
132,4,climb IAS,7299,5.9,207,180,3604,2693,854,10719,2709,1945,0.325,17.4,113.7,87.9
134,4,climb IAS,7419,6.0,208,180,3596,2686,854,10718,2708,1939,0.325,17.3,113.7,87.9
136,4,climb IAS,7538,6.2,208,180,3589,2678,854,10717,2707,1934,0.326,17.3,113.7,87.9
138,4,climb IAS,7658,6.3,209,180,3581,2671,854,10716,2706,1928,0.327,17.2,113.7,87.9
140,4,climb IAS,7777,6.4,209,180,3573,2664,854,10715,2705,1923,0.327,17.1,113.7,87.9
142,4,climb IAS,7896,6.5,209,180,3566,2656,854,10714,2704,1918,0.328,17.1,113.7,87.9
144,4,climb IAS,8015,6.6,210,180,3558,2649,854,10713,2703,1912,0.329,17.0,113.7,87.9
146,4,climb IAS,8133,6.7,210,180,3550,2641,854,10712,2702,1907,0.33,16.9,113.7,87.9
148,4,climb IAS,8251,6.9,210,180,3543,2634,854,10711,2701,1902,0.33,16.9,113.7,87.9
150,4,climb IAS,8369,7.0,211,180,3535,2627,854,10710,2700,1896,0.331,16.8,113.7,87.9
152,4,climb IAS,8487,7.1,211,180,3527,2619,853,10708,2698,1891,0.332,16.7,113.7,87.9
154,4,climb IAS,8604,7.2,212,180,3520,2612,853,10707,2697,1886,0.333,16.6,113.7,87.9
156,4,climb IAS,8721,7.3,212,180,3512,2605,853,10706,2696,1881,0.333,16.6,113.7,87.9
158,4,climb IAS,8838,7.4,212,180,3504,2597,853,10705,2695,1875,0.334,16.5,113.7,87.9
160,4,climb IAS,8955,7.6,213,180,3496,2590,853,10704,2694,1870,0.335,16.4,113.7,87.9
162,4,climb IAS,9071,7.7,213,180,3488,2583,853,10703,2693,1865,0.336,16.4,113.7,87.9
164,4,climb IAS,9187,7.8,214,180,3481,2576,853,10702,2692,1860,0.336,16.3,113.7,87.9
166,4,climb IAS,9303,7.9,214,180,3473,2568,853,10701,2691,1854,0.337,16.2,113.7,87.9
168,4,climb IAS,9418,8.0,214,180,3465,2561,853,10700,2690,1849,0.338,16.2,113.7,87.9
170,4,climb IAS,9534,8.1,215,180,3457,2554,853,10699,2689,1844,0.339,16.1,113.7,87.9
172,4,climb IAS,9649,8.3,215,180,3449,2547,852,10698,2688,1839,0.339,16.0,113.7,87.9
174,4,climb IAS,9764,8.4,215,180,3441,2540,852,10697,2687,1834,0.34,16.0,113.7,87.9
176,4,climb IAS,9878,8.5,216,180,3433,2533,852,10696,2686,1829,0.341,15.9,113.7,87.9
178,4,climb IAS,9992,8.6,216,180,3425,2526,852,10695,2685,1824,0.342,15.8,113.7,87.9
180,4,climb IAS,10106,8.7,217,180,3418,2519,852,10694,2684,1818,0.342,15.8,113.7,87.9
182,4,climb IAS,10220,8.9,217,180,3410,2512,852,10693,2683,1813,0.343,15.7,113.7,87.9
184,4,climb IAS,10334,9.0,217,180,3402,2504,852,10692,2682,1808,0.344,15.6,113.7,87.9
186,4,climb IAS,10447,9.1,218,180,3394,2497,852,10691,2681,1803,0.345,15.6,113.7,87.9
188,4,climb IAS,10560,9.2,218,180,3386,2490,852,10690,2680,1798,0.345,15.5,113.7,87.9
190,4,climb IAS,10672,9.4,218,180,3378,2483,852,10689,2679,1793,0.346,15.4,113.7,87.9
192,4,climb IAS,10785,9.5,219,180,3370,2477,851,10688,2678,1788,0.347,15.4,113.7,87.9
194,4,climb IAS,10897,9.6,219,180,3362,2470,851,10687,2677,1783,0.348,15.3,113.7,87.9
196,4,climb IAS,11009,9.7,220,180,3354,2463,851,10686,2676,1778,0.348,15.3,113.7,87.9
198,4,climb IAS,11120,9.8,220,180,3346,2456,851,10685,2675,1773,0.349,15.2,113.7,87.9
200,4,climb IAS,11232,10.0,220,180,3338,2449,851,10684,2674,1768,0.35,15.1,113.7,87.9
202,4,climb IAS,11343,10.1,221,180,3330,2442,851,10683,2673,1763,0.351,15.1,113.7,87.9
204,4,climb IAS,11453,10.2,221,180,3321,2435,851,10682,2672,1758,0.351,15.0,113.7,87.9
206,4,climb IAS,11564,10.3,222,180,3313,2428,851,10681,2671,1753,0.352,14.9,113.7,87.9
208,4,climb IAS,11674,10.5,222,180,3305,2422,851,10680,2670,1748,0.353,14.9,113.7,87.9
210,4,climb IAS,11784,10.6,222,180,3297,2415,851,10679,2669,1744,0.354,14.8,113.7,87.9
212,4,climb IAS,11894,10.7,223,180,3289,2408,850,10678,2668,1739,0.354,14.7,113.7,87.9
214,4,climb IAS,12003,10.8,223,180,3281,2401,850,10677,2667,1734,0.355,14.7,113.7,87.9
216,4,climb IAS,12113,10.9,223,180,3273,2395,850,10676,2666,1729,0.356,14.6,113.7,87.9
218,4,climb IAS,12221,11.1,224,180,3265,2388,850,10675,2665,1724,0.357,14.6,113.7,87.9
220,4,climb IAS,12330,11.2,224,180,3257,2381,850,10675,2665,1719,0.357,14.5,113.7,87.9
222,4,climb IAS,12438,11.3,225,180,3248,2375,850,10674,2664,1714,0.358,14.4,113.7,87.9
224,4,climb IAS,12546,11.4,225,180,3240,2368,850,10673,2663,1710,0.359,14.4,113.7,87.9
226,4,climb IAS,12654,11.6,225,180,3232,2361,850,10672,2662,1705,0.36,14.3,113.7,87.9
228,4,climb IAS,12762,11.7,226,180,3224,2355,850,10671,2661,1700,0.36,14.2,113.7,87.9
230,4,climb IAS,12869,11.8,226,180,3216,2348,850,10670,2660,1695,0.361,14.2,113.7,87.9
232,4,climb IAS,12976,12.0,226,180,3208,2342,849,10669,2659,1691,0.362,14.1,113.7,87.9
234,4,climb IAS,13083,12.1,227,180,3199,2335,849,10668,2658,1686,0.363,14.1,113.7,87.9
236,4,climb IAS,13189,12.2,227,180,3191,2328,849,10667,2657,1681,0.364,14.0,113.7,87.9
238,4,climb IAS,13295,12.3,228,180,3183,2322,849,10666,2656,1676,0.364,13.9,113.7,87.9
240,4,climb IAS,13401,12.5,228,180,3175,2315,849,10665,2655,1672,0.365,13.9,113.7,87.9
242,4,climb IAS,13507,12.6,228,180,3167,2309,849,10664,2654,1667,0.366,13.8,113.7,87.9
244,4,climb IAS,13612,12.7,229,180,3158,2303,849,10663,2653,1662,0.367,13.8,113.7,87.9
246,4,climb IAS,13717,12.8,229,180,3150,2296,849,10662,2652,1658,0.367,13.7,113.7,87.9
248,4,climb IAS,13822,13.0,230,180,3142,2290,849,10661,2651,1653,0.368,13.6,113.7,87.9
250,4,climb IAS,13927,13.1,230,180,3134,2283,849,10661,2651,1649,0.369,13.6,113.7,87.9
252,4,climb IAS,14031,13.2,230,180,3125,2277,848,10660,2650,1644,0.37,13.5,113.7,87.9
254,4,climb IAS,14135,13.3,231,180,3117,2271,848,10659,2649,1639,0.37,13.5,113.7,87.9
256,4,climb IAS,14239,13.5,231,180,3109,2264,848,10658,2648,1635,0.371,13.4,113.7,87.9
258,4,climb IAS,14342,13.6,231,180,3101,2258,848,10657,2647,1630,0.372,13.3,113.7,87.9
260,4,climb IAS,14445,13.7,232,180,3092,2252,848,10656,2646,1626,0.373,13.3,113.7,87.9
262,4,climb IAS,14548,13.9,232,180,3084,2245,848,10655,2645,1621,0.373,13.2,113.7,87.9
264,4,climb IAS,14651,14.0,233,180,3076,2239,848,10654,2644,1617,0.374,13.2,113.7,87.9
266,4,climb IAS,14753,14.1,233,180,3068,2233,848,10653,2643,1612,0.375,13.1,113.7,87.9
268,4,climb IAS,14855,14.3,233,180,3059,2227,848,10652,2642,1608,0.376,13.1,113.7,87.9
270,4,climb IAS,14957,14.4,234,180,3051,2221,848,10652,2642,1603,0.376,13.0,113.7,87.9
272,4,climb IAS,15058,14.5,234,180,3043,2214,847,10651,2641,1599,0.377,12.9,113.7,87.9
274,4,climb IAS,15159,14.6,234,180,3035,2208,847,10650,2640,1594,0.378,12.9,113.7,87.9
276,4,climb IAS,15260,14.8,235,180,3026,2202,847,10649,2639,1590,0.379,12.8,113.7,87.9
278,4,climb IAS,15361,14.9,235,180,3018,2196,847,10648,2638,1586,0.379,12.8,113.7,87.9
280,4,climb IAS,15461,15.0,236,180,3010,2190,847,10647,2637,1581,0.38,12.7,113.7,87.9
282,4,climb IAS,15561,15.2,236,180,3001,2184,847,10646,2636,1577,0.381,12.7,113.7,87.9
284,4,climb IAS,15661,15.3,236,180,2993,2178,847,10645,2635,1572,0.382,12.6,113.7,87.9
286,4,climb IAS,15761,15.4,237,180,2985,2172,847,10645,2635,1568,0.383,12.5,113.7,87.9
288,4,climb IAS,15860,15.6,237,180,2977,2166,847,10644,2634,1564,0.383,12.5,113.7,87.9
