# Flight Simulation Results - CJ1+ Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +5°C
# Approach VAPP: 117.9 kts
# Approach VREF: 91.8 kts
# Generated: 2025-11-12 07:58:16
# Original Data Points: 1937
# Sampled Data Points (2-sec intervals): 4841
# Time Range: 0 - 9680 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,2131,0.0,1,1,23,3682,156,10420,3340,0,0.001,37.8,117.9,91.8
2,0,takeoff roll,2149,0.0,13,12,437,3636,164,10419,3339,991,0.019,37.2,117.9,91.8
4,0,takeoff roll,2169,0.0,25,24,873,3587,172,10417,3337,2034,0.039,36.5,117.9,91.8
6,0,takeoff roll,2205,0.0,38,36,1278,3539,187,10416,3336,2548,0.058,35.8,117.9,91.8
8,0,takeoff roll,2257,0.1,50,48,1653,3491,209,10414,3334,2535,0.076,35.0,117.9,91.8
10,0,takeoff roll,2310,0.1,62,59,2027,3443,232,10413,3333,2521,0.095,34.2,117.9,91.8
12,0,takeoff roll,2391,0.1,73,70,2329,3396,266,10412,3332,2487,0.112,33.3,117.9,91.8
14,0,takeoff roll,2472,0.2,85,81,2631,3349,301,10410,3330,2453,0.129,32.4,117.9,91.8
16,0,takeoff roll,2558,0.2,95,91,2777,3310,401,10409,3329,2487,0.145,30.6,117.9,91.8
18,3,3rd segment climb,2649,0.3,104,99,2767,3278,568,10408,3328,2589,0.159,27.8,117.9,91.8
20,3,3rd segment climb,2741,0.3,113,107,2756,3247,735,10406,3326,2691,0.172,25.1,117.9,91.8
22,3,3rd segment climb,2833,0.4,117,111,2758,3226,796,10405,3325,2630,0.178,24.0,117.9,91.8
24,3,3rd segment climb,2925,0.5,117,111,2767,3213,786,10404,3324,2461,0.179,24.0,117.9,91.8
26,3,3rd segment climb,3018,0.5,118,112,2775,3200,777,10402,3322,2309,0.18,23.9,117.9,91.8
28,3,3rd segment climb,3110,0.6,118,112,2772,3194,777,10401,3321,2304,0.18,23.9,117.9,91.8
30,3,3rd segment climb,3203,0.7,118,112,2770,3188,777,10400,3320,2300,0.181,23.8,117.9,91.8
32,3,3rd segment climb,3295,0.7,118,112,2767,3182,776,10399,3319,2295,0.181,23.8,117.9,91.8
34,3,3rd segment climb,3387,0.8,118,112,2764,3176,776,10397,3317,2291,0.181,23.7,117.9,91.8
36,3,3rd segment climb,3479,0.9,119,112,2766,3170,776,10396,3316,2286,0.182,23.7,117.9,91.8
38,3,3rd segment climb,3572,0.9,121,113,2803,3164,776,10395,3315,2282,0.185,23.6,117.9,91.8
40,4,climb IAS,3664,1.0,122,115,2840,3157,776,10393,3313,2278,0.188,23.5,117.9,91.8
42,4,climb IAS,3764,1.1,128,120,2957,3134,768,10392,3312,2266,0.197,23.4,117.9,91.8
44,4,climb IAS,3868,1.1,137,128,3128,3099,754,10391,3311,2249,0.21,23.2,117.9,91.8
46,4,climb IAS,3973,1.2,146,136,3294,3065,743,10390,3310,2231,0.224,22.9,117.9,91.8
48,4,climb IAS,4089,1.3,154,144,3408,3031,755,10389,3309,2207,0.236,22.5,117.9,91.8
50,4,climb IAS,4204,1.4,162,151,3522,2998,768,10387,3307,2182,0.249,22.0,117.9,91.8
52,4,climb IAS,4324,1.5,170,159,3606,2966,790,10386,3306,2159,0.262,21.4,117.9,91.8
54,4,climb IAS,4446,1.6,178,166,3669,2935,817,10385,3305,2136,0.274,20.8,117.9,91.8
56,4,climb IAS,4569,1.7,186,172,3728,2904,845,10384,3304,2113,0.286,20.2,117.9,91.8
58,4,climb IAS,4694,1.8,193,179,3748,2875,881,10383,3303,2091,0.297,19.6,117.9,91.8
60,4,climb IAS,4820,1.9,200,185,3768,2847,916,10382,3302,2070,0.308,18.9,117.9,91.8
62,4,climb IAS,4945,2.0,207,191,3757,2820,953,10380,3300,2050,0.318,18.3,117.9,91.8
64,4,climb IAS,5070,2.1,212,196,3726,2795,992,10379,3299,2031,0.327,17.6,117.9,91.8
66,4,climb IAS,5195,2.3,217,200,3696,2771,1027,10378,3298,2012,0.335,17.0,117.9,91.8
68,4,climb IAS,5317,2.4,218,200,3684,2763,1029,10377,3297,2002,0.336,16.9,117.9,91.8
70,4,climb IAS,5440,2.5,218,200,3672,2755,1030,10376,3296,1991,0.337,16.9,117.9,91.8
72,4,climb IAS,5562,2.6,218,200,3662,2748,1030,10375,3295,1984,0.337,16.8,117.9,91.8
74,4,climb IAS,5684,2.7,219,200,3654,2741,1030,10374,3294,1978,0.338,16.7,117.9,91.8
76,4,climb IAS,5806,2.9,219,200,3646,2733,1030,10373,3293,1973,0.339,16.6,117.9,91.8
78,4,climb IAS,5927,3.0,220,200,3638,2726,1030,10372,3292,1968,0.34,16.6,117.9,91.8
