# Flight Simulation Results - CJ1 Flatwing
# Route: KSZT to KSJT
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +0°C
# Approach VAPP: 114.4 kts
# Approach VREF: 88.5 kts
# Generated: 2025-11-12 09:05:55
# Original Data Points: 2552
# Sampled Data Points (2-sec intervals): 6379
# Time Range: 0 - 12756 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,2131,0.0,1,1,22,3603,156,10420,3340,0,0.001,36.9,114.4,88.5
2,0,takeoff roll,2149,0.0,12,12,419,3559,164,10419,3339,970,0.019,36.3,114.4,88.5
4,0,takeoff roll,2167,0.0,25,24,836,3512,171,10417,3337,1991,0.038,35.6,114.4,88.5
6,0,takeoff roll,2202,0.0,37,36,1224,3465,186,10416,3336,2495,0.056,34.9,114.4,88.5
8,0,takeoff roll,2252,0.1,49,47,1583,3419,208,10414,3334,2482,0.074,34.2,114.4,88.5
10,0,takeoff roll,2303,0.1,61,59,1942,3372,230,10413,3333,2469,0.092,33.4,114.4,88.5
12,0,takeoff roll,2380,0.1,72,69,2233,3327,264,10412,3332,2436,0.109,32.5,114.4,88.5
14,0,takeoff roll,2458,0.2,83,80,2524,3282,297,10410,3330,2403,0.126,31.7,114.4,88.5
16,0,takeoff roll,2541,0.2,93,89,2643,3245,417,10409,3329,2372,0.142,29.6,114.4,88.5
18,3,3rd segment climb,2629,0.3,102,98,2590,3214,623,10408,3328,2342,0.155,26.4,114.4,88.5
20,3,3rd segment climb,2717,0.3,111,106,2537,3184,829,10406,3326,2312,0.169,23.2,114.4,88.5
22,3,3rd segment climb,2806,0.4,113,109,2593,3165,808,10405,3325,2294,0.173,23.3,114.4,88.5
24,3,3rd segment climb,2895,0.5,115,111,2648,3146,787,10404,3324,2275,0.176,23.3,114.4,88.5
26,3,3rd segment climb,2984,0.5,117,112,2674,3134,777,10403,3323,2263,0.178,23.3,114.4,88.5
28,3,3rd segment climb,3073,0.6,117,112,2672,3128,777,10401,3321,2258,0.178,23.2,114.4,88.5
30,3,3rd segment climb,3162,0.7,117,112,2670,3123,777,10400,3320,2252,0.179,23.2,114.4,88.5
32,3,3rd segment climb,3251,0.7,117,112,2667,3117,776,10399,3319,2248,0.179,23.1,114.4,88.5
34,3,3rd segment climb,3340,0.8,117,112,2665,3111,776,10398,3318,2244,0.179,23.0,114.4,88.5
36,3,3rd segment climb,3428,0.8,117,112,2662,3106,776,10396,3316,2240,0.179,23.0,114.4,88.5
38,3,3rd segment climb,3517,0.9,117,112,2660,3100,776,10395,3315,2236,0.18,22.9,114.4,88.5
