# Flight Simulation Results - CJ Flatwing
# Route: KSZT to KSJT
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +0°C
# Approach VAPP: 110.4 kts
# Approach VREF: 84.8 kts
# Generated: 2025-11-12 09:06:36
# Original Data Points: 2541
# Sampled Data Points (2-sec intervals): 6351
# Time Range: 0 - 12700 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,2131,0.0,1,1,26,3603,145,9670,3340,0,0.001,40.2,110.4,84.8
2,0,takeoff roll,2151,0.0,13,13,485,3555,154,9669,3339,969,0.02,39.4,110.4,84.8
4,0,takeoff roll,2173,0.0,27,26,969,3504,163,9667,3337,1988,0.041,38.7,110.4,84.8
6,0,takeoff roll,2213,0.0,40,39,1415,3454,180,9666,3336,2490,0.061,37.8,110.4,84.8
8,0,takeoff roll,2271,0.1,52,51,1824,3404,205,9664,3334,2474,0.08,36.9,110.4,84.8
10,0,takeoff roll,2329,0.1,65,63,2233,3354,230,9663,3333,2459,0.099,35.9,110.4,84.8
12,0,takeoff roll,2418,0.1,77,74,2555,3306,269,9662,3332,2423,0.118,34.9,110.4,84.8
14,0,takeoff roll,2507,0.2,89,86,2878,3258,307,9660,3330,2388,0.136,33.8,110.4,84.8
16,0,takeoff roll,2598,0.2,98,94,3007,3220,398,9659,3329,2398,0.15,32.0,110.4,84.8
18,3,3rd segment climb,2692,0.3,104,100,2944,3193,542,9658,3328,2455,0.159,29.4,110.4,84.8
20,3,3rd segment climb,2785,0.4,110,106,2880,3167,685,9657,3327,2511,0.169,26.8,110.4,84.8
22,3,3rd segment climb,2880,0.4,112,108,2862,3155,721,9655,3325,2448,0.171,26.1,110.4,84.8
24,3,3rd segment climb,2975,0.5,112,108,2860,3149,721,9654,3324,2345,0.171,26.0,110.4,84.8
26,3,3rd segment climb,3071,0.5,112,108,2857,3143,721,9653,3323,2267,0.172,25.9,110.4,84.8
28,3,3rd segment climb,3166,0.6,113,108,2855,3137,721,9652,3322,2263,0.172,25.9,110.4,84.8
30,3,3rd segment climb,3261,0.7,113,108,2852,3131,720,9650,3320,2259,0.172,25.8,110.4,84.8
32,3,3rd segment climb,3356,0.7,113,108,2849,3125,720,9649,3319,2254,0.173,25.7,110.4,84.8
34,3,3rd segment climb,3451,0.8,113,108,2847,3119,720,9648,3318,2250,0.173,25.7,110.4,84.8
36,3,3rd segment climb,3546,0.9,114,108,2867,3111,719,9647,3317,2245,0.175,25.6,110.4,84.8
