# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSJT
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +0°C
# Approach VAPP: 107.1 kts
# Approach VREF: 81.7 kts
# Generated: 2025-11-12 09:06:36
# Original Data Points: 2506
# Sampled Data Points (2-sec intervals): 6264
# Time Range: 0 - 12526 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,2131,0.0,1,1,25,3603,146,9745,3340,0,0.001,39.8,107.1,81.7
2,0,takeoff roll,2151,0.0,13,13,478,3555,155,9744,3339,969,0.02,39.1,107.1,81.7
4,0,takeoff roll,2172,0.0,27,26,954,3505,164,9742,3337,1988,0.04,38.3,107.1,81.7
6,0,takeoff roll,2212,0.0,39,38,1394,3455,181,9741,3336,2490,0.06,37.5,107.1,81.7
8,0,takeoff roll,2269,0.1,52,50,1797,3406,206,9739,3334,2475,0.079,36.6,107.1,81.7
10,0,takeoff roll,2326,0.1,65,63,2200,3356,231,9738,3333,2460,0.099,35.7,107.1,81.7
12,0,takeoff roll,2414,0.1,76,74,2512,3308,270,9737,3332,2425,0.116,34.6,107.1,81.7
14,0,takeoff roll,2501,0.2,88,85,2824,3260,308,9735,3330,2390,0.134,33.6,107.1,81.7
16,0,takeoff roll,2592,0.2,97,93,2963,3225,380,9734,3329,2358,0.147,32.0,107.1,81.7
18,3,3rd segment climb,2686,0.3,102,98,2928,3201,485,9733,3328,2331,0.156,29.8,107.1,81.7
20,3,3rd segment climb,2780,0.3,107,103,2893,3177,590,9732,3327,2304,0.164,27.6,107.1,81.7
22,3,3rd segment climb,2876,0.4,108,103,2891,3171,590,9730,3325,2295,0.164,27.5,107.1,81.7
24,3,3rd segment climb,2973,0.5,108,103,2888,3165,590,9729,3324,2286,0.165,27.4,107.1,81.7
26,3,3rd segment climb,3069,0.5,108,103,2886,3159,590,9728,3323,2279,0.165,27.4,107.1,81.7
28,3,3rd segment climb,3165,0.6,108,103,2884,3153,590,9726,3321,2274,0.165,27.3,107.1,81.7
30,3,3rd segment climb,3261,0.6,108,103,2881,3146,590,9725,3320,2270,0.165,27.2,107.1,81.7
32,3,3rd segment climb,3357,0.7,108,103,2879,3140,590,9724,3319,2265,0.166,27.2,107.1,81.7
34,3,3rd segment climb,3453,0.8,109,103,2877,3134,589,9723,3318,2261,0.166,27.1,107.1,81.7
36,3,3rd segment climb,3550,0.8,111,105,2924,3125,588,9721,3316,2256,0.169,27.0,107.1,81.7
38,4,climb IAS,3648,0.9,115,109,3020,3112,585,9720,3315,2251,0.176,26.9,107.1,81.7
40,4,climb IAS,3747,1.0,119,112,3116,3099,581,9719,3314,2245,0.182,26.8,107.1,81.7
42,4,climb IAS,3860,1.0,128,121,3302,3061,588,9718,3313,2223,0.197,26.3,107.1,81.7
44,4,climb IAS,3974,1.1,138,130,3488,3023,595,9717,3312,2201,0.212,25.8,107.1,81.7
46,4,climb IAS,4094,1.2,147,139,3638,2986,613,9715,3310,2177,0.226,25.2,107.1,81.7
48,4,climb IAS,4219,1.3,156,147,3753,2950,643,9714,3309,2150,0.24,24.4,107.1,81.7
50,4,climb IAS,4345,1.4,166,156,3867,2914,673,9713,3308,2123,0.254,23.7,107.1,81.7
52,4,climb IAS,4477,1.5,174,163,3920,2881,714,9712,3307,2099,0.267,22.9,107.1,81.7
54,4,climb IAS,4609,1.6,182,171,3973,2848,755,9711,3306,2074,0.28,22.1,107.1,81.7
56,4,climb IAS,4741,1.7,188,176,3986,2822,787,9710,3305,2052,0.289,21.4,107.1,81.7
58,4,climb IAS,4873,1.8,191,178,3959,2803,811,9708,3303,2033,0.293,21.0,107.1,81.7
60,4,climb IAS,5005,1.9,193,180,3933,2783,834,9707,3302,2013,0.298,20.5,107.1,81.7
62,4,climb IAS,5135,2.0,194,180,3926,2776,834,9706,3301,2006,0.298,20.4,107.1,81.7
64,4,climb IAS,5266,2.1,194,180,3918,2768,834,9705,3300,1999,0.299,20.3,107.1,81.7
66,4,climb IAS,5396,2.2,195,180,3911,2761,834,9704,3299,1993,0.3,20.3,107.1,81.7
68,4,climb IAS,5527,2.3,195,180,3904,2753,834,9703,3298,1988,0.3,20.2,107.1,81.7
70,4,climb IAS,5657,2.4,195,180,3897,2745,834,9702,3297,1982,0.301,20.1,107.1,81.7
72,4,climb IAS,5786,2.5,196,180,3889,2738,833,9701,3296,1977,0.302,20.0,107.1,81.7
74,4,climb IAS,5916,2.6,196,180,3882,2730,833,9700,3295,1971,0.303,19.9,107.1,81.7
76,4,climb IAS,6045,2.7,196,180,3875,2723,833,9699,3294,1966,0.303,19.9,107.1,81.7
78,4,climb IAS,6174,2.8,197,180,3867,2715,833,9697,3292,1960,0.304,19.8,107.1,81.7
80,4,climb IAS,6303,3.0,197,180,3860,2708,833,9696,3291,1955,0.305,19.7,107.1,81.7
82,4,climb IAS,6431,3.1,198,180,3852,2700,833,9695,3290,1950,0.305,19.6,107.1,81.7
84,4,climb IAS,6559,3.2,198,180,3845,2693,833,9694,3289,1944,0.306,19.5,107.1,81.7
86,4,climb IAS,6687,3.3,198,180,3837,2685,833,9693,3288,1939,0.307,19.5,107.1,81.7
88,4,climb IAS,6815,3.4,199,180,3830,2678,833,9692,3287,1933,0.308,19.4,107.1,81.7
90,4,climb IAS,6943,3.5,199,180,3822,2670,833,9691,3286,1928,0.308,19.3,107.1,81.7
92,4,climb IAS,7070,3.6,199,180,3815,2663,833,9690,3285,1923,0.309,19.2,107.1,81.7
94,4,climb IAS,7197,3.7,200,180,3807,2655,832,9689,3284,1917,0.31,19.2,107.1,81.7
96,4,climb IAS,7323,3.8,200,180,3800,2648,832,9688,3283,1912,0.311,19.1,107.1,81.7
98,4,climb IAS,7450,4.0,201,180,3792,2641,832,9687,3282,1907,0.311,19.0,107.1,81.7
100,4,climb IAS,7576,4.1,201,180,3784,2633,832,9686,3281,1901,0.312,18.9,107.1,81.7
102,4,climb IAS,7702,4.2,201,180,3777,2626,832,9685,3280,1896,0.313,18.8,107.1,81.7
104,4,climb IAS,7828,4.3,202,180,3769,2619,832,9684,3279,1891,0.313,18.8,107.1,81.7
106,4,climb IAS,7953,4.4,202,180,3761,2611,832,9683,3278,1885,0.314,18.7,107.1,81.7
108,4,climb IAS,8078,4.5,202,180,3753,2604,832,9681,3276,1880,0.315,18.6,107.1,81.7
110,4,climb IAS,8203,4.6,203,180,3746,2597,832,9680,3275,1875,0.316,18.5,107.1,81.7
112,4,climb IAS,8328,4.7,203,180,3738,2589,832,9679,3274,1870,0.316,18.5,107.1,81.7
114,4,climb IAS,8452,4.9,204,180,3730,2582,831,9678,3273,1864,0.317,18.4,107.1,81.7
116,4,climb IAS,8576,5.0,204,180,3722,2575,831,9677,3272,1859,0.318,18.3,107.1,81.7
118,4,climb IAS,8700,5.1,204,180,3714,2568,831,9676,3271,1854,0.319,18.2,107.1,81.7
120,4,climb IAS,8824,5.2,205,180,3706,2561,831,9675,3270,1849,0.319,18.2,107.1,81.7
122,4,climb IAS,8947,5.3,205,180,3698,2553,831,9674,3269,1844,0.32,18.1,107.1,81.7
124,4,climb IAS,9070,5.4,206,180,3690,2546,831,9673,3268,1838,0.321,18.0,107.1,81.7
126,4,climb IAS,9193,5.5,206,180,3682,2539,831,9672,3267,1833,0.322,17.9,107.1,81.7
128,4,climb IAS,9316,5.6,206,180,3674,2532,831,9671,3266,1828,0.322,17.9,107.1,81.7
130,4,climb IAS,9438,5.8,207,180,3667,2525,831,9670,3265,1823,0.323,17.8,107.1,81.7
132,4,climb IAS,9560,5.9,207,180,3658,2518,831,9669,3264,1818,0.324,17.7,107.1,81.7
134,4,climb IAS,9682,6.0,207,180,3650,2511,831,9668,3263,1813,0.325,17.6,107.1,81.7
136,4,climb IAS,9803,6.1,208,180,3642,2504,830,9667,3262,1808,0.325,17.6,107.1,81.7
138,4,climb IAS,9924,6.2,208,180,3634,2496,830,9666,3261,1803,0.326,17.5,107.1,81.7
140,4,climb IAS,10046,6.3,209,180,3626,2489,830,9665,3260,1797,0.327,17.4,107.1,81.7
142,4,climb IAS,10166,6.5,209,180,3618,2482,830,9664,3259,1792,0.328,17.4,107.1,81.7
144,4,climb IAS,10287,6.6,209,180,3610,2475,830,9663,3258,1787,0.328,17.3,107.1,81.7
146,4,climb IAS,10407,6.7,210,180,3602,2468,830,9662,3257,1782,0.329,17.2,107.1,81.7
148,4,climb IAS,10526,6.8,210,180,3594,2461,830,9661,3256,1777,0.33,17.1,107.1,81.7
150,4,climb IAS,10646,6.9,211,180,3586,2454,830,9660,3255,1772,0.331,17.1,107.1,81.7
152,4,climb IAS,10765,7.0,211,180,3577,2448,830,9659,3254,1767,0.331,17.0,107.1,81.7
154,4,climb IAS,10884,7.2,211,180,3569,2441,830,9658,3253,1762,0.332,16.9,107.1,81.7
156,4,climb IAS,11003,7.3,212,180,3561,2434,829,9657,3252,1757,0.333,16.8,107.1,81.7
158,4,climb IAS,11122,7.4,212,180,3553,2427,829,9656,3251,1752,0.334,16.8,107.1,81.7
160,4,climb IAS,11240,7.5,212,180,3544,2420,829,9655,3250,1747,0.334,16.7,107.1,81.7
162,4,climb IAS,11358,7.6,213,180,3536,2413,829,9654,3249,1742,0.335,16.6,107.1,81.7
164,4,climb IAS,11476,7.7,213,180,3528,2406,829,9653,3248,1737,0.336,16.6,107.1,81.7
166,4,climb IAS,11593,7.9,214,180,3520,2400,829,9653,3248,1733,0.337,16.5,107.1,81.7
168,4,climb IAS,11710,8.0,214,180,3511,2393,829,9652,3247,1728,0.337,16.4,107.1,81.7
170,4,climb IAS,11827,8.1,214,180,3503,2386,829,9651,3246,1723,0.338,16.3,107.1,81.7
172,4,climb IAS,11943,8.2,215,180,3495,2379,829,9650,3245,1718,0.339,16.3,107.1,81.7
174,4,climb IAS,12060,8.3,215,180,3486,2372,829,9649,3244,1713,0.34,16.2,107.1,81.7
176,4,climb IAS,12176,8.5,216,180,3478,2366,828,9648,3243,1708,0.34,16.1,107.1,81.7
178,4,climb IAS,12291,8.6,216,180,3469,2359,828,9647,3242,1703,0.341,16.1,107.1,81.7
180,4,climb IAS,12407,8.7,216,180,3461,2352,828,9646,3241,1699,0.342,16.0,107.1,81.7
182,4,climb IAS,12522,8.8,217,180,3453,2346,828,9645,3240,1694,0.343,15.9,107.1,81.7
184,4,climb IAS,12637,8.9,217,180,3444,2339,828,9644,3239,1689,0.343,15.9,107.1,81.7
186,4,climb IAS,12751,9.1,217,180,3436,2332,828,9643,3238,1684,0.344,15.8,107.1,81.7
188,4,climb IAS,12866,9.2,218,180,3427,2326,828,9642,3237,1679,0.345,15.7,107.1,81.7
190,4,climb IAS,12980,9.3,218,180,3419,2319,828,9641,3236,1675,0.346,15.7,107.1,81.7
192,4,climb IAS,13093,9.4,219,180,3410,2313,828,9640,3235,1670,0.346,15.6,107.1,81.7
194,4,climb IAS,13207,9.5,219,180,3402,2306,828,9639,3234,1665,0.347,15.5,107.1,81.7
