# Flight Simulation Results - CJ1 Tamarack
# Route: KSZT to KSJT
# Initial Fuel: 3440 lb
# Payload: 200 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +0°C
# Approach VAPP: 112.4 kts
# Approach VREF: 86.7 kts
# Generated: 2025-11-13 10:51:06
# Original Data Points: 2547
# Sampled Data Points (2-sec intervals): 6366
# Time Range: 0 - 12730 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,2131,0.0,1,1,21,3603,160,10695,3340,0,0.001,35.8,112.4,86.7
2,0,takeoff roll,2148,0.0,12,12,398,3560,167,10694,3339,970,0.018,35.2,112.4,86.7
4,0,takeoff roll,2165,0.0,24,23,794,3514,175,10692,3337,1992,0.037,34.6,112.4,86.7
6,0,takeoff roll,2198,0.0,36,35,1163,3469,189,10691,3336,2496,0.055,34.0,112.4,86.7
8,0,takeoff roll,2246,0.1,47,46,1506,3424,210,10689,3334,2484,0.072,33.3,112.4,86.7
10,0,takeoff roll,2294,0.1,59,57,1849,3378,231,10688,3333,2472,0.09,32.5,112.4,86.7
12,0,takeoff roll,2368,0.1,70,67,2128,3335,264,10687,3332,2440,0.107,31.7,112.4,86.7
14,0,takeoff roll,2442,0.2,81,78,2408,3291,296,10685,3330,2408,0.123,30.9,112.4,86.7
16,0,takeoff roll,2522,0.2,91,87,2569,3254,371,10684,3329,2449,0.138,29.4,112.4,86.7
18,3,3rd segment climb,2609,0.3,99,96,2612,3223,490,10683,3328,2565,0.152,27.3,112.4,86.7
20,3,3rd segment climb,2696,0.3,108,104,2655,3193,608,10681,3326,2680,0.165,25.2,112.4,86.7
22,3,3rd segment climb,2784,0.4,112,108,2674,3172,659,10680,3325,2630,0.171,24.2,112.4,86.7
24,3,3rd segment climb,2873,0.4,113,108,2676,3160,653,10679,3324,2446,0.172,24.1,112.4,86.7
26,3,3rd segment climb,2963,0.5,113,108,2677,3148,647,10678,3323,2271,0.172,24.1,112.4,86.7
28,3,3rd segment climb,3052,0.6,113,108,2674,3142,647,10676,3321,2266,0.173,24.0,112.4,86.7
30,3,3rd segment climb,3141,0.6,113,108,2672,3136,647,10675,3320,2262,0.173,24.0,112.4,86.7
32,3,3rd segment climb,3230,0.7,113,108,2670,3131,647,10674,3319,2258,0.173,23.9,112.4,86.7
34,3,3rd segment climb,3319,0.8,113,108,2668,3125,647,10673,3318,2254,0.174,23.9,112.4,86.7
36,3,3rd segment climb,3408,0.8,114,108,2666,3119,647,10671,3316,2250,0.174,23.8,112.4,86.7
38,3,3rd segment climb,3497,0.9,114,108,2664,3114,647,10670,3315,2246,0.174,23.8,112.4,86.7
40,3,3rd segment climb,3585,1.0,114,108,2662,3108,647,10669,3314,2242,0.174,23.7,112.4,86.7
42,3,3rd segment climb,3677,1.0,118,112,2738,3093,644,10668,3313,2235,0.18,23.6,112.4,86.7
44,4,climb IAS,3772,1.1,125,118,2880,3070,639,10666,3311,2226,0.191,23.4,112.4,86.7
46,4,climb IAS,3868,1.2,132,125,3020,3047,635,10665,3310,2216,0.202,23.2,112.4,86.7
48,4,climb IAS,3975,1.2,140,132,3147,3013,647,10664,3309,2193,0.215,22.8,112.4,86.7
50,4,climb IAS,4082,1.3,149,140,3273,2980,660,10663,3308,2169,0.228,22.3,112.4,86.7
52,4,climb IAS,4193,1.4,157,148,3372,2948,681,10662,3307,2146,0.241,21.8,112.4,86.7
